case,case_short,train_original_sim_idx,original_sim_idx,frames_encoded,final_p_ratio,initial_z0,initial_z1
selected trajectory sim 56,selected,56,37,100,-0.204619104548757,2.090576410293579,2.1677029132843018
selected trajectory sim 56,selected,56,38,100,0.35413357644997473,1.5239667892456055,1.7573524713516235
selected trajectory sim 56,selected,56,39,100,0.35508191711915005,1.5167485475540161,1.7534422874450684
selected trajectory sim 56,selected,56,40,100,-0.23919190542704324,2.220247507095337,2.3060426712036133
selected trajectory sim 56,selected,56,41,100,-0.3405376290549624,2.2851719856262207,2.327366352081299
selected trajectory sim 56,selected,56,42,100,-0.4103403225186684,2.2139923572540283,2.2466368675231934
selected trajectory sim 56,selected,56,43,100,0.17903333525441312,1.6375483274459839,1.8384323120117188
selected trajectory sim 56,selected,56,44,100,-0.10055141793182469,1.8839021921157837,2.0215163230895996
selected trajectory sim 56,selected,56,45,100,0.34223353528925654,1.529587745666504,1.770498514175415
selected trajectory sim 56,selected,56,46,100,-0.2944754113699857,2.1370651721954346,2.2089052200317383
selected trajectory sim 56,selected,56,47,100,-0.42437712851765547,2.228844404220581,2.268648862838745
selected trajectory sim 56,selected,56,48,100,0.3629131029241631,1.5238581895828247,1.7746028900146484
selected trajectory sim 56,selected,56,49,100,-0.44952385768512343,2.238022804260254,2.243706226348877
selected trajectory sim 56,selected,56,50,100,-0.0696914335517825,1.9123173952102661,2.0335588455200195
selected trajectory sim 56,selected,56,51,100,0.1984530464851873,1.6328225135803223,1.831892728805542
selected trajectory sim 56,selected,56,52,100,0.037337759212293,1.8570436239242554,1.988453984260559
selected trajectory sim 56,selected,56,53,100,-0.05223121954639464,1.868177056312561,2.0244252681732178
selected trajectory sim 56,selected,56,54,100,0.34876936421668947,1.4979397058486938,1.7398141622543335
selected trajectory sim 56,selected,56,55,100,0.20504416643351053,1.6090837717056274,1.8082547187805176
selected trajectory sim 56,selected,56,57,100,-0.02490996528939263,1.8490798473358154,1.9878227710723877
selected trajectory sim 56,selected,56,58,100,0.15807421313403752,1.655156135559082,1.8470686674118042
selected trajectory sim 56,selected,56,59,100,-0.0313026174804837,1.8277896642684937,1.9704644680023193
selected trajectory sim 56,selected,56,60,100,-0.3733590050206568,2.151299238204956,2.213979721069336
selected trajectory sim 56,selected,56,61,100,-0.5734598575106268,2.4261255264282227,2.4260854721069336
