original_sim_idx,node_count,edge_count,degree_mean,degree_std,edge_len_mean,edge_len_std,stiffness_mean,stiffness_std,node_stiffness_mean,node_stiffness_std,horizontal_edge_fraction,vertical_edge_fraction,diagonal_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,horizontal_edge_len,vertical_edge_len,diagonal_edge_len,angle_mean,angle_std,right_angle_fraction
13,244,696,5.704918032786885,0.8266912579097029,2.400787305258129,4.046179423978682,0.8626949738325744,0.24693078234843152,0.8692115939065964,0.10944161889608238,0.3807471264367816,0.4109195402298851,0.20833333333333334,0.8802831292152404,0.8941770893085254,0.7684553448496194,2.696017731473131,2.577158331454217,1.5133516056784269,95.38001381148658,46.43001426434427,0.22364502680166765
14,144,416,5.777777777777778,0.8031573497111645,2.5772385762001457,3.591964115520382,0.8655906247261625,0.329208319583423,0.8735976393896318,0.1504635356041727,0.40384615384615385,0.39663461538461536,0.19951923076923078,0.9322896541229316,0.8753139452500777,0.7112558677972082,2.76343793989647,2.820308117433028,1.7171425833759537,89.17961242739948,47.92963030628459,0.22468043264503443
15,180,522,5.8,0.8259674462242578,2.6304658378449437,3.9729853287511383,0.8644931942681243,0.2970250648596757,0.8725236934703335,0.13257789482340848,0.42528735632183906,0.3946360153256705,0.18007662835249041,0.8681465428960216,0.8940255203582708,0.7911452945876629,2.865225510017292,2.7705478811437643,1.769045112931982,91.59188916605393,47.83428198892368,0.19516945851188158
16,200,576,5.76,0.8077128202523468,2.665400063024006,4.022423999285221,0.8459966351381607,0.3759885775270037,0.8553113904041904,0.17865274121014718,0.4010416666666667,0.3836805555555556,0.2152777777777778,0.8096937553965168,0.8736447794405044,0.8643492587631748,2.9872757916326647,2.9551799805725323,1.549314134904454,87.62732107405661,48.84478777729309,0.19771998574991093
17,212,611,5.764150943396227,0.7715689332298996,2.5007725935033025,4.04855662988048,0.872839539316399,0.2396604180919523,0.881631050325147,0.1253356824929089,0.4288052373158756,0.3944353518821604,0.176759410801964,0.8898046769713628,0.9099057378610634,0.7489708364009857,2.6468393771930505,2.7627078747353613,1.5619216666177467,95.01188142062348,46.4366693705602,0.21553463349024882
18,160,456,5.7,0.8046738469715541,2.398816999113351,3.5740466522617473,0.8833151419173207,0.2769017059781597,0.8939599724504209,0.13280562559119977,0.41228070175438597,0.4232456140350877,0.16447368421052633,0.911951834851123,0.9014614443704871,0.7648360133171082,2.4994077162539705,2.606597113640197,1.6119821067651112,93.93174811420702,47.037156841481945,0.23006833712984054
19,172,492,5.72093023255814,0.7723591583914239,2.4927493529469986,3.7674590747099432,0.8690299731565685,0.27801584661957435,0.876633861181579,0.11590328713457294,0.40853658536585363,0.4146341463414634,0.17682926829268292,0.887908718775754,0.886370462968069,0.7847531019956216,2.719331602107233,2.561331403752168,1.8084531409301976,92.57337615738885,47.27125886482364,0.22198820556023588
20,212,603,5.688679245283019,0.7692584955432524,2.661949350762723,4.157331417717328,0.856982202128589,0.3134521880205663,0.8642918902553905,0.12415677747325804,0.4262023217247098,0.3963515754560531,0.17744610281923714,0.8856160186144164,0.8624113500118256,0.7760807331477371,3.0979672010538644,2.6543179776628647,1.6317373007257407,90.37201773297814,47.88115219968103,0.2204152249134948
21,264,754,5.712121212121212,0.8121268656519635,2.7452981215296437,4.585490222841432,0.8610730662507151,0.37175170122451096,0.8710563150089379,0.15357688297381197,0.40848806366047746,0.3952254641909814,0.1962864721485411,0.8696790693642257,0.861939235521643,0.8414192324554598,3.0472878657958726,2.881953450407358,1.84167562666777,90.21583744470769,48.022679660819286,0.20906593406593407
22,124,354,5.709677419354839,0.7908161723955652,2.6651952630382474,3.397428860116635,0.8447810755779515,0.3676754878852148,0.8530278125388716,0.14896286961659294,0.3813559322033898,0.4152542372881356,0.2033898305084746,0.8593557276107647,0.8466017309094773,0.8137364317145612,2.7817503522943565,3.037885865994862,1.6857444896466203,85.30508960910825,48.266777495882145,0.20574443141852286
