dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,train_original_sim_idx,original_sim_idx
selected CV2 sim-56,other_trajectories,21,99,99,0.396598616533246,-0.21625131995776134,0.000273909536190331,0.00047615758376196027,0.0007147964206524193,1.5011761757631878,selected trajectory sim 56,selected,56,21
selected CV2 sim-56,other_trajectories,22,99,99,0.4412320218481604,-0.4278195569729357,0.0004166110011283308,0.0006113375420682132,0.00042291160207241774,0.6917808460472875,selected trajectory sim 56,selected,56,22
selected CV2 sim-56,other_trajectories,23,99,99,0.4029697728147863,0.3478946810942195,4.362412801128812e-05,0.00043446748168207705,0.0006767974700778723,1.5577632357146605,selected trajectory sim 56,selected,56,23
selected CV2 sim-56,other_trajectories,24,99,99,0.3969636696256461,-0.43667618932065605,0.00041818266618065536,0.0005532592767849565,0.0003968079399783164,0.7172187735996151,selected trajectory sim 56,selected,56,24
selected CV2 sim-56,other_trajectories,25,99,99,0.4196870022135336,0.15731752969772383,5.47208110219799e-05,0.0004400796315167099,0.0005696025909855962,1.2943170967092765,selected trajectory sim 56,selected,56,25
selected CV2 sim-56,other_trajectories,26,99,99,0.4136711355444338,0.03600902244305794,0.00010110623406944796,0.000445607554866001,0.000586790731176734,1.316832995242166,selected trajectory sim 56,selected,56,26
selected CV2 sim-56,other_trajectories,27,99,99,0.3931672632527333,-0.34939850686256396,0.00035123975249007344,0.0005032595945522189,0.0006971004186198115,1.3851706478444088,selected trajectory sim 56,selected,56,27
selected CV2 sim-56,other_trajectories,28,99,99,0.39550544085989725,-0.43831696479188825,0.0003698473155964166,0.0005326986429281533,0.0006687176646664739,1.2553395311665285,selected trajectory sim 56,selected,56,28
selected CV2 sim-56,other_trajectories,29,99,99,0.42267128583147917,-0.4596440178158325,0.0004164592537563294,0.0005000184755772352,0.0004530693404376507,0.9061051992421177,selected trajectory sim 56,selected,56,29
selected CV2 sim-56,other_trajectories,30,99,99,0.4004246079613993,0.04931568393254364,0.00012580525071825832,0.000404362624976784,0.0006808824837207794,1.683841289139597,selected trajectory sim 56,selected,56,30
selected CV2 sim-56,other_trajectories,31,99,99,0.416096185928781,0.1361436160233285,6.530406972160563e-05,0.00043174592428840697,0.0005489577888511121,1.2714834303436469,selected trajectory sim 56,selected,56,31
selected CV2 sim-56,other_trajectories,32,99,99,0.3977062435348714,0.21357432486152705,6.636371836066246e-05,0.0004366798384580761,0.0006992730777710676,1.6013404242344063,selected trajectory sim 56,selected,56,32
selected CV2 sim-56,other_trajectories,33,99,99,0.4153976722940283,-0.40773714142933964,0.0003754159261006862,0.000527357158716768,0.000575338548514992,1.0909846183087346,selected trajectory sim 56,selected,56,33
selected CV2 sim-56,other_trajectories,34,99,99,0.4095521263434428,-0.4265894461741978,0.0003894710389431566,0.0005807453417219222,0.0006453465903177857,1.1112385136044647,selected trajectory sim 56,selected,56,34
selected CV2 sim-56,other_trajectories,35,99,99,0.4082129738771478,-0.1382051039598239,0.0002288108371431008,0.00044611224438995123,0.0006928410730324686,1.5530644624648526,selected trajectory sim 56,selected,56,35
selected CV2 sim-56,other_trajectories,36,99,99,0.3844009852399207,-0.4160832339872114,0.0004050753777846694,0.000495579035487026,0.0007536973571404815,1.5208418903349936,selected trajectory sim 56,selected,56,36
selected CV2 sim-56,other_trajectories,37,99,99,0.38904460551382836,-0.19805354884349075,0.0001951960293808952,0.0004680065030697733,0.0005159887368790805,1.102524715991294,selected trajectory sim 56,selected,56,37
selected CV2 sim-56,other_trajectories,38,99,99,0.43231485851476414,0.3542883359421385,3.214415119145997e-05,0.0004614321806002408,0.0005910380859859288,1.280877474165529,selected trajectory sim 56,selected,56,38
selected CV2 sim-56,other_trajectories,39,99,99,0.39515574641323464,0.35503936242589174,6.505211786134169e-05,0.00046267244033515453,0.0007893949514254928,1.7061637621070844,selected trajectory sim 56,selected,56,39
selected CV2 sim-56,other_trajectories,40,99,99,0.3872595151587349,-0.23555529897080357,0.0002208102378062904,0.0004782605974469334,0.0004139154916629195,0.8654601568109457,selected trajectory sim 56,selected,56,40
selected CV2 sim-56,other_trajectories,41,99,99,0.44259731003260167,-0.3375349566179408,0.0003303752455394715,0.0006218861672095954,0.00038046043482609093,0.611784688077591,selected trajectory sim 56,selected,56,41
selected CV2 sim-56,other_trajectories,42,99,99,0.39854613140154943,-0.3893688093340862,0.0003863555029965937,0.0005340508068911731,0.0006362505373544991,1.1913670556145266,selected trajectory sim 56,selected,56,42
selected CV2 sim-56,other_trajectories,43,99,99,0.3987914662720434,0.1806261189335656,6.343801942421123e-05,0.0004253768711350858,0.0006381345447152853,1.5001627686349561,selected trajectory sim 56,selected,56,43
selected CV2 sim-56,other_trajectories,44,99,99,0.42258268154631345,-0.09472723362063991,0.00015033585077617317,0.00047300622100010514,0.0005483805434778333,1.1593516514822146,selected trajectory sim 56,selected,56,44
selected CV2 sim-56,other_trajectories,45,99,99,0.4494887623327497,0.3422391993828219,2.1171581465750933e-05,0.00047962579992599785,0.0004410472174640745,0.9195652475995334,selected trajectory sim 56,selected,56,45
selected CV2 sim-56,other_trajectories,46,99,99,0.41765775850007,-0.2896008883663205,0.00026841473300009966,0.0005120388814248145,0.00043240832746960223,0.8444833842820102,selected trajectory sim 56,selected,56,46
selected CV2 sim-56,other_trajectories,47,99,99,0.39560322028624767,-0.4016358569635602,0.00041399543988518417,0.0005241594044491649,0.0006888239295221865,1.3141497103272741,selected trajectory sim 56,selected,56,47
selected CV2 sim-56,other_trajectories,48,99,99,0.39657922722438854,0.36278381577531477,3.651120641734451e-05,0.0004604624991770834,0.0006379770347848535,1.3855135563156948,selected trajectory sim 56,selected,56,48
selected CV2 sim-56,other_trajectories,49,99,99,0.3790368446131854,-0.429434812946165,0.0003807441971730441,0.0005206091445870697,0.0006224163225851953,1.1955539564693503,selected trajectory sim 56,selected,56,49
selected CV2 sim-56,other_trajectories,50,99,99,0.4129066186621089,-0.06186289670967086,0.00017152576765511185,0.00039967396878637373,0.0006174229783937335,1.5448165920551782,selected trajectory sim 56,selected,56,50
selected CV2 sim-56,other_trajectories,51,99,99,0.40188981247385364,0.20066846843965394,8.994343806989491e-05,0.0004372971598058939,0.0007685592281632125,1.7575216553072475,selected trajectory sim 56,selected,56,51
selected CV2 sim-56,other_trajectories,52,99,99,0.4247828994948369,0.03995725502950332,9.416977263754234e-05,0.0004627190064638853,0.0005414363695308566,1.1701191478355992,selected trajectory sim 56,selected,56,52
selected CV2 sim-56,other_trajectories,53,99,99,0.3933810536404205,-0.049418002348178565,0.00012900981528218836,0.000444421311840415,0.0004473392909858376,1.006565794816047,selected trajectory sim 56,selected,56,53
