frame,trajectory_progress,z0,z1,case,case_short,train_original_sim_idx,original_sim_idx,final_p_ratio
17,0.1717171717171717,1.826292872428894,1.7105565071105957,selected trajectory sim 56,selected,56,0,-0.4807224091848549
18,0.18181818181818182,1.798158884048462,1.6761237382888794,selected trajectory sim 56,selected,56,0,-0.4807224091848549
19,0.1919191919191919,1.7704604864120483,1.6422219276428223,selected trajectory sim 56,selected,56,0,-0.4807224091848549
20,0.20202020202020202,1.7426249980926514,1.6081407070159912,selected trajectory sim 56,selected,56,0,-0.4807224091848549
21,0.21212121212121213,1.7146365642547607,1.5738861560821533,selected trajectory sim 56,selected,56,0,-0.4807224091848549
22,0.2222222222222222,1.6880232095718384,1.5413119792938232,selected trajectory sim 56,selected,56,0,-0.4807224091848549
23,0.23232323232323232,1.659651756286621,1.5065802335739136,selected trajectory sim 56,selected,56,0,-0.4807224091848549
24,0.24242424242424243,1.63301682472229,1.47398042678833,selected trajectory sim 56,selected,56,0,-0.4807224091848549
25,0.25252525252525254,1.6049326658248901,1.4396034479141235,selected trajectory sim 56,selected,56,0,-0.4807224091848549
26,0.26262626262626265,1.5787458419799805,1.4075443744659424,selected trajectory sim 56,selected,56,0,-0.4807224091848549
27,0.2727272727272727,1.5508426427841187,1.3733904361724854,selected trajectory sim 56,selected,56,0,-0.4807224091848549
28,0.2828282828282828,1.5231313705444336,1.3394678831100464,selected trajectory sim 56,selected,56,0,-0.4807224091848549
29,0.29292929292929293,1.49629545211792,1.3066188097000122,selected trajectory sim 56,selected,56,0,-0.4807224091848549
30,0.30303030303030304,1.4689278602600098,1.273118257522583,selected trajectory sim 56,selected,56,0,-0.4807224091848549
31,0.31313131313131315,1.4418213367462158,1.2399394512176514,selected trajectory sim 56,selected,56,0,-0.4807224091848549
32,0.32323232323232326,1.4146461486816406,1.2066673040390015,selected trajectory sim 56,selected,56,0,-0.4807224091848549
33,0.3333333333333333,1.387171745300293,1.1730469465255737,selected trajectory sim 56,selected,56,0,-0.4807224091848549
34,0.3434343434343434,1.3587647676467896,1.1382654905319214,selected trajectory sim 56,selected,56,0,-0.4807224091848549
35,0.35353535353535354,1.333259105682373,1.1070586442947388,selected trajectory sim 56,selected,56,0,-0.4807224091848549
36,0.36363636363636365,1.3057529926300049,1.0733819007873535,selected trajectory sim 56,selected,56,0,-0.4807224091848549
37,0.37373737373737376,1.2782543897628784,1.0397132635116577,selected trajectory sim 56,selected,56,0,-0.4807224091848549
38,0.3838383838383838,1.2516686916351318,1.0071678161621094,selected trajectory sim 56,selected,56,0,-0.4807224091848549
39,0.3939393939393939,1.2238715887069702,0.9731313586235046,selected trajectory sim 56,selected,56,0,-0.4807224091848549
40,0.40404040404040403,1.1971452236175537,0.9404204487800598,selected trajectory sim 56,selected,56,0,-0.4807224091848549
41,0.41414141414141414,1.1699825525283813,0.9071646928787231,selected trajectory sim 56,selected,56,0,-0.4807224091848549
42,0.42424242424242425,1.143538475036621,0.874797523021698,selected trajectory sim 56,selected,56,0,-0.4807224091848549
43,0.43434343434343436,1.1161030530929565,0.8412063121795654,selected trajectory sim 56,selected,56,0,-0.4807224091848549
44,0.4444444444444444,1.0895717144012451,0.808721125125885,selected trajectory sim 56,selected,56,0,-0.4807224091848549
45,0.45454545454545453,1.0613263845443726,0.7741454243659973,selected trajectory sim 56,selected,56,0,-0.4807224091848549
46,0.46464646464646464,1.0349537134170532,0.7418566942214966,selected trajectory sim 56,selected,56,0,-0.4807224091848549
47,0.47474747474747475,1.0075935125350952,0.7083672881126404,selected trajectory sim 56,selected,56,0,-0.4807224091848549
48,0.48484848484848486,0.980587899684906,0.6752932667732239,selected trajectory sim 56,selected,56,0,-0.4807224091848549
49,0.494949494949495,0.952827513217926,0.6413055062294006,selected trajectory sim 56,selected,56,0,-0.4807224091848549
50,0.5050505050505051,0.9258096218109131,0.6082220673561096,selected trajectory sim 56,selected,56,0,-0.4807224091848549
51,0.5151515151515151,0.8996453285217285,0.5761976838111877,selected trajectory sim 56,selected,56,0,-0.4807224091848549
52,0.5252525252525253,0.8717371225357056,0.5420307517051697,selected trajectory sim 56,selected,56,0,-0.4807224091848549
53,0.5353535353535354,0.8447849750518799,0.5090210437774658,selected trajectory sim 56,selected,56,0,-0.4807224091848549
54,0.5454545454545454,0.817549467086792,0.4756755232810974,selected trajectory sim 56,selected,56,0,-0.4807224091848549
