case_short,original_sim_idx,final_p_ratio,mean_latent_path_coordinate,final_latent_path_coordinate,range_latent_path_coordinate
selected,26,0.26937916888526336,-0.6978468973672752,0.3921478540767062,2.1724744523668713
selected,27,-0.18996567826885782,0.4132235279030581,2.4329782363346015,3.8811948104806704
selected,28,-0.21109366287007186,0.6468824844640246,3.0501572373439183,4.465153248151063
selected,29,-0.2343730856231202,0.4356401450678748,2.51890328780545,3.994604177372194
selected,30,-0.06866933130407157,0.4937713945664184,2.6696804808675414,3.9577156017574717
selected,31,-0.24482213582355292,0.7954924257028635,3.6517317259845217,5.1195533750646485
selected,32,-0.2504451898786599,0.4307247764843531,2.6633850595266955,4.155751997956842
selected,33,0.1677718678598186,-0.32963229383076303,0.9552720529551265,2.5383514780652154
selected,34,0.24101002113566364,-0.716942908360306,0.4434302600317679,2.3133228051845602
selected,35,-0.17738836707016928,0.07585532198619692,1.8883938198227963,3.480220306160956
selected,36,-0.21908872590380996,0.37844437067036424,2.4148052676878127,3.8908673254918025
selected,37,0.17250469509677205,-0.43517811999508016,0.8724935511720509,2.58296504670941
selected,38,-0.32336614357869486,0.7046521809137857,3.274778382895669,4.644857138932855
selected,39,-0.2835927971877466,0.7759867734168872,3.169703399750891,4.411429500711032
selected,40,-0.3979398483632574,0.7016340295167002,3.2525403312324155,4.708999944021597
selected,41,-0.2124182814927736,0.5200572644038953,2.7577068438508308,4.184403063546588
selected,42,-0.17377978528774052,0.5416659144550793,2.9518936359036108,4.389711815284408
selected,43,0.3453760393512503,-1.0739035171003624,-0.08974401712935394,1.9575745114933256
selected,44,-0.03371838000065961,-0.08731530270063943,1.5512702706213406,3.1417696629053298
selected,45,-0.25379435107376286,0.5087194836657082,2.7432999358404966,4.1468595295072035
selected,46,-0.15348441061065293,0.6565915491723732,3.0091657800113722,4.408578027821091
selected,47,-0.2360464098886152,0.6368779411560228,3.1239627289822693,4.548950664643102
selected,48,-0.19806003763724905,0.44900605271376426,2.3861682497827634,3.709285571249372
selected,49,-0.2879174109079594,0.6346775852136117,3.1894496522005205,4.591434551703764
selected,50,-0.5936111989220015,0.8592617603439459,3.7687605957678545,5.155123531143024
selected,51,0.3524800528535854,-0.9633561086520934,0.1140885024932153,2.146796257200014
selected,52,0.27772893013013333,-0.7848606887900638,0.2733514325225257,2.1054209123999934
selected,53,0.0950451355151094,-0.3376013519488573,0.9759021667974834,2.5980390297847515
selected,54,-0.06480931009694779,0.03727005875629144,1.7158837717368682,3.263235993567508
selected,55,0.27081671507608296,-0.6548779555767967,0.5370657063344781,2.3731162302967905
selected,57,0.02298076051167721,-0.04267466346927015,1.6256620133353616,3.214725958386724
selected,58,-0.2691509251686252,0.866571498918916,3.6214967573405565,5.044120774215738
selected,59,0.1639582164351763,-0.7172742954992174,0.4988032196096528,2.421846291198163
selected,60,-0.2983576891176249,0.4986068778797919,2.669234033375088,4.143490331584947
selected,61,0.005567729494897904,-0.20423078488512963,1.3348785963872793,3.036709285120371
selected,62,-0.08105278791540436,0.22160880198294228,2.0036023469030875,3.4193119554183915
selected,63,0.18341754005038485,-0.33659853744426893,0.8976027823534013,2.4617958229689094
selected,64,0.24274224639077988,-0.73799926920959,0.35325523195030956,2.165272093191806
selected,65,0.3873779088920612,-1.148517340406793,-0.24804925713200268,1.7908162805631176
selected,66,-0.06695112756186168,0.14570449090750687,1.8862369793162463,3.328490923134234
selected,67,0.2821721893243829,-0.8117623743526973,0.2377119620770505,2.0910619419624217
selected,68,0.21269403862426334,-0.7127399073975992,0.4114994481068933,2.235293517929403
selected,69,-0.16665686710960664,0.2611059921268584,2.2113983236938815,3.6685425469580935
selected,70,0.1295779047889524,-0.3922027807631393,1.087700643332642,2.911840515975715
selected,71,0.32208064264084163,-0.9817773632991219,0.08332738935777008,2.1279277334487925
selected,72,-0.0473741087700227,0.29978430222325103,2.1679146670145997,3.538328450292408
selected,73,0.3543707109293127,-1.0463103405308345,-0.01602135564808853,2.047729640418037
selected,74,0.03867895965791973,-0.08617223248797336,1.4459910550928925,2.9969222583681554
selected,75,0.11757330529342082,-0.33007728838971656,1.0313089767044676,2.6975025661736307
selected,76,0.18183670511140954,-0.6955630040783296,0.5762456657413619,2.5326049133569946
