case_short,original_sim_idx,final_p_ratio,normal_z0,normal_z1,masked_z0,delta_z0,masked_z1,delta_z1
selected,71,-0.4991540889734968,2.261108875274658,2.2577831745147705,2.2148287296295166,-0.0462801456451416,2.220341205596924,-0.03744196891784668
selected,72,0.20470544269913032,1.610569953918457,1.8200384378433228,1.610581636428833,1.1682510375976562e-05,1.822096824645996,0.00205838680267334
selected,73,-0.4669767574585872,2.2738564014434814,2.2943243980407715,2.226417303085327,-0.0474390983581543,2.253908634185791,-0.04041576385498047
selected,74,-0.31002572813366264,2.1310172080993652,2.2014732360839844,2.0994088649749756,-0.03160834312438965,2.1748483180999756,-0.02662491798400879
selected,75,0.34077803793200123,1.5258209705352783,1.770571231842041,1.5224722623825073,-0.003348708152770996,1.770045280456543,-0.0005259513854980469
selected,76,-0.5497968824564992,2.383470296859741,2.397609233856201,2.3317692279815674,-0.05170106887817383,2.35445237159729,-0.04315686225891113
selected,77,0.012487869430966034,1.7915676832199097,1.9597798585891724,1.7843950986862183,-0.007172584533691406,1.9560626745224,-0.003717184066772461
selected,78,0.0037402536317093908,1.8623063564300537,2.017179250717163,1.8509804010391235,-0.011325955390930176,2.010352611541748,-0.006826639175415039
selected,79,-0.4733047013994222,2.365295171737671,2.3742597103118896,2.295491933822632,-0.06980323791503906,2.315412998199463,-0.05884671211242676
selected,80,0.35754182064374174,1.5376110076904297,1.7764091491699219,1.5327672958374023,-0.004843711853027344,1.7744190692901611,-0.001990079879760742
selected,81,-0.3386047566176201,2.176095485687256,2.2287769317626953,2.138056755065918,-0.03803873062133789,2.1976916790008545,-0.03108525276184082
selected,82,-0.2792191185246228,2.1105098724365234,2.169421434402466,2.0891246795654297,-0.02138519287109375,2.154634952545166,-0.014786481857299805
selected,83,-0.3408093698103313,2.282688856124878,2.2878425121307373,2.236191511154175,-0.046497344970703125,2.2508809566497803,-0.03696155548095703
selected,84,0.3437884787174968,1.5137598514556885,1.750909686088562,1.5092759132385254,-0.004483938217163086,1.7493202686309814,-0.0015894174575805664
selected,85,0.07935315397013996,1.7337372303009033,1.9109058380126953,1.7325692176818848,-0.0011680126190185547,1.913125991821289,0.00222015380859375
selected,86,0.13163828852070553,1.6723960638046265,1.8508862257003784,1.6675102710723877,-0.0048857927322387695,1.8484973907470703,-0.0023888349533081055
selected,87,-0.06735705102337672,1.9045977592468262,2.029282808303833,1.8938617706298828,-0.01073598861694336,2.0223844051361084,-0.006898403167724609
selected,88,-0.39993156530899415,2.294361114501953,2.323735475540161,2.2516467571258545,-0.04271435737609863,2.288787603378296,-0.034947872161865234
selected,89,-0.2955698868201818,2.1004388332366943,2.1701183319091797,2.0765788555145264,-0.02385997772216797,2.1523830890655518,-0.01773524284362793
selected,90,-0.11902162439303918,1.9413530826568604,2.0490424633026123,1.9165980815887451,-0.024755001068115234,2.028214693069458,-0.020827770233154297
selected,91,0.1881998080526484,1.6587657928466797,1.8648183345794678,1.6599934101104736,0.0012276172637939453,1.8699145317077637,0.0050961971282958984
selected,92,-0.481852099538911,2.3670549392700195,2.362416982650757,2.309084415435791,-0.057970523834228516,2.313844919204712,-0.04857206344604492
selected,93,-0.4068555070061775,2.2114439010620117,2.2353217601776123,2.1600868701934814,-0.05135703086853027,2.191695213317871,-0.04362654685974121
selected,94,-0.37791896579959694,2.1812002658843994,2.231031656265259,2.146474838256836,-0.03472542762756348,2.203389883041382,-0.027641773223876953
selected,95,-0.31840194165154506,2.1446948051452637,2.1979005336761475,2.109895944595337,-0.03479886054992676,2.1707210540771484,-0.027179479598999023
selected,96,0.17662705918596525,1.6218489408493042,1.8149940967559814,1.6187150478363037,-0.0031338930130004883,1.815023422241211,2.9325485229492188e-05
selected,97,0.3482703772786049,1.503853678703308,1.733844518661499,1.5004122257232666,-0.003441452980041504,1.7323875427246094,-0.0014569759368896484
selected,98,0.18759853886729774,1.6425001621246338,1.8427534103393555,1.6395515203475952,-0.0029486417770385742,1.842360019683838,-0.0003933906555175781
selected,99,0.04117477594834443,1.8197054862976074,1.971228837966919,1.8116528987884521,-0.008052587509155273,1.9681873321533203,-0.003041505813598633
