dataset,latent_dim,sim_idx,edge_count,zero_stiffness_edge_count,zero_stiffness_edge_fraction,stiffness_mean,stiffness_std,node_stiffness_mean,node_stiffness_std,horizontal_stiffness,vertical_stiffness,diagonal_stiffness
Reid CV1,1,38,516,0,0.0,0.5115199908902941,0.14064379061477675,0.5166416436039581,0.060601160800845696,0.4468323349331816,0.6334668300114572,0.4282339062880386
Reid CV1,1,39,521,0,0.0,0.6166046730527787,0.37824043708846056,0.6266439936429209,0.14618715309735691,0.6871781471960675,0.7878841759724767,0.2842743232755808
Reid CV1,1,40,401,0,0.0,0.5844182071375876,0.35628001933272163,0.5939064778299482,0.1367238378975885,0.6360989300081054,0.7658017562739801,0.25100574746298104
Reid CV1,1,41,316,0,0.0,0.46494663605772996,0.19067151128484933,0.4704946595441215,0.06973980738196202,0.4368126646168833,0.6099276485988218,0.28728479421452474
Reid CV1,1,42,541,0,0.0,0.4662176675254448,0.15404061755308432,0.4707602076324905,0.06088311317945839,0.43713874362409116,0.5911466531455517,0.3302601331726034
Reid CV1,1,43,310,0,0.0,0.6305376953596117,0.3875589167438343,0.6343481712449576,0.12730088867122014,0.6925751012016151,0.8129530524592125,0.27763212424033556
Reid CV1,1,44,346,0,0.0,0.6293360523766098,0.3929297287992663,0.634832669656898,0.15822580937984257,0.676760875461667,0.8099627976327957,0.32364990757877365
Reid CV1,1,45,308,0,0.0,0.6495018737498738,0.3847278533447648,0.656950627487118,0.15616915164528794,0.7058710879413411,0.7960543890377474,0.37679234632274267
Reid CV1,1,46,430,0,0.0,0.5943854381936754,0.37574833768843385,0.6004579941480823,0.13898541518381663,0.6488112478645858,0.8056545132854714,0.23254474730676283
Reid CV1,1,47,483,0,0.0,0.5395431320798076,0.23836956649983057,0.5465490030339135,0.09202171385026246,0.526340630700749,0.695248446194455,0.29577875097768497
Reid CV1,1,48,353,0,0.0,0.43698613738203185,0.18447588996608838,0.4416461005369349,0.06612727369968982,0.39930842900231706,0.5771188939357326,0.264432787077456
Reid CV1,1,49,482,0,0.0,0.6209111575758074,0.39374353742023444,0.62662450704524,0.1324219610982512,0.6798692365121984,0.7875438080918284,0.27638548798418894
Reid CV1,1,50,426,0,0.0,0.639748255551496,0.3864058568792369,0.6464487713897032,0.14926760987386808,0.7018413901017347,0.7992944139337851,0.32306518170957427
Reid CV1,1,51,311,0,0.0,0.6424114311078767,0.3865399224116721,0.6484295634252827,0.1441980150232919,0.7131925646501424,0.7896334478476396,0.31043408817659396
Reid CV1,1,52,364,0,0.0,0.43281665722747426,0.06075450344497515,0.43649026721970935,0.04542571687916827,0.43352741518415006,0.4315517992901623,0.4335686500583376
Reid CV1,1,53,489,0,0.0,0.6180569429169214,0.39915798208912695,0.6259235207071137,0.1424360265663187,0.6756997891999991,0.7872830433825779,0.2841650923169218
Reid CV1,1,54,341,0,0.0,0.6723091291540911,0.37468218277589976,0.6782663512850575,0.1411376217131282,0.6866209164809681,0.821085502047432,0.4071119714546512
Reid CV1,1,55,341,0,0.0,0.6027496100083823,0.34271446878207024,0.609735865536301,0.12132199512065542,0.6189028571767747,0.8076319062214998,0.279220130106204
Reid CV1,1,56,309,0,0.0,0.6149415329315708,0.3750681555041672,0.6205924242624654,0.1272116947033658,0.7037660687392496,0.7812375856798377,0.2694754669925265
Reid CV1,1,57,535,0,0.0,0.6094463109204146,0.32344729960420576,0.615017624096433,0.12573215762954207,0.6552678203181724,0.7778260907874658,0.3190638601146121
Reid CV1,1,58,482,0,0.0,0.5941159274019455,0.3658529484088054,0.6013678850806841,0.12790669128280077,0.6657169436610171,0.7673726386457517,0.24578543073157705
Reid CV1,1,59,403,0,0.0,0.6319914920456741,0.4023949243727821,0.6414282841267562,0.17282534570240238,0.6508658423308767,0.7851872470439164,0.40732748242743405
