dataset,latent_dim,sim_idx,final_p_ratio,normal_z0,masked_z0,delta_z0,normal_z1,masked_z1,delta_z1
Reid CV2,2,6,-0.1963377719651293,3.1594860553741455,3.749903917312622,0.5904178619384766,2.623307228088379,3.0596585273742676,0.43635129928588867
Reid CV2,2,7,0.22590702007093752,3.7875044345855713,3.761523962020874,-0.025980472564697266,3.0914411544799805,3.0716915130615234,-0.01974964141845703
Reid CV2,2,8,-0.06480931009694779,3.36210560798645,3.7595298290252686,0.39742422103881836,2.7721269130706787,3.0661368370056152,0.2940099239349365
Reid CV2,2,9,0.18341754005038485,3.3667657375335693,3.7158119678497314,0.3490462303161621,2.768781900405884,3.0268306732177734,0.25804877281188965
Reid CV2,2,10,0.3524800528535854,3.8976826667785645,3.739981174468994,-0.1577014923095703,3.166106939315796,3.0489633083343506,-0.11714363098144531
Reid CV2,2,11,-0.04889763898242052,3.319197416305542,3.7185418605804443,0.39934444427490234,2.7409462928771973,3.036255359649658,0.29530906677246094
Reid CV2,2,12,-0.15348441061065293,3.120900869369507,3.77803111076355,0.657130241394043,2.5977447032928467,3.083879232406616,0.48613452911376953
Reid CV2,2,13,-0.17377978528774052,3.1981875896453857,3.796036958694458,0.5978493690490723,2.6557695865631104,3.0977723598480225,0.4420027732849121
Reid CV2,2,14,0.24101002113566364,3.7591490745544434,3.785599708557129,0.026450634002685547,3.0724077224731445,3.091658592224121,0.019250869750976562
Reid CV2,2,15,-0.08436423666781437,3.354621171951294,3.7192928791046143,0.3646717071533203,2.7689380645751953,3.03849458694458,0.26955652236938477
Reid CV2,2,16,0.30795067109622015,3.7301523685455322,3.71968674659729,-0.010465621948242188,3.0455777645111084,3.037513017654419,-0.008064746856689453
Reid CV2,2,17,-0.033541463369191324,3.3773903846740723,3.751249313354492,0.3738589286804199,2.785806894302368,3.0619428157806396,0.2761359214782715
Reid CV2,2,18,-0.0473741087700227,3.0859737396240234,3.7285165786743164,0.642542839050293,2.564528226852417,3.0391952991485596,0.4746670722961426
Reid CV2,2,19,0.2511593493496609,3.668189287185669,3.8071322441101074,0.13894295692443848,3.003507375717163,3.1060969829559326,0.10258960723876953
Reid CV2,2,20,-0.21987798577425652,3.0210654735565186,3.7107441425323486,0.6896786689758301,2.5176634788513184,3.027944803237915,0.5102813243865967
Reid CV2,2,21,-0.18996567826885782,3.252741575241089,3.763526678085327,0.5107851028442383,2.688889741897583,3.0666685104370117,0.3777787685394287
Reid CV2,2,22,-0.32518965600620253,3.2836196422576904,3.7456438541412354,0.4620242118835449,2.715745449066162,3.057415246963501,0.34166979789733887
Reid CV2,2,23,-0.24482213582355292,3.245495080947876,3.7781808376312256,0.5326857566833496,2.6913256645202637,3.0849947929382324,0.39366912841796875
Reid CV2,2,24,-0.3112050286983445,3.052466869354248,3.7948529720306396,0.7423861026763916,2.5534634590148926,3.10274600982666,0.5492825508117676
Reid CV2,2,25,0.18183670511140954,3.812457799911499,3.7932989597320557,-0.01915884017944336,3.1154580116271973,3.100904941558838,-0.014553070068359375
Reid CV2,2,26,-0.03371838000065961,3.3707730770111084,3.749760389328003,0.37898731231689453,2.7827212810516357,3.062922477722168,0.2802011966705322
Reid CV2,2,27,0.02298076051167721,3.4274613857269287,3.775294303894043,0.34783291816711426,2.828857660293579,3.0860042572021484,0.25714659690856934
Reid CV2,2,28,-0.22730985066006476,3.2010719776153564,3.708930253982544,0.5078582763671875,2.64748477935791,3.023277759552002,0.3757929801940918
Reid CV2,2,29,-0.12771201037928526,3.2148735523223877,3.767604112625122,0.5527305603027344,2.6692323684692383,3.077986240386963,0.4087538719177246
Reid CV2,2,30,0.0950451355151094,3.4225761890411377,3.718966245651245,0.2963900566101074,2.8151895999908447,3.0341360569000244,0.2189464569091797
Reid CV2,2,31,-0.20617802151122547,3.2304694652557373,3.6736323833465576,0.4431629180908203,2.667269706726074,2.9951815605163574,0.3279118537902832
Reid CV2,2,32,-0.32336614357869486,3.1197092533111572,3.7330379486083984,0.6133286952972412,2.5980582237243652,3.051510810852051,0.45345258712768555
Reid CV2,2,33,0.27772893013013333,3.6880476474761963,3.718740224838257,0.030692577362060547,3.012237071990967,3.0347485542297363,0.02251148223876953
Reid CV2,2,34,-0.33399938936466717,3.27620005607605,3.799767255783081,0.5235671997070312,2.715343952178955,3.1023497581481934,0.3870058059692383
Reid CV2,2,35,0.1677718678598186,3.435086965560913,3.8026492595672607,0.36756229400634766,2.833359718322754,3.104950428009033,0.2715907096862793
Reid CV2,2,36,-0.05914505731234828,3.1333086490631104,3.7838804721832275,0.6505718231201172,2.6089000701904297,3.0898146629333496,0.4809145927429199
Reid CV2,2,37,0.24274224639077988,3.648902654647827,3.761131525039673,0.1122288703918457,2.9901132583618164,3.0728821754455566,0.08276891708374023
Reid CV2,2,38,0.27673880911901655,3.6595194339752197,3.802499532699585,0.14298009872436523,2.9994966983795166,3.1050281524658203,0.10553145408630371
Reid CV2,2,39,-0.21908872590380996,3.2358922958374023,3.7901413440704346,0.5542490482330322,2.6898796558380127,3.0996782779693604,0.40979862213134766
Reid CV2,2,40,-0.14664002278276062,3.279935359954834,3.7332475185394287,0.4533121585845947,2.7109556198120117,3.0460288524627686,0.33507323265075684
Reid CV2,2,41,0.1639582164351763,3.791916608810425,3.754406213760376,-0.03751039505004883,3.09574031829834,3.0675549507141113,-0.028185367584228516
Reid CV2,2,42,0.21035491246831667,3.7811219692230225,3.7574303150177,-0.023691654205322266,3.0857231616973877,3.067807674407959,-0.01791548728942871
Reid CV2,2,43,-0.45901086920611844,3.2257485389709473,3.806546211242676,0.5807976722717285,2.673245429992676,3.1033124923706055,0.4300670623779297
Reid CV2,2,44,-0.1466582167541242,3.0793960094451904,3.6913750171661377,0.6119790077209473,2.559860944747925,3.012280225753784,0.4524192810058594
Reid CV2,2,45,-0.3247762104239115,3.0429811477661133,3.6932005882263184,0.6502194404602051,2.5305724143981934,3.0111308097839355,0.4805583953857422
Reid CV2,2,46,-0.2343730856231202,3.292829751968384,3.763678789138794,0.47084903717041016,2.7231669425964355,3.071375846862793,0.3482089042663574
Reid CV2,2,47,0.12699982791696676,3.485267400741577,3.7576212882995605,0.2723538875579834,2.8697621822357178,3.07099986076355,0.20123767852783203
Reid CV2,2,48,0.19502236139423487,3.8855392932891846,3.7586257457733154,-0.12691354751586914,3.15787935256958,3.0636231899261475,-0.09425616264343262
Reid CV2,2,49,-0.2124182814927736,3.166599988937378,3.774582624435425,0.6079826354980469,2.6322922706604004,3.081993579864502,0.44970130920410156
Reid CV2,2,50,-0.21109366287007186,3.2133777141571045,3.791999578475952,0.5786218643188477,2.669304847717285,3.0972864627838135,0.4279816150665283
Reid CV2,2,51,-0.2523187814106471,3.0896482467651367,3.7615113258361816,0.6718630790710449,2.572498321533203,3.069545269012451,0.49704694747924805
Reid CV2,2,52,0.33742504039823745,3.9690840244293213,3.7951128482818604,-0.17397117614746094,3.2236380577087402,3.09444522857666,-0.12919282913208008
Reid CV2,2,53,-0.3979398483632574,3.21647047996521,3.766437292098999,0.5499668121337891,2.670515537261963,3.0773136615753174,0.4067981243133545
