dataset,source,target,pearson_r,abs_pearson_r,r2,n
Reid CV1,horizontal_stiffness,final_mean_abs_dy,0.3615415105200264,0.3615415105200264,0.13071226382910237,67
Reid CV1,horizontal_stiffness,final_disp_anisotropy,-0.12014431454336603,0.12014431454336603,0.014434656317095276,67
Reid CV1,horizontal_stiffness,final_p_ratio,-0.9295801825774734,0.9295801825774734,0.8641193158407688,67
Reid CV1,horizontal_stiffness,initial_z0,-0.9090937418645882,0.9090937418645882,0.8264514314973586,67
Reid CV1,horizontal_stiffness,initial_z_linear_p_ratio,-0.9090937418645882,0.9090937418645882,0.8264514314973586,67
Reid CV1,vertical_stiffness,early_x_strain,-0.12174228978889452,0.12174228978889452,0.014821185123043172,67
Reid CV1,vertical_stiffness,early_y_strain,-0.8882360164461364,0.8882360164461364,0.788963220912101,67
Reid CV1,vertical_stiffness,early_mean_abs_dx,-0.04333120504768425,0.04333120504768425,0.001877593330884457,67
Reid CV1,vertical_stiffness,early_mean_abs_dy,-0.8458461838149691,0.8458461838149691,0.7154557666743465,67
Reid CV1,vertical_stiffness,early_disp_anisotropy,0.6262219233615541,0.6262219233615541,0.3921538972986442,67
Reid CV1,vertical_stiffness,final_x_strain,0.011737738399631787,0.011737738399631787,0.00013777450273819058,67
Reid CV1,vertical_stiffness,final_y_strain,-0.8390132214553724,0.8390132214553724,0.7039431857769217,67
Reid CV1,vertical_stiffness,final_mean_abs_dx,0.2563038353146069,0.2563038353146069,0.06569165599697713,67
Reid CV1,vertical_stiffness,final_mean_abs_dy,0.10217279525453453,0.10217279525453453,0.010439280090125033,67
Reid CV1,vertical_stiffness,final_disp_anisotropy,0.06542956992842362,0.06542956992842362,0.004281028621018477,67
Reid CV1,vertical_stiffness,final_p_ratio,-0.8515527661316041,0.8515527661316041,0.7251421135063865,67
Reid CV1,vertical_stiffness,initial_z0,-0.9082896003928504,0.9082896003928504,0.824989998181804,67
Reid CV1,vertical_stiffness,initial_z_linear_p_ratio,-0.9082896003928504,0.9082896003928504,0.824989998181804,67
Reid CV1,node_stiffness_std,early_x_strain,-0.12624635631225797,0.12624635631225797,0.0159381424821216,67
Reid CV1,node_stiffness_std,early_y_strain,-0.9117547689165291,0.9117547689165291,0.8312967586420333,67
Reid CV1,node_stiffness_std,early_mean_abs_dx,-0.09721731030698075,0.09721731030698075,0.009451205423323785,67
Reid CV1,node_stiffness_std,early_mean_abs_dy,-0.7871607744675934,0.7871607744675934,0.6196220848604214,67
Reid CV1,node_stiffness_std,early_disp_anisotropy,0.5751986668642284,0.5751986668642284,0.3308535063623856,67
Reid CV1,node_stiffness_std,final_x_strain,-0.040282503572092385,0.040282503572092385,0.0016226800940356357,67
Reid CV1,node_stiffness_std,final_y_strain,-0.9049712986925397,0.9049712986925397,0.8189730514572618,67
Reid CV1,node_stiffness_std,final_mean_abs_dx,0.24433594091712135,0.24433594091712135,0.05970005202385502,67
Reid CV1,node_stiffness_std,final_mean_abs_dy,0.29719326342188496,0.29719326342188496,0.0883238358233499,67
Reid CV1,node_stiffness_std,final_disp_anisotropy,-0.13194340494727486,0.13194340494727486,0.017409062109080557,67
Reid CV1,node_stiffness_std,final_p_ratio,-0.9057114126338803,0.9057114126338803,0.820313162975259,67
Reid CV1,node_stiffness_std,initial_z0,-0.8979368280282353,0.8979368280282353,0.8062905471294085,67
Reid CV1,node_stiffness_std,initial_z_linear_p_ratio,-0.8979368280282353,0.8979368280282353,0.8062905471294085,67
Reid CV1,node_stiffness_mean,early_x_strain,-0.16775344660625607,0.16775344660625607,0.028141218848278006,67
Reid CV1,node_stiffness_mean,early_y_strain,-0.8896844859278364,0.8896844859278364,0.7915384845006787,67
Reid CV1,node_stiffness_mean,early_mean_abs_dx,-0.093975523081224,0.093975523081224,0.008831398938389665,67
Reid CV1,node_stiffness_mean,early_mean_abs_dy,-0.7699943908593677,0.7699943908593677,0.5928913619548888,67
Reid CV1,node_stiffness_mean,early_disp_anisotropy,0.5720890001290065,0.5720890001290065,0.32728582406860646,67
Reid CV1,node_stiffness_mean,final_x_strain,-0.05754140128991233,0.05754140128991233,0.003311012862406724,67
