dataset,split,sim_idx,frame,frame_frac,p_ratio,final_p_ratio,z0,pc1,case,latent_dim,pc1_formula,z1
dePablo CV1,test,26,28,0.21705426356589147,0.4061577637594768,0.40844515428566636,-3.5944435596466064,-2.639383620134823,least auxetic,1,1.000*z0,
dePablo CV1,test,26,29,0.2248062015503876,0.4062208977463215,0.40844515428566636,-3.5361685752868652,-2.581108635775082,least auxetic,1,1.000*z0,
dePablo CV1,test,26,30,0.23255813953488372,0.40637773016187406,0.40844515428566636,-3.479112386703491,-2.524052447191708,least auxetic,1,1.000*z0,
dePablo CV1,test,26,31,0.24031007751937986,0.40619282440885884,0.40844515428566636,-3.4206390380859375,-2.465579098574154,least auxetic,1,1.000*z0,
dePablo CV1,test,26,32,0.24806201550387597,0.4064720876449636,0.40844515428566636,-3.363460063934326,-2.408400124422543,least auxetic,1,1.000*z0,
dePablo CV1,test,26,33,0.2558139534883721,0.40651910546478504,0.40844515428566636,-3.3052783012390137,-2.3502183617272303,least auxetic,1,1.000*z0,
dePablo CV1,test,26,34,0.26356589147286824,0.40666709037752635,0.40844515428566636,-3.2479138374328613,-2.292853897921078,least auxetic,1,1.000*z0,
dePablo CV1,test,26,35,0.2713178294573643,0.40654760986000277,0.40844515428566636,-3.1896979808807373,-2.234638041368954,least auxetic,1,1.000*z0,
dePablo CV1,test,26,36,0.27906976744186046,0.4067292973557043,0.40844515428566636,-3.13240909576416,-2.177349156252377,least auxetic,1,1.000*z0,
dePablo CV1,test,26,37,0.2868217054263566,0.40662597827356617,0.40844515428566636,-3.074094295501709,-2.1190343559899256,least auxetic,1,1.000*z0,
dePablo CV1,test,26,38,0.29457364341085274,0.40686399954505387,0.40844515428566636,-3.0172667503356934,-2.06220681082391,least auxetic,1,1.000*z0,
dePablo CV1,test,26,39,0.3023255813953488,0.406774260580453,0.40844515428566636,-2.958702564239502,-2.0036426247277186,least auxetic,1,1.000*z0,
dePablo CV1,test,26,40,0.31007751937984496,0.40700266111929106,0.40844515428566636,-2.9016876220703125,-1.9466276825585291,least auxetic,1,1.000*z0,
