dataset,latent_dim,sim_idx,final_p_ratio,variant,z0,z1
Reid CV1,1,36,-0.05914505731234828,zero_ref_pos,-3.352081298828125,
Reid CV1,1,37,0.24274224639077988,normal,-3.0216281414031982,
Reid CV1,1,37,0.24274224639077988,stiffness_global_mean,-2.9442813396453857,
Reid CV1,1,37,0.24274224639077988,stiffness_network_mean,-2.991748094558716,
Reid CV1,1,37,0.24274224639077988,edge_geometry_train_mean,-2.9716129302978516,
Reid CV1,1,37,0.24274224639077988,zero_ref_pos,-3.0149166584014893,
Reid CV1,1,38,0.27673880911901655,normal,-3.0704591274261475,
Reid CV1,1,38,0.27673880911901655,stiffness_global_mean,-2.9778945446014404,
Reid CV1,1,38,0.27673880911901655,stiffness_network_mean,-3.0565733909606934,
Reid CV1,1,38,0.27673880911901655,edge_geometry_train_mean,-3.0016796588897705,
Reid CV1,1,38,0.27673880911901655,zero_ref_pos,-3.082374095916748,
Reid CV1,1,39,-0.21908872590380996,normal,-3.2671334743499756,
Reid CV1,1,39,-0.21908872590380996,stiffness_global_mean,-2.9176645278930664,
Reid CV1,1,39,-0.21908872590380996,stiffness_network_mean,-3.225496530532837,
Reid CV1,1,39,-0.21908872590380996,edge_geometry_train_mean,-3.2307136058807373,
Reid CV1,1,39,-0.21908872590380996,zero_ref_pos,-3.2743375301361084,
Reid CV1,1,40,-0.14664002278276062,normal,-3.2623684406280518,
Reid CV1,1,40,-0.14664002278276062,stiffness_global_mean,-2.9653375148773193,
Reid CV1,1,40,-0.14664002278276062,stiffness_network_mean,-3.2016444206237793,
Reid CV1,1,40,-0.14664002278276062,edge_geometry_train_mean,-3.178290367126465,
Reid CV1,1,40,-0.14664002278276062,zero_ref_pos,-3.2499029636383057,
Reid CV1,1,41,0.1639582164351763,normal,-2.9475533962249756,
Reid CV1,1,41,0.1639582164351763,stiffness_global_mean,-2.9524104595184326,
Reid CV1,1,41,0.1639582164351763,stiffness_network_mean,-2.928332567214966,
Reid CV1,1,41,0.1639582164351763,edge_geometry_train_mean,-2.8898730278015137,
Reid CV1,1,41,0.1639582164351763,zero_ref_pos,-2.9363300800323486,
Reid CV1,1,42,0.21035491246831667,normal,-2.9933087825775146,
Reid CV1,1,42,0.21035491246831667,stiffness_global_mean,-2.992845296859741,
Reid CV1,1,42,0.21035491246831667,stiffness_network_mean,-2.9714884757995605,
Reid CV1,1,42,0.21035491246831667,edge_geometry_train_mean,-2.9215304851531982,
Reid CV1,1,42,0.21035491246831667,zero_ref_pos,-2.957961082458496,
Reid CV1,1,43,-0.45901086920611844,normal,-3.3105969429016113,
Reid CV1,1,43,-0.45901086920611844,stiffness_global_mean,-2.9560365676879883,
Reid CV1,1,43,-0.45901086920611844,stiffness_network_mean,-3.2969319820404053,
Reid CV1,1,43,-0.45901086920611844,edge_geometry_train_mean,-3.249502420425415,
Reid CV1,1,43,-0.45901086920611844,zero_ref_pos,-3.3342716693878174,
Reid CV1,1,44,-0.1466582167541242,normal,-3.3363747596740723,
Reid CV1,1,44,-0.1466582167541242,stiffness_global_mean,-2.947335958480835,
Reid CV1,1,44,-0.1466582167541242,stiffness_network_mean,-3.277789354324341,
Reid CV1,1,44,-0.1466582167541242,edge_geometry_train_mean,-3.256028413772583,
Reid CV1,1,44,-0.1466582167541242,zero_ref_pos,-3.308154344558716,
Reid CV1,1,45,-0.3247762104239115,normal,-3.289092540740967,
Reid CV1,1,45,-0.3247762104239115,stiffness_global_mean,-2.87430739402771,
Reid CV1,1,45,-0.3247762104239115,stiffness_network_mean,-3.24668025970459,
Reid CV1,1,45,-0.3247762104239115,edge_geometry_train_mean,-3.243252992630005,
Reid CV1,1,45,-0.3247762104239115,zero_ref_pos,-3.302058696746826,
Reid CV1,1,46,-0.2343730856231202,normal,-3.2873852252960205,
Reid CV1,1,46,-0.2343730856231202,stiffness_global_mean,-2.9880402088165283,
Reid CV1,1,46,-0.2343730856231202,stiffness_network_mean,-3.2480874061584473,
Reid CV1,1,46,-0.2343730856231202,edge_geometry_train_mean,-3.221484899520874,
Reid CV1,1,46,-0.2343730856231202,zero_ref_pos,-3.2614166736602783,
Reid CV1,1,47,0.12699982791696676,normal,-3.129136800765991,
Reid CV1,1,47,0.12699982791696676,stiffness_global_mean,-2.9547159671783447,
Reid CV1,1,47,0.12699982791696676,stiffness_network_mean,-3.0937085151672363,
Reid CV1,1,47,0.12699982791696676,edge_geometry_train_mean,-3.0800626277923584,
Reid CV1,1,47,0.12699982791696676,zero_ref_pos,-3.1102135181427,
Reid CV1,1,48,0.19502236139423487,normal,-2.886418581008911,
Reid CV1,1,48,0.19502236139423487,stiffness_global_mean,-2.945186138153076,
Reid CV1,1,48,0.19502236139423487,stiffness_network_mean,-2.85986065864563,
Reid CV1,1,48,0.19502236139423487,edge_geometry_train_mean,-2.831205129623413,
Reid CV1,1,48,0.19502236139423487,zero_ref_pos,-2.89052152633667,
Reid CV1,1,49,-0.2124182814927736,normal,-3.397442102432251,
Reid CV1,1,49,-0.2124182814927736,stiffness_global_mean,-3.0146472454071045,
Reid CV1,1,49,-0.2124182814927736,stiffness_network_mean,-3.33528470993042,
Reid CV1,1,49,-0.2124182814927736,edge_geometry_train_mean,-3.312342882156372,
Reid CV1,1,49,-0.2124182814927736,zero_ref_pos,-3.379549741744995,
Reid CV1,1,50,-0.21109366287007186,normal,-3.3085031509399414,
Reid CV1,1,50,-0.21109366287007186,stiffness_global_mean,-2.944140911102295,
Reid CV1,1,50,-0.21109366287007186,stiffness_network_mean,-3.3038010597229004,
Reid CV1,1,50,-0.21109366287007186,edge_geometry_train_mean,-3.2613959312438965,
Reid CV1,1,50,-0.21109366287007186,zero_ref_pos,-3.313868761062622,
Reid CV1,1,51,-0.2523187814106471,normal,-3.367741823196411,
Reid CV1,1,51,-0.2523187814106471,stiffness_global_mean,-2.9544994831085205,
Reid CV1,1,51,-0.2523187814106471,stiffness_network_mean,-3.318319082260132,
Reid CV1,1,51,-0.2523187814106471,edge_geometry_train_mean,-3.304619073867798,
Reid CV1,1,51,-0.2523187814106471,zero_ref_pos,-3.3641388416290283,
Reid CV1,1,52,0.33742504039823745,normal,-2.8277642726898193,
Reid CV1,1,52,0.33742504039823745,stiffness_global_mean,-2.916893720626831,
