dataset,latent_dim,sim_idx,step,frame,kind,final_p_ratio,frame_p_ratio,z0,z1
Reid CV1,1,2,2,30,true_encoded,-0.1806314739996638,-0.1390703034959662,-1.5352479219436646,
Reid CV1,1,2,3,45,pred_rollout,-0.1806314739996638,-0.15181987867475502,-2.6037979125976562,
Reid CV1,1,2,3,45,true_encoded,-0.1806314739996638,-0.15181987867475502,-1.8674079179763794,
Reid CV1,1,2,4,60,pred_rollout,-0.1806314739996638,-0.1590068859180348,-3.1866116523742676,
Reid CV1,1,2,4,60,true_encoded,-0.1806314739996638,-0.1590068859180348,-2.2002034187316895,
Reid CV1,1,2,5,75,pred_rollout,-0.1806314739996638,-0.16384910001543232,-3.771684169769287,
Reid CV1,1,2,5,75,true_encoded,-0.1806314739996638,-0.16384910001543232,-2.534298896789551,
Reid CV1,1,2,6,90,pred_rollout,-0.1806314739996638,-0.16744659444535437,-4.359900951385498,
Reid CV1,1,2,6,90,true_encoded,-0.1806314739996638,-0.16744659444535437,-2.8691704273223877,
Reid CV1,1,2,7,105,pred_rollout,-0.1806314739996638,-0.17032696918924883,-4.95155143737793,
Reid CV1,1,2,7,105,true_encoded,-0.1806314739996638,-0.17032696918924883,-3.205662727355957,
Reid CV1,1,2,8,120,pred_rollout,-0.1806314739996638,-0.17283321770135332,-5.546693325042725,
Reid CV1,1,2,8,120,true_encoded,-0.1806314739996638,-0.17283321770135332,-3.5432469844818115,
Reid CV1,1,2,9,135,pred_rollout,-0.1806314739996638,-0.17500937090023114,-6.1453752517700195,
