edge_i,edge_j,stiffness,grad,contribution,abs_contribution,dataset,sim_idx,final_p_ratio,target,target_value,stiffness_percentile,abs_contribution_percentile,stiffness_zscore_within_sim
87,96,0.7935184836387634,-0.004566011019051075,-0.0014499538810923696,0.0014499538810923696,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.4806451612903226,0.13870967741935483,0.41985281894877974
87,98,0.8313139081001282,-0.003802295308560133,-0.0013511424185708165,0.0013511424185708165,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.5806451612903226,0.11612903225806452,0.5172171504814647
87,99,0.785717785358429,-0.003938956186175346,-0.0012201035860925913,0.0012201035860925913,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.47096774193548385,0.07741935483870968,0.39975753534297404
88,89,0.8892843723297119,-0.006810753606259823,-0.0028150181751698256,0.0028150181751698256,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.7548387096774194,0.6,0.666554155655795
88,99,0.7978097796440125,-0.003938956186175346,-0.001267733401618898,0.001267733401618898,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.5096774193548387,0.0935483870967742,0.4309075741979781
89,90,0.892442524433136,-0.006729434709995985,-0.0028026599902659655,0.0028026599902659655,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.7645161290322581,0.5903225806451613,0.6746898327333934
89,99,0.766352117061615,-0.003938956186175346,-0.0011438231449574232,0.0011438231449574232,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.43548387096774194,0.06774193548387097,0.34986987366767197
89,101,0.870120644569397,-0.006528440397232771,-0.0025732233189046383,0.0025732233189046383,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.7096774193548387,0.535483870967742,0.6171867105311942
90,91,0.9072161912918091,-0.004963922314345837,-0.0021406987216323614,0.0021406987216323614,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.8032258064516129,0.36774193548387096,0.7127480955649612
90,101,0.0013701199786737561,-0.006528440397232771,0.003098362823948264,0.003098362823948264,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.12258064516129032,0.6645161290322581,-1.6207909097998043
90,103,0.0016457659658044577,-0.0039415620267391205,0.0018695576582103968,0.0018695576582103968,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.15483870967741936,0.25806451612903225,-1.6200808215375577
91,92,0.002052359050139785,-0.00886700488626957,0.004202183336019516,0.004202183336019516,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.18387096774193548,0.8451612903225807,-1.6190334020568586
91,103,0.8603114485740662,-0.0039415620267391205,-0.0015149263199418783,0.0015149263199418783,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.6838709677419355,0.15483870967741936,0.5919173604823605
92,103,0.9413145184516907,-0.0039415620267391205,-0.0018342050025239587,0.0018342050025239587,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.8451612903225807,0.24838709677419354,0.8005883798749945
92,104,1.1760845184326172,-0.007127187680453062,-0.004989884793758392,0.004989884793758392,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,1.0,0.9064516129032258,1.4053765106562084
92,105,0.8319165110588074,-0.003149233525618911,-0.0011209752410650253,0.0011209752410650253,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.5870967741935483,0.05806451612903226,0.518769508606491
93,105,0.0011198640568181872,-0.003149233525618911,0.0014953975332900882,0.0014953975332900882,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.07419354838709677,0.14838709677419354,-1.6214355910248683
93,106,0.9432619214057922,-0.003907050006091595,-0.001825753366574645,0.001825753366574645,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.8548387096774194,0.24193548387096775,0.8056050608503516
94,106,0.0016966089606285095,-0.003907050006091595,0.0018529893131926656,0.0018529893131926656,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.16129032258064516,0.25161290322580643,-1.6199498455193038
94,107,0.7916534543037415,-0.003149295225739479,-0.0009941968601197004,0.0009941968601197004,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.47419354838709676,0.03870967741935484,0.41504833964788224
95,96,0.7569952011108398,-0.004566011019051075,-0.0012831881176680326,0.0012831881176680326,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.4161290322580645,0.1,0.32576563671999564
95,107,0.8597192168235779,-0.003149295225739479,-0.001208556117489934,0.001208556117489934,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.6774193548387096,0.07419354838709677,0.5903917195001389
96,97,0.871003270149231,-0.006657649762928486,-0.002630028175190091,0.002630028175190091,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.7129032258064516,0.5483870967741935,0.6194604315119449
96,107,0.7437507510185242,-0.003149295225739479,-0.0008433371549472213,0.0008433371549472213,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.3903225806451613,0.025806451612903226,0.29164677053092786
97,98,0.0024249120615422726,-0.003802295308560133,0.0018005382735282183,0.0018005382735282183,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.2064516129032258,0.23225806451612904,-1.6180736727924665
97,107,0.779965341091156,-0.003149295225739479,-0.0009573876159265637,0.0009573876159265637,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.45806451612903226,0.035483870967741936,0.38493873389428057
98,99,0.6797378659248352,-0.003938956186175346,-0.0008026533760130405,0.0008026533760130405,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.29354838709677417,0.01935483870967742,0.1267439587369591
99,100,0.0011137659894302487,-0.005212906748056412,0.002475353889167309,0.002475353889167309,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.07096774193548387,0.5096774193548387,-1.6214513001818187
99,101,0.8436604738235474,-0.006528440397232771,-0.0024004795122891665,0.0024004795122891665,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.6258064516129033,0.4806451612903226,0.5490229877095634
100,102,1.088271975517273,-0.0053050159476697445,-0.0032482994720339775,0.0032482994720339775,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.9774193548387097,0.7129032258064516,1.1791636909039793
101,102,0.001250689965672791,-0.0053050159476697445,0.0025183656252920628,0.0025183656252920628,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.0935483870967742,0.5129032258064516,-1.621098571998245
102,103,0.0008708870154805481,-0.0039415620267391205,0.0018726119305938482,0.0018726119305938482,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.041935483870967745,0.26129032258064516,-1.6220769777414432
104,105,0.8198303580284119,-0.003149233525618911,-0.0010829131351783872,0.0010829131351783872,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.5483870967741935,0.05161290322580645,0.4876345173376642
105,106,0.8323760628700256,-0.003907050006091595,-0.0013925167731940746,0.0013925167731940746,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.5903225806451613,0.12258064516129032,0.519953354416971
0,1,0.43282657861709595,-0.02082555554807186,0.0008983764564618468,0.0008983764564618468,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.5623188405797102,0.9420289855072463,0.011234908434810623
0,10,0.4319268465042114,-0.010028855875134468,0.0004416498413775116,0.0004416498413775116,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.5507246376811594,0.6579710144927536,-0.0034985236959444296
0,11,0.3289457857608795,-0.00867269467562437,0.00127505068667233,0.00127505068667233,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.017391304347826087,0.9739130434782609,-1.6898498803800217
0,22,0.46520256996154785,-0.005101833958178759,5.490687908604741e-05,5.490687908604741e-05,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.7246376811594203,0.0782608695652174,0.5414032377724323
0,100,0.3292456269264221,-0.0076222787611186504,0.0011183341266587377,0.0011183341266587377,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.020289855072463767,0.9681159420289855,-1.6849398750581426
0,110,0.4145132899284363,-0.00358744733966887,0.00022045389050617814,0.00022045389050617814,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.4318840579710145,0.33043478260869563,-0.2886516823863863
0,119,0.4236496388912201,-0.0036923368461430073,0.00019316503312438726,0.00019316503312438726,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.48985507246376814,0.2985507246376812,-0.1390407310394196
1,2,0.5433413982391357,-0.022863978520035744,-0.0015404981095343828,0.0015404981095343828,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.9449275362318841,0.9797101449275363,1.8209542360286495
1,11,0.41259676218032837,-0.00867269467562437,0.0005495712393894792,0.0005495712393894792,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.4144927536231884,0.7739130434782608,-0.3200355033027359
