dataset,latent_dim,sim_idx,early_filtered_step,early_frame,final_filtered_step,final_frame,early_x_strain,early_y_strain,early_mean_abs_dx,early_mean_abs_dy,early_disp_anisotropy,final_x_strain,final_y_strain,final_mean_abs_dx,final_mean_abs_dy,final_disp_anisotropy,final_p_ratio,stiffness_mean,stiffness_std,zero_stiffness_edge_count,zero_stiffness_edge_fraction,node_stiffness_mean,node_stiffness_std,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,edge_count,initial_z0,initial_z1,initial_z_linear_p_ratio
Reid CV2,2,4,2,30,80,1200,-0.0006283039692789316,-4.691173307946883e-05,0.0019038692116737366,0.000282431545201689,6.7409935045115175,-0.02967947907745838,-0.003994006663560867,0.0879879966378212,0.0302143432199955,2.9121267338881545,-0.33039033700227455,0.6139054288994984,0.3932606271027274,0,0.0,0.6221440080371443,0.15158225453129398,0.6930819488565128,0.800162977996466,0.2654958837602118,402,3.273790121078491,2.713381767272949,4.198612279047634
Reid CV2,2,5,2,30,80,1200,-0.0006217591580934823,9.68575113802217e-05,0.0023369526024907827,0.000425992562668398,5.48590000692082,-0.024928061291575432,0.003536592237651348,0.09534301608800888,0.016643263399600983,5.728625077837481,0.1606833051492441,0.5476103538798319,0.21461966360087026,0,0.0,0.5543386060815482,0.08308743851234848,0.4984474082259422,0.7156503287558796,0.365301239829606,629,3.391774892807007,2.7906908988952637,4.339515405082607
Reid CV2,2,6,2,30,80,1200,-0.0005275583826005459,-4.868103496846743e-05,0.0020120618864893913,0.00026187181356363,7.683384703029514,-0.019800150766968727,-0.0026780380867421627,0.08200021833181381,0.024609750136733055,3.3320215717842045,-0.1963377719651293,0.640144655142134,0.3970647594748606,0,0.0,0.6490575633059776,0.16287760541741084,0.6776600995728157,0.8005298905732045,0.36167599295416997,424,3.1594860553741455,2.623307228088379,4.054388763812073
Reid CV2,2,7,2,30,80,1200,-0.0005691054975613952,0.0001421817287337035,0.0023783135693520308,0.0005415886989794672,4.391364837991566,-0.022132698446512222,0.006161714904010296,0.09613658487796783,0.022525915876030922,4.267821357721733,0.22590702007093752,0.4702612091600895,0.14856451290651973,0,0.0,0.4747014309941439,0.06157226538255253,0.4480342906769191,0.5956530480037833,0.3433716073201571,600,3.787504196166992,3.0914411544799805,4.833187615322145
Reid CV2,2,8,2,30,80,1200,-0.0006017711129970849,1.7228248907485977e-05,0.002099493518471718,0.00011823463864857331,17.757008795975644,-0.024803990498185158,-0.0009504714398644865,0.08200333267450333,0.013252085074782372,6.187957005388452,-0.06480931009694779,0.5777337370923578,0.33354396610142867,0,0.0,0.5828095995164421,0.11543141891292744,0.5856277306428116,0.7642905328560758,0.2928028202842216,451,3.36210560798645,2.7721269130706787,4.304528630128336
Reid CV2,2,9,2,30,80,1200,-0.0005720307817682624,0.00010114223550772294,0.001698155771009624,0.0003207236295565963,5.294763511367535,-0.021905897185206413,0.004165221005678177,0.06974777579307556,0.014651830308139324,4.760345590020215,0.18341754005038485,0.5550417813601218,0.2237528877148782,0,0.0,0.5610244256825345,0.07966445834581595,0.49563490517311176,0.7346527716692757,0.3609377751882012,311,3.3667657375335693,2.768781900405884,4.306840965609248
Reid CV2,2,10,2,30,80,1200,-0.0006184421363286674,0.00022994473692961037,0.0016506873071193695,0.0005556541145779192,2.970710130299762,-0.025640102103352547,0.0106717050075531,0.06737464666366577,0.023435650393366814,2.8748784664724036,0.3524800528535854,0.43137236310724625,0.059696831913206065,0,0.0,0.4357785145420403,0.04182604600403371,0.43248240636513297,0.4377205831663949,0.4195514975199059,285,3.8976824283599854,3.166106939315796,4.966024487035413
Reid CV2,2,11,2,30,80,1200,-0.0005953913787379861,1.7435204426874407e-05,0.002000798238441348,0.00011196365085197613,17.870069645072086,-0.02407747507095337,-0.0005624119658023119,0.08460642397403717,0.009127276949584484,9.269623836481575,-0.04889763898242052,0.5729279577740872,0.3345514324965244,0,0.0,0.5784519172706876,0.11473851382479103,0.6388268531055042,0.7615399679083279,0.25054747751758744,424,3.319197177886963,2.7409462928771973,4.251727055163617
Reid CV2,2,12,2,30,80,1200,-0.0005572521477006376,1.9769338166497619e-07,0.0021148824598640203,0.0001730364456307143,12.222179276483155,-0.023800449445843697,-0.0010914651211351156,0.09092755615711212,0.026334581896662712,3.4527814610428673,-0.15348441061065293,0.6568313331472608,0.3789025634973783,0,0.0,0.664079649453729,0.1445845949529898,0.6692222267803218,0.8385978446779822,0.3716972327408139,521,3.120900869369507,2.5977447032928467,4.008166262806208
Reid CV2,2,13,2,30,80,1200,-0.0005518458783626556,6.171441327751381e-06,0.0019035220611840487,0.00013308096094988286,14.303489000961592,-0.02378726750612259,-0.003931833431124687,0.09378179907798767,0.0172794908285141,5.427347368548137,-0.17377978528774052,0.6307465250613868,0.3626891266342827,0,0.0,0.6384636781427356,0.14291274346698646,0.664675787128919,0.7969029118119377,0.32051935839547735,372,3.1981875896453857,2.6557695865631104,4.104219325345675
Reid CV2,2,14,2,30,80,1200,-0.0005942405550740659,0.00013922523066867143,0.002124373335391283,0.0005011414759792387,4.239069079724887,-0.02386186085641384,0.005159539170563221,0.08897081762552261,0.020942121744155884,4.248414688466361,0.24101002113566364,0.4868294473427037,0.14863038956239277,0,0.0,0.49109648963280206,0.05836272043247439,0.44172575458281305,0.6108058301891599,0.38157999165581935,480,3.7591490745544434,3.0724077224731445,4.799093828398025
Reid CV2,2,15,2,30,80,1200,-0.0005726430681534111,-4.863759386353195e-06,0.0021721122320741415,0.00013686608872376382,15.870346353347653,-0.021818356588482857,-0.0013491674326360226,0.09076555073261261,0.012200444005429745,7.439528487013905,-0.08436423666781437,0.5659288058653187,0.32888930859077875,0,0.0,0.573420512914256,0.11332508555518427,0.6141867466748525,0.7627949402964813,0.2245969549026888,519,3.354621171951294,2.7689380645751953,4.296462413360794
Reid CV2,2,16,2,30,80,1200,-0.0005979134002700448,0.00015786020958330482,0.002268868498504162,0.000645067251753062,3.5172588475669615,-0.024735866114497185,0.005633771885186434,0.09233304113149643,0.02826959453523159,3.266160786863228,0.30795067109622015,0.46750041909432144,0.092203557818838,0,0.0,0.4724434655333333,0.04498227115941571,0.4298860405385494,0.5404920328349967,0.42261564627393977,534,3.7301526069641113,3.0455777645111084,4.760484016436663
Reid CV2,2,17,2,30,80,1200,-0.0006036373088136315,2.9825747333234176e-05,0.0022738727275282145,0.00014241825556382537,15.966160507486123,-0.023452838882803917,0.0007348401704803109,0.09865260869264603,0.010294632986187935,9.582916537676077,-0.033541463369191324,0.5634777281082981,0.30610361644646783,0,0.0,0.5711566741127155,0.11816696135798539,0.5931234523051917,0.7522269110463521,0.24589479377380374,521,3.3773903846740723,2.7858071327209473,4.32464569323781
Reid CV2,2,18,2,30,80,1200,-0.0006516508874483407,3.085005801040097e-06,0.0019160570809617639,0.00012513692490756512,15.311684240100176,-0.028762120753526688,-0.0018574820132926106,0.0825175940990448,0.013641849160194397,6.04885694967389,-0.0473741087700227,0.6377146094499196,0.3438293454088585,0,0.0,0.6482321290596571,0.15641407409594402,0.6673576338014201,0.8135177624576232,0.3520006689442588,372,3.0859737396240234,2.564528226852417,3.9612025289569153
Reid CV2,2,19,2,30,80,1200,-0.0005986328469589353,0.00014169886708259583,0.001846524653956294,0.00047099561197683215,3.9204710341274325,-0.024039655923843384,0.006202807184308767,0.07420611381530762,0.01972625032067299,3.761795202281301,0.2511593493496609,0.5080059484217336,0.15797782141134606,0,0.0,0.51211495861145,0.05610931693068906,0.4324902425209681,0.6625284654172984,0.40495188835293355,366,3.668189287185669,3.003507614135742,4.685737637715155
Reid CV2,2,20,2,30,80,1200,-0.0006095824064686894,-0.00010608560842229053,0.0019279827829450369,0.00020984822185710073,9.187510696459109,-0.024840250611305237,-0.0042487867176532745,0.09765298664569855,0.024097120389342308,4.052475360868786,-0.21987798577425652,0.6573991180035704,0.3853776853753157,0,0.0,0.6650346808347681,0.16264682947426445,0.7034360065818943,0.8220114277738496,0.3594896160363106,369,3.0210654735565186,2.5176634788513184,3.881482623772533
Reid CV2,2,21,2,30,80,1200,-0.0006715976051054895,-2.8156387998024002e-05,0.0017251361859962344,0.00017740025941748172,9.724541506652569,-0.026761889457702637,-0.004078039899468422,0.07339326292276382,0.015642093494534492,4.69203581658735,-0.18996567826885782,0.6232783614517228,0.39310878855225095,0,0.0,0.6292229286567486,0.14888936986072546,0.6632268612983269,0.8312330647638321,0.28126862666267255,313,3.252741575241089,2.688889741897583,4.168035196306793
