dataset,sim_idx,final_p_ratio,mean_frame_p_ratio,final_frame_p_ratio,initial_z0,mean_z0,final_z0,slope_z0,initial_pc1,mean_pc1,final_pc1,slope_pc1,initial_z1,mean_z1,final_z1,slope_z1,initial_pc2,mean_pc2,final_pc2,slope_pc2,initial_z_linear_p_ratio
Reid CV1,37,0.24274224639077988,0.2436740325263206,0.24276848395471373,-3.0216281414031982,-4.668957271575928,-6.3530473709106445,-3.3314192295074463,2.7947385170922354,1.1474093869195057,-0.5366807124152109,-3.3314192295074463,,,,,,,,,-3.0216281414031982
Reid CV1,38,0.27673880911901655,0.27760117719650074,0.2767185316731882,-3.0704591274261475,-4.892938776016235,-6.751667022705078,-3.6812078952789307,2.745907531069286,0.9234278824791979,-0.9353003642096445,-3.6812078952789307,,,,,,,,,-3.0704591274261475
Reid CV1,39,-0.21908872590380996,-0.18293043912918447,-0.2186132270718704,-3.2671334743499756,-6.138296182155609,-9.41236400604248,-6.145230531692505,2.549233184145458,-0.3219295236601756,-3.595997347547047,-6.145230531692505,,,,,,,,,-3.2671334743499756
Reid CV1,40,-0.14664002278276062,-0.12322353200560753,-0.14639381381361982,-3.2623684406280518,-5.941007494926453,-9.083719253540039,-5.821350812911987,2.553998217867382,-0.12464083643101911,-3.2673525950446054,-5.821350812911987,,,,,,,,,-3.2623684406280518
Reid CV1,41,0.1639582164351763,0.16562491755139122,0.1639344516689685,-2.9475533962249756,-4.780368804931641,-6.64771842956543,-3.700165033340454,2.868813262270458,1.0359978535637928,-0.831351771069996,-3.700165033340454,,,,,,,,,-2.9475533962249756
Reid CV1,42,0.21035491246831667,0.21043143939951617,0.2104205333244271,-2.9933087825775146,-4.820702443122864,-6.681203842163086,-3.6878950595855713,2.823057875917919,0.9956642153725695,-0.8648371836676523,-3.6878950595855713,,,,,,,,,-2.9933087825775146
Reid CV1,43,-0.45901086920611844,-0.39502902206890095,-0.45833826695595764,-3.3105969429016113,-7.037943115234375,-11.633094787597656,-8.322497844696045,2.5057697155938223,-1.221576456738941,-5.816728129102223,-8.322497844696045,,,,,,,,,-3.3105969429016113
Reid CV1,44,-0.1466582167541242,-0.1359501866779282,-0.14630506633368004,-3.336374521255493,-6.260943694114685,-9.682463645935059,-6.346089124679565,2.4799921372399405,-0.44457703561925144,-3.866096987439625,-6.346089124679565,,,,,,,,,-3.336374521255493
Reid CV1,45,-0.3247762104239115,-0.28812606282364234,-0.32454803162532725,-3.289092779159546,-6.542309496402741,-10.859929084777832,-7.570836305618286,2.5272738793358878,-0.7259428379073067,-5.043562426282398,-7.570836305618286,,,,,,,,,-3.289092779159546
Reid CV1,46,-0.2343730856231202,-0.1986425052652799,-0.23398223121757783,-3.2873849868774414,-6.466910359859466,-10.194808006286621,-6.90742301940918,2.5289816716179923,-0.650543701364033,-4.378441347791187,-6.90742301940918,,,,,,,,,-3.2873849868774414
Reid CV1,47,0.12699982791696676,0.12988453094942815,0.12703361348862824,-3.129136800765991,-5.0212666082382205,-6.9668169021606445,-3.8376801013946533,2.6872298577294425,0.7951000502572131,-1.1504502436652109,-3.8376801013946533,,,,,,,,,-3.129136800765991
Reid CV1,48,0.19502236139423487,0.19397013206820604,0.1950168057233346,-2.886418581008911,-4.795242383480072,-6.7566328048706055,-3.8702142238616943,2.9299480774865225,1.0211242750153613,-0.9402661463751718,-3.8702142238616943,,,,,,,,,-2.886418581008911
Reid CV1,49,-0.2124182814927736,-0.1866387993229372,-0.2117510868909061,-3.397442102432251,-6.590177764892578,-10.562956809997559,-7.165514707565308,2.4189245560631827,-0.7738111063971443,-4.746590151502125,-7.165514707565308,,,,,,,,,-3.397442102432251
Reid CV1,50,-0.21109366287007186,-0.18470786272908335,-0.21060710185835887,-3.3085031509399414,-6.624896619319916,-10.612032890319824,-7.303529739379883,2.5078635075554923,-0.8085299608244818,-4.795666231824391,-7.303529739379883,,,,,,,,,-3.3085031509399414
Reid CV1,51,-0.2523187814106471,-0.20799777601943187,-0.25170788770538555,-3.367741823196411,-6.307132494449616,-9.726900100708008,-6.359158277511597,2.4486248352990225,-0.49076583595418183,-3.910533442212574,-6.359158277511597,,,,,,,,,-3.367741823196411
Reid CV1,52,0.33742504039823745,0.3374377617613115,0.33742788705316396,-2.8277642726898193,-4.41162930727005,-6.036517143249512,-3.2087528705596924,2.9886023858056143,1.4047373512253833,-0.22015048475407806,-3.2087528705596924,,,,,,,,,-2.8277642726898193
Reid CV1,53,-0.3979398483632574,-0.3421265540388417,-0.3968440335910907,-3.330958127975464,-6.859273390769959,-11.427276611328125,-8.096318483352661,2.48540853051997,-1.0429067322745247,-5.610909952832691,-8.096318483352661,,,,,,,,,-3.330958127975464
Reid CV1,54,-0.06866933130407157,-0.051379402754526744,-0.06827555448157148,-3.5250916481018066,-6.850888087749481,-11.755341529846191,-8.230249881744385,2.291275010393627,-1.0345214292540472,-5.938974871350758,-8.230249881744385,,,,,,,,,-3.5250916481018066
Reid CV1,55,-0.06695112756186168,-0.051969814704590465,-0.06676315326665763,-3.2717511653900146,-5.707820265293122,-8.531598091125488,-5.259846925735474,2.544615493105419,0.10854639320231203,-2.7152314326300546,-5.259846925735474,,,,,,,,,-3.2717511653900146
Reid CV1,56,-0.2691509251686252,-0.23463271637494174,-0.2686536084197683,-3.2973647117614746,-7.379597325325012,-12.743274688720703,-9.445909976959229,2.519001946733959,-1.5632306668295783,-6.9269080302252695,-9.445909976959229,,,,,,,,,-3.2973647117614746
Reid CV1,57,-0.06082767686482228,-0.044773745279245665,-0.060621656759413514,-3.3332133293151855,-5.81559604883194,-8.598432540893555,-5.265219211578369,2.483153329180248,0.0007706096634938486,-2.782065882398121,-5.265219211578369,,,,,,,,,-3.3332133293151855
Reid CV1,58,-0.15711103408322405,-0.13387955916212518,-0.15676566445475365,-3.2045562267303467,-5.872152297496796,-8.891637802124023,-5.687081575393677,2.611810431765087,-0.05578563900136218,-3.0752711436285898,-5.687081575393677,,,,,,,,,-3.2045562267303467
Reid CV1,59,-0.1623723264424866,-0.1444445700567793,-0.16200952140172858,-3.3636209964752197,-6.488523986339569,-10.744760513305664,-7.381139516830444,2.452745662020214,-0.6721573278441355,-4.92839385481023,-7.381139516830444,,,,,,,,,-3.3636209964752197
Reid CV1,60,-0.07075996703199396,-0.05626719236801986,-0.07051907063733816,-3.1929781436920166,-5.9083124542236325,-8.942798614501953,-5.7498204708099365,2.623388514803417,-0.09194579572819933,-3.1264319560065195,-5.7498204708099365,,,,,,,,,-3.1929781436920166
Reid CV1,61,-0.16665686710960664,-0.14655968841008402,-0.1663640050818882,-3.3905155658721924,-6.354086337089538,-10.122790336608887,-6.732274770736694,2.4258510926232413,-0.537719678594105,-4.306423678113453,-6.732274770736694,,,,,,,,,-3.3905155658721924
Reid CV1,62,0.21269403862426334,0.21495447810499452,0.21275556791862948,-2.962379217147827,-4.650004742145538,-6.363771915435791,-3.401392698287964,2.8539874413476065,1.166361916349895,-0.5474052569403574,-3.401392698287964,,,,,,,,,-2.962379217147827
Reid CV1,63,0.3873779088920612,0.38763747104269236,0.3873096287020074,-2.8817503452301025,-4.359786581993103,-5.870663642883301,-2.9889132976531982,2.934616313265331,1.4565800765023302,-0.05429698438786712,-2.9889132976531982,,,,,,,,,-2.8817503452301025
Reid CV1,64,-0.25379435107376286,-0.22739221888859715,-0.25331803277915954,-3.307037830352783,-6.3923697185516355,-10.219565391540527,-6.912527561187744,2.5093288281426505,-0.5760030600562022,-4.403198733045094,-6.912527561187744,,,,,,,,,-3.307037830352783
Reid CV1,65,-0.2835927971877466,-0.21890055172493597,-0.28261810830586337,-3.5014994144439697,-6.792890331745148,-11.017022132873535,-7.515522718429565,2.314867244051464,-0.9765236732497138,-5.2006554743781015,-7.515522718429565,,,,,,,,,-3.5014994144439697
Reid CV1,66,0.03867895965791973,0.04675394124992604,0.03874058558137393,-3.3380484580993652,-5.530107214450836,-7.8817267417907715,-4.543678283691406,2.4783182003960684,0.28625944404459713,-2.065360083295338,-4.543678283691406,,,,,,,,,-3.3380484580993652
Reid CV2,0,0.2238599590476573,0.225451623421897,0.22388439572482058,3.7060670852661133,9.017554745674133,14.385252952575684,10.67918586730957,-9.517251180494704,-2.771864855317306,4.044789674270686,13.562040854765389,3.033402681350708,7.1913325715065,11.393074989318848,8.35967230796814,-0.010967476918640338,-0.004224908609556601,0.0024391941193004636,0.013406671037940802,4.733553653288526
Reid CV2,1,-0.24075396534886645,-0.2108383254200184,-0.2403077643856704,3.1447126865386963,14.084933853149414,28.042423248291016,24.89771056175232,-10.218703380662124,3.66365728327864,21.36578770884139,31.584491089503512,2.6125574111938477,11.15840428352356,22.04665756225586,19.43410015106201,0.002972152355633676,0.0023925534722478038,-0.009775999467551283,-0.012748151823184959,4.036201899655508
Reid CV2,2,0.15031615373850205,0.15204298573793198,0.1503850164640129,3.698904514312744,9.856684131622314,16.248394012451172,12.549489498138428,-9.527120525045286,-1.707005856189909,6.409616503640375,15.936737028685661,3.0265398025512695,7.846913659572602,12.849478721618652,9.822938919067383,-0.01196625928717178,-0.004187907221190048,0.0031516153883397384,0.015117874675511518,4.723896727053481
