dataset,split,sim_idx,target_index,rollout_steps,filtered_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid CV1,test,15,150,10,10,0.12885538039753255,-0.051114084588981326,1.3473522813001182e-05,9.054413385456428e-05,6.193907756824046e-05,0.6840760956168576
Reid CV1,test,16,150,10,10,0.1304000245979768,0.3040510216133223,1.2876963410235476e-05,9.515655983705074e-05,5.7803074014373124e-05,0.6074523302792475
Reid CV1,test,17,150,10,10,0.1192513979230857,-0.003861365285155976,1.2425347449607216e-05,9.330274042440578e-05,6.666717672487721e-05,0.7145253871604254
Reid CV1,test,18,150,10,10,0.12511584800741427,-0.02462978198272316,1.5925610568956472e-05,7.390357495751232e-05,6.055432095308788e-05,0.8193693063955428
Reid CV1,test,19,150,10,10,0.14289862436935138,0.2512572780461545,7.873073627706617e-06,6.165257946122438e-05,4.606973743648268e-05,0.7472475253927967
Reid CV1,test,20,150,10,10,0.1124456199684921,-0.17791329000508171,1.8034290405921638e-05,8.283556235255674e-05,5.8524954511085525e-05,0.7065196740259607
Reid CV1,test,21,150,10,10,0.11563731931668857,-0.11756765241413951,1.4796827599639073e-05,6.082984691602178e-05,4.719207572634332e-05,0.7758046110405967
Reid CV1,test,22,150,10,10,0.12991803278688524,-0.25148797961118274,1.935831824084744e-05,6.406121974578127e-05,5.236050856183283e-05,0.8173511021116798
Reid CV1,test,23,150,10,10,0.12302659868542294,-0.17866273093851304,2.0550331100821495e-05,6.966730143176392e-05,5.759308623964898e-05,0.826687485463448
Reid CV1,test,24,150,10,10,0.1270479568721794,-0.24220801285021468,2.3046544811222702e-05,6.146262603579089e-05,4.842327325604856e-05,0.7878490780372895
Reid CV1,test,25,150,10,10,0.14761069869810126,0.1862746437500854,7.338571776926983e-06,6.264877447392792e-05,4.155693750362843e-05,0.6633320101245218
Reid CV1,test,26,150,10,10,0.13218508430813797,0.020993499054533408,1.0515423127799295e-05,7.517122139688581e-05,5.767039328929968e-05,0.7671871258392091
Reid CV1,test,27,150,10,10,0.14272178998961427,0.04264395680508768,9.1905776571366e-06,5.7594435929786414e-05,4.1945775592466816e-05,0.728295622924462
Reid CV1,test,28,150,10,10,0.13860560807335545,-0.12987073159431034,1.772281939338427e-05,6.548730743816122e-05,4.539415022009052e-05,0.6931747844871405
Reid CV1,test,29,150,10,10,0.12462654716175843,-0.08315401621223287,1.2753122064168565e-05,6.099516394897364e-05,6.26611290499568e-05,1.0273130686619163
Reid CV1,test,30,150,10,10,0.1458344215199791,0.10902322283283106,8.776780305197462e-06,6.539099558722228e-05,4.968576831743121e-05,0.7598258425528553
Reid CV1,test,31,150,10,10,0.13208479789103691,-0.1319137082546659,2.000469248741865e-05,6.555800791829824e-05,4.519563663052395e-05,0.6893991758695456
Reid CV1,test,32,150,10,10,0.12577875541048747,-0.23145489663812904,2.7783717087004334e-05,8.573083323426545e-05,7.075979374349117e-05,0.8253715853913974
Reid CV1,test,33,150,10,10,0.1303878494053481,0.277202485263661,5.335584319254849e-06,4.921497748000547e-05,3.683679096866399e-05,0.7484874088102477
Reid CV1,test,34,150,10,10,0.12313663722787872,-0.2228588195323841,2.134374517481774e-05,6.434528768295422e-05,4.265170719008893e-05,0.662856733196141
Reid CV1,test,35,150,10,10,0.14130723820666916,0.1743675388136327,7.65726053941762e-06,5.1786741096293554e-05,4.845996227231808e-05,0.9357600274983595
Reid CV1,test,36,150,10,10,0.1266144596199525,-0.06420058656992218,1.2770761713909451e-05,5.129364217282273e-05,4.504462413024157e-05,0.8781716840943669
Reid CV1,test,37,150,10,10,0.13894295553226532,0.24403846886791256,1.0196036782872397e-05,7.649442704860121e-05,4.9327420128975064e-05,0.6448498541944053
Reid CV1,test,38,150,10,10,0.1288606984662669,0.27756210226295486,8.914123100112192e-06,8.444483682978898e-05,5.962350405752659e-05,0.7060645303597015
Reid CV1,test,39,150,10,10,0.12796229669055337,-0.14921230919924905,2.26816027861787e-05,9.6123170806095e-05,6.757847586413845e-05,0.7030404354893942
Reid CV1,test,40,150,10,10,0.13367381462565855,-0.09604634776481641,1.3809641131956596e-05,5.43365313205868e-05,5.5779266403988004e-05,1.0265518436370005
Reid CV1,test,41,150,10,10,0.1388953085278484,0.1672608849994598,6.754562036803691e-06,5.3020703489892185e-05,3.455251862760633e-05,0.6516797468406542
Reid CV1,test,42,150,10,10,0.1376606270389487,0.20998120100734224,1.0053739060822409e-05,9.359630348626524e-05,5.899315874557942e-05,0.6302936819960668
Reid CV1,test,43,150,10,10,0.13019897630588795,-0.3269334027563091,2.3669213987886906e-05,5.825560219818726e-05,4.968105713487603e-05,0.8528116654920092
Reid CV1,test,44,150,10,10,0.1344685647918837,-0.14211094323332613,2.1793954147142358e-05,6.778033275622874e-05,5.011884786654264e-05,0.7394305372739103
Reid CV1,test,45,150,10,10,0.12030753006412546,-0.24096869146374097,2.0958472305210307e-05,7.01584795024246e-05,4.6581339120166376e-05,0.6639445360066074
Reid CV1,test,46,150,10,10,0.12227398659629464,-0.16029345789459795,1.901624636957422e-05,8.477670780848712e-05,5.505295121110976e-05,0.6493876989830257
Reid CV1,test,47,150,10,10,0.1273073173799566,0.1323121195915145,7.743374226265587e-06,7.611867476953194e-05,5.56821032660082e-05,0.73151698232529
Reid CV1,test,48,150,10,10,0.1382640935450138,0.19240451589985946,5.297564712236635e-06,5.15493520651944e-05,3.778612881433219e-05,0.7330088022550529
Reid CV1,test,49,150,10,10,0.12287667594055392,-0.18093024901796562,2.314338053110987e-05,9.95971349766478e-05,7.293838280020282e-05,0.7323341461308545
Reid CV1,test,50,150,10,10,0.12764634516226872,-0.1649882779198636,1.9351464288774878e-05,8.421868551522493e-05,6.0204314650036395e-05,0.7148569736243716
Reid CV1,test,51,150,10,10,0.11581254496478108,-0.1646967177505131,1.9104067177977413e-05,6.852446676930413e-05,5.215686542214826e-05,0.7611422296468301
Reid CV1,test,52,150,10,10,0.1271214642262895,0.3369907950737384,9.660232535679825e-06,6.854773528175429e-05,4.153946792939678e-05,0.6059932944342445
Reid CV1,test,53,150,10,10,0.12467908724524189,-0.3024752224919094,3.1029816454974934e-05,0.00010404367640148848,6.619490886805579e-05,0.63622231698753
Reid CV1,test,54,150,10,10,0.12378952646588737,-0.042791850878241125,1.4680298590974417e-05,7.156030187616125e-05,6.091332761570811e-05,0.8512167503306755
Reid CV1,test,55,150,10,10,0.1285605740818911,-0.04020716317747465,1.1796175385825336e-05,7.174386701080948e-05,4.912536678602919e-05,0.6847326305763193
Reid CV1,test,56,150,10,10,0.13203395674947865,-0.20194419231107077,1.8046550394501537e-05,6.653094169450924e-05,5.128324482939206e-05,0.7708179611355845
Reid CV1,test,57,150,10,10,0.12824074751049175,-0.029304514219007618,1.2745837921102066e-05,8.113346120808274e-05,6.823908915976062e-05,0.8410720822663789
Reid CV1,test,58,150,10,10,0.12466084036636736,-0.11409692712043427,1.8755476048681885e-05,9.612558642402291e-05,6.275186751736328e-05,0.6528112841939537
Reid CV1,test,59,150,10,10,0.12212572629496847,-0.13142055995354962,1.9978100681328215e-05,6.559332541655749e-05,6.357555685099214e-05,0.9692382029306901
Reid CV1,test,60,150,10,10,0.13194938838910103,-0.044870380584666296,1.0977551937685348e-05,7.268928311532363e-05,5.3557039791485295e-05,0.7367941668445885
Reid CV1,test,61,150,10,10,0.13840631965386127,-0.12617879240452315,1.766046079865191e-05,6.398160621756688e-05,5.455905557028018e-05,0.8527303204104365
Reid CV1,test,62,150,10,10,0.14511536002789563,0.21689405196091674,6.649720944551518e-06,5.4874286433914676e-05,3.647226913017221e-05,0.6646513604162472
Reid CV1,test,63,150,10,10,0.1377423033067275,0.38704244664361515,1.0593068509479053e-05,6.460312579292804e-05,3.832957008853555e-05,0.5933082899331072
Reid CV1,test,64,150,10,10,0.12440357421705561,-0.20809454735690677,2.3458846044377424e-05,9.786783630261198e-05,6.769461469957605e-05,0.6916941996169313
Reid CV1,test,65,150,10,10,0.12670520584816786,-0.15301492537313433,1.6057059838203713e-05,5.832022725371644e-05,5.9310968936188146e-05,1.016987959909031
Reid CV1,test,66,150,10,10,0.1358809669818933,0.05557861530798605,9.70426026469795e-06,5.996628533466719e-05,5.363350283005275e-05,0.894394283900167
Reid CV1,val,0,300,20,20,0.12702698940745794,-0.17479204944045432,0.00014193961396813393,0.00032474612817168236,7.413302955683321e-05,0.22827994893796413
Reid CV1,val,1,300,20,20,0.12586432144791765,-0.23390913677534056,9.522741311229765e-05,0.0002186919591622427,6.645393295912072e-05,0.30387003351056
Reid CV1,val,2,300,20,20,0.12466953645134055,-0.07362993633061209,0.0001496590266469866,0.0003693641920108348,7.521642692154273e-05,0.20363757112475148
Reid CV1,val,3,300,20,20,0.1283869295396673,0.12241124752264534,8.88852882781066e-05,0.0002785924298223108,6.372945063048974e-05,0.22875514123315216
