dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,test,80,76,,,0.13533801084612326,0.002190511440858245,0.0021913125069419805,1.1347498484719147e-08,5.326926853936371e-06,1,1,2
CV2 | nets=2 | frames=10,test,80,75,-12.935101988818928,-0.38386119954652936,0.6528470973733421,0.0018139945079262058,0.0021844103715072077,0.000332586657993185,0.1598165418029179,2,2,10
CV2 | nets=2 | frames=25,test,80,75,0.5690762695382007,0.9130142493934192,0.020188392366773205,0.0006710693300313626,0.0021844103715072077,0.0009043900024456283,0.4328003901838153,2,2,25
CV2 | nets=2 | frames=50,test,80,75,0.6293853286754751,0.9095957057197023,0.017362966744866874,0.00046688601879092554,0.0021844103715072077,0.0010512876262267431,0.48849522180350324,2,2,50
CV2 | nets=2 | frames=100,test,80,75,0.6006655926439144,0.8856813579840332,0.018708460758515073,0.00046345647060661575,0.0021844103715072077,0.002229596885542075,1.0543121240868636,2,2,100
CV2 | nets=4 | frames=2,test,80,73,-0.0360818748370928,-0.09682430666976184,0.049315554464814115,0.0019855438476453907,0.002191574317530716,3.6461101083423026e-05,0.017411620663697894,2,4,2
CV2 | nets=4 | frames=5,test,80,73,-0.22449370148085368,0.5483402197377267,0.05828360411834797,0.0010090293502275614,0.002191574317530716,0.000961721547853763,0.4573847832010031,2,4,5
CV2 | nets=4 | frames=10,test,80,73,0.821295090463551,0.9133071591726857,0.008506018600856351,0.0010923562010858616,0.002191574317530716,0.0003981112730960451,0.19184285314623606,2,4,10
CV2 | nets=4 | frames=25,test,80,73,0.6579956503522542,0.91923653167227,0.01627876574417313,0.0008043282665710973,0.002191574317530716,0.0006924443706799911,0.33268592345416464,2,4,25
CV2 | nets=4 | frames=50,test,80,73,-0.20195142375305686,-0.3922493074866148,0.05721063396797166,0.0006472946213213855,0.002191574317530716,0.0007834709680014073,0.3662308380086856,2,4,50
CV2 | nets=4 | frames=100,test,80,73,0.5661805188251838,0.8532724455235108,0.020648993840508906,0.00044056006952640216,0.002191574317530716,0.0017016867493847001,0.8058400262113444,2,4,100
CV2 | nets=8 | frames=2,test,80,69,-0.2535517381539203,-0.06814872604571023,0.057597941521799034,0.0015305888997660816,0.002178992789265686,0.0017335308864172819,0.8268810990678541,2,8,2
CV2 | nets=8 | frames=5,test,80,69,-0.09850352791313322,0.08894942716521653,0.050473817742384734,0.0009441165320163566,0.002178992789265686,0.0005955939135595185,0.2841240185949942,2,8,5
CV2 | nets=8 | frames=10,test,80,69,0.04594054150305571,0.9041031656311171,0.04383693087909775,0.00141596613853387,0.002178992789265686,0.00012794121753161207,0.060514007144049,2,8,10
CV2 | nets=8 | frames=25,test,80,69,0.6538873127382197,0.8672408158565685,0.015903115694462806,0.0008835385497018317,0.002178992789265686,0.0004942482695881062,0.2329924499552815,2,8,25
CV2 | nets=8 | frames=50,test,80,69,0.6816693273633636,0.8937006734710455,0.014626593310078921,0.0004344774185312048,0.002178992789265686,0.0011320626649978585,0.5290744377633946,2,8,50
CV2 | nets=8 | frames=100,test,80,69,0.6843225625826281,0.8800510736740825,0.014504682995289817,0.00034569157440379007,0.002178992789265686,0.001679008831674962,0.7841563651063369,2,8,100
CV3 | nets=1 | frames=2,test,80,76,0.01525361485293808,0.2981742307700382,0.046007915496370066,0.00212579499011075,0.0021913125069419805,1.51955128713828e-06,0.0007251477793264907,3,1,2
CV3 | nets=1 | frames=5,test,80,76,-0.010652348206856344,-0.3714683814343207,0.04721825693786631,0.0012398973891609593,0.0021913125069419805,0.0003445608170678545,0.16379516512882752,3,1,5
CV3 | nets=1 | frames=10,test,80,76,-0.1119047507340809,-0.2738198121152271,0.051948827214172835,0.0011979188053182473,0.0021913125069419805,0.0005384692393770246,0.25647713940002936,3,1,10
CV3 | nets=1 | frames=25,test,80,76,-0.016038237655791043,0.4297734863009955,0.04746988877970584,0.0012737790353927075,0.0021913125069419805,0.0001911170666541071,0.0898032984376003,3,1,25
CV3 | nets=1 | frames=50,test,80,76,-0.053398593865899624,-0.3020319634682625,0.049215386033978334,0.0006429087956540139,0.0021913125069419805,0.002174049940597462,1.0256961975293095,3,1,50
