dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=10,test,50,-0.100209652453205,-0.6914880275726318,1,1,10,,
CV1 | nets=1 | frames=10,test,51,0.1807945702326933,-0.6599937677383423,1,1,10,,
CV1 | nets=1 | frames=10,test,52,-0.2190887259038099,-0.7359432578086853,1,1,10,,
CV1 | nets=1 | frames=10,test,53,0.0386789596579197,-0.6958943009376526,1,1,10,,
CV1 | nets=1 | frames=10,test,54,-0.1466400227827606,-0.7242205142974854,1,1,10,,
CV1 | nets=1 | frames=10,test,55,-0.1466582167541242,-0.7140954732894897,1,1,10,,
CV1 | nets=1 | frames=10,test,56,0.3543707109293127,-0.6110332012176514,1,1,10,,
CV1 | nets=1 | frames=10,test,57,-0.2504451898786599,-0.6842387914657593,1,1,10,,
CV1 | nets=1 | frames=10,test,58,-0.0803696162881754,-0.6966110467910767,1,1,10,,
CV1 | nets=1 | frames=10,test,59,-0.1277120103792852,-0.7321496605873108,1,1,10,,
CV1 | nets=1 | frames=10,test,60,0.3812481697430855,-0.5693649053573608,1,1,10,,
CV1 | nets=1 | frames=10,test,61,-0.4003789014783009,-0.7130003571510315,1,1,10,,
CV1 | nets=1 | frames=10,test,62,0.2511593493496609,-0.65754634141922,1,1,10,,
CV1 | nets=1 | frames=10,test,63,-0.1963377719651293,-0.698900043964386,1,1,10,,
CV1 | nets=1 | frames=10,test,64,0.2011468693729077,-0.6615875363349915,1,1,10,,
CV1 | nets=1 | frames=10,test,65,0.1834175400503848,-0.6603550910949707,1,1,10,,
CV1 | nets=1 | frames=10,test,66,0.1677718678598186,-0.6840234398841858,1,1,10,,
CV1 | nets=1 | frames=10,test,67,0.2103549124683166,-0.5939108729362488,1,1,10,,
CV1 | nets=1 | frames=10,test,68,-0.2124182814927736,-0.7500969171524048,1,1,10,,
CV1 | nets=1 | frames=10,test,69,0.2427422463907798,-0.6327705979347229,1,1,10,,
CV1 | nets=1 | frames=10,test,70,-0.198060037637249,-0.7682187557220459,1,1,10,,
CV1 | nets=1 | frames=10,test,71,-0.3247762104239115,-0.7642934918403625,1,1,10,,
CV1 | nets=1 | frames=10,test,72,-0.1773883670701692,-0.7644705176353455,1,1,10,,
CV1 | nets=1 | frames=10,test,73,-0.2061780215112254,-0.6858506798744202,1,1,10,,
CV1 | nets=1 | frames=10,test,74,-0.1515654324056017,-0.7265509963035583,1,1,10,,
CV1 | nets=1 | frames=10,test,75,-0.1319308250403395,-0.7291324138641357,1,1,10,,
CV1 | nets=1 | frames=25,train,0,-0.0669511275618616,-0.6599212884902954,1,1,25,,
CV1 | nets=1 | frames=25,test,0,-0.2360464098886152,-0.6257082223892212,1,1,25,,
