dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=5,test,13,0.1639582164351763,-0.17468850314617157,1,1,5,,
CV1 | nets=1 | frames=5,test,14,0.27673880911901655,-0.11828497052192688,1,1,5,,
CV1 | nets=1 | frames=5,test,15,0.2817123526652541,-0.2063867449760437,1,1,5,,
CV1 | nets=1 | frames=5,test,16,-0.17377978528774052,-0.09399197995662689,1,1,5,,
CV1 | nets=1 | frames=5,test,17,-0.5936111989220015,-0.1695450395345688,1,1,5,,
CV1 | nets=1 | frames=5,test,18,0.27081671507608296,-0.14981286227703094,1,1,5,,
CV1 | nets=1 | frames=5,test,19,-0.04889763898242052,-0.1593698263168335,1,1,5,,
CV1 | nets=1 | frames=5,test,20,0.33742504039823745,-0.21615654230117798,1,1,5,,
CV1 | nets=1 | frames=5,test,21,0.14421983542156405,-0.12575672566890717,1,1,5,,
CV1 | nets=1 | frames=5,test,22,0.2238599590476573,-0.15151812136173248,1,1,5,,
CV1 | nets=1 | frames=5,test,23,-0.21109366287007186,-0.10044817626476288,1,1,5,,
CV1 | nets=1 | frames=5,test,24,-0.13510764728463107,-0.0942327231168747,1,1,5,,
CV1 | nets=1 | frames=5,test,25,-0.2879174109079594,-0.08316003531217575,1,1,5,,
CV1 | nets=1 | frames=5,test,26,-0.08698580311493488,-0.1088101863861084,1,1,5,,
CV1 | nets=1 | frames=5,test,27,0.0729596003150843,-0.2135343700647354,1,1,5,,
CV1 | nets=1 | frames=5,test,28,-0.0473741087700227,-0.1341920644044876,1,1,5,,
CV1 | nets=1 | frames=5,test,29,-0.17404791264035285,-0.07507245242595673,1,1,5,,
CV1 | nets=1 | frames=5,test,30,-0.15348441061065293,-0.1342008113861084,1,1,5,,
CV1 | nets=1 | frames=5,test,31,-0.33399938936466717,-0.08194270730018616,1,1,5,,
CV1 | nets=1 | frames=5,test,32,-0.2983576891176249,-0.06261081248521805,1,1,5,,
CV1 | nets=1 | frames=5,test,33,-0.08436423666781437,-0.22446677088737488,1,1,5,,
CV1 | nets=1 | frames=5,test,34,-0.22730985066006476,-0.16832764446735382,1,1,5,,
CV1 | nets=1 | frames=5,test,35,0.15031615373850205,-0.15694674849510193,1,1,5,,
CV1 | nets=1 | frames=5,test,36,-0.2691509251686252,-0.128218874335289,1,1,5,,
CV1 | nets=1 | frames=5,test,37,0.12699982791696676,-0.18868154287338257,1,1,5,,
CV1 | nets=1 | frames=5,test,38,0.32208064264084163,-0.16393394768238068,1,1,5,,
CV1 | nets=1 | frames=5,test,39,-0.32336614357869486,-0.1800287812948227,1,1,5,,
CV1 | nets=1 | frames=5,test,40,-0.16665686710960664,-0.09344322234392166,1,1,5,,
CV1 | nets=1 | frames=5,test,41,-0.06082767686482228,-0.09792622178792953,1,1,5,,
CV1 | nets=1 | frames=5,test,42,0.2821721893243829,-0.2133973240852356,1,1,5,,
CV1 | nets=1 | frames=5,test,43,-0.05914505731234828,-0.043127626180648804,1,1,5,,
CV1 | nets=1 | frames=5,test,44,-0.2523187814106471,-0.09562785178422928,1,1,5,,
CV1 | nets=1 | frames=5,test,45,0.26937916888526336,-0.17661330103874207,1,1,5,,
CV1 | nets=1 | frames=5,test,46,-0.15711103408322405,-0.14891423285007477,1,1,5,,
CV1 | nets=1 | frames=5,test,47,0.1606833051492441,-0.22505243122577667,1,1,5,,
CV1 | nets=1 | frames=5,test,48,0.17250469509677205,-0.17706480622291565,1,1,5,,
CV1 | nets=1 | frames=5,test,49,0.3873779088920612,-0.2165871560573578,1,1,5,,
CV1 | nets=1 | frames=5,test,50,-0.100209652453205,-0.0949220210313797,1,1,5,,
CV1 | nets=1 | frames=5,test,51,0.18079457023269338,-0.17593170702457428,1,1,5,,
CV1 | nets=1 | frames=5,test,52,-0.21908872590380996,-0.12315553426742554,1,1,5,,
CV1 | nets=1 | frames=5,test,53,0.03867895965791973,-0.12987801432609558,1,1,5,,
CV1 | nets=1 | frames=5,test,54,-0.14664002278276062,-0.16425882279872894,1,1,5,,
CV1 | nets=1 | frames=5,test,55,-0.1466582167541242,-0.12840838730335236,1,1,5,,
CV1 | nets=1 | frames=5,test,56,0.3543707109293127,-0.17785599827766418,1,1,5,,
CV1 | nets=1 | frames=5,test,57,-0.2504451898786599,-0.1311979740858078,1,1,5,,
