dataset,latent_dim,train_networks,train_frames_per_network,summary_rollout_step,test_rollout_p_ratio_r2,test_rollout_p_ratio_pearson,best_first_frame_signal,best_first_frame_source,best_first_frame_corr_r2,best_first_frame_r2,ae_best_val_mse_norm,dyn_best_val_dz_mse_norm
CV1 | nets=1 | frames=2,1,1,2,80,,,z0,single_latent_test_corr,0.3965137279647073,,26210.229853118897,11.780767272308468
CV1 | nets=4 | frames=2,1,4,2,80,-0.7132268207509507,0.1026824259321096,z0,single_latent_test_corr,0.7232815409006129,,8159.079520294189,1993.257516577065
CV1 | nets=4 | frames=5,1,4,5,80,-0.0330906813285734,0.4850489789626446,z0,single_latent_test_corr,0.7873982730934291,,603.1969966868162,26.372396698565687
CV1 | nets=4 | frames=10,1,4,10,80,-8.79657420241875,-0.1911787995281979,linear_combo_test_fit,descriptive_test_fit,0.7886020390573621,0.788602039057362,119.85002662721276,204.7581423830986
CV1 | nets=4 | frames=25,1,4,25,80,-0.1119524237661042,-0.0269696340801132,linear_combo_test_fit,descriptive_test_fit,0.6223012232069552,0.6223012232069554,12.83239432894066,3.1719347851499915
CV1 | nets=4 | frames=50,1,4,50,80,-0.6118425512851238,-0.7580483373663824,z0,single_latent_test_corr,0.7216789105296364,,2.915419062048197,4.7291637249038905
CV1 | nets=4 | frames=100,1,4,100,80,-0.390861953735921,-0.8801660448511225,linear_combo_train_fit,train_fit_test_eval,0.7968275321699412,0.79107831918321,0.5717521884199231,0.4554528440968133
CV1 | nets=8 | frames=2,1,8,2,80,-0.515484914381352,0.2665647813423219,linear_combo_test_fit,descriptive_test_fit,0.7199375867032414,0.7199375867032413,6637.835231655121,2.100963171424344
CV1 | nets=8 | frames=5,1,8,5,80,-9.28934952986484,0.4604546570296559,linear_combo_train_fit,train_fit_test_eval,0.8019773595782552,0.7548651386880759,489.9507329962254,1021.1360677340032
CV1 | nets=8 | frames=10,1,8,10,80,-0.0178404542073573,0.3132425314142411,linear_combo_train_fit,train_fit_test_eval,0.582264202489855,0.5701783441816639,85.86597442150116,71.8736852168776
CV1 | nets=8 | frames=25,1,8,25,80,-1.9941001034782544,0.6695909133556128,linear_combo_train_fit,train_fit_test_eval,0.7361604849873363,0.7007086044665006,10.478051007315516,63.57575035137311
CV1 | nets=8 | frames=50,1,8,50,80,-1.217019783142339,0.7311028368716669,z0,single_latent_test_corr,0.7569684407102553,,2.132279932439327,5.725056155990809
CV1 | nets=8 | frames=100,1,8,100,80,0.3759833724381903,0.8824034468009496,linear_combo_train_fit,train_fit_test_eval,0.7257244084603793,0.6959396313455684,0.4652730769142508,2.4887495891742
CV2 | nets=1 | frames=2,2,1,2,80,-0.4053432082530235,-0.1322894459281665,linear_combo_test_fit,descriptive_test_fit,0.1458329126581083,0.1458329126581083,26209.86825990296,289.72411646807194
CV2 | nets=1 | frames=5,2,1,5,80,-0.0031766644370743,-0.0928554874255958,linear_combo_test_fit,descriptive_test_fit,0.6890810950292388,0.6890810950292388,2681.582292959213,515.0987737029195
CV2 | nets=1 | frames=10,2,1,10,80,-0.1444443937253696,0.3830983567804488,linear_combo_test_fit,descriptive_test_fit,0.7693031030947781,0.7693031030947788,374.6216103087664,238.05131789249927
CV2 | nets=1 | frames=25,2,1,25,80,-0.0071381438218189,0.0264441005161938,linear_combo_test_fit,descriptive_test_fit,0.7316227643689631,0.7316227643689636,38.52364697861672,31.91688251431659
CV2 | nets=1 | frames=50,2,1,50,80,-0.0600893310741239,0.0014879815595858,linear_combo_test_fit,descriptive_test_fit,0.663537121336297,0.6635371213362975,7.692349314942956,12.180336810627136
CV2 | nets=1 | frames=100,2,1,100,80,-0.0309740334708201,0.1336358507876773,linear_combo_test_fit,descriptive_test_fit,0.7651906622347824,0.7651906622347815,1.591980880916119,2.084100899879355
CV2 | nets=2 | frames=2,2,2,2,80,-1.6427537904967373,-0.2439106679504658,linear_combo_test_fit,descriptive_test_fit,0.758557679027233,0.7585576790272328,6194.964754299164,89.66252611207962
CV2 | nets=2 | frames=5,2,2,5,80,-0.1002569692158312,0.2488291025999329,linear_combo_test_fit,descriptive_test_fit,0.7770490355780248,0.7770490355780243,425.3553509567976,4453.350041280806
CV2 | nets=2 | frames=10,2,2,10,80,-12.935101988818928,-0.3838611995465293,linear_combo_test_fit,descriptive_test_fit,0.8350856459161429,0.835085645916143,86.40588515800238,143.89555305075646
CV2 | nets=2 | frames=25,2,2,25,80,0.5690762695382007,0.9130142493934192,linear_combo_test_fit,descriptive_test_fit,0.819164567673691,0.8191645676736914,8.050131843963637,5.55258559300797
CV2 | nets=2 | frames=50,2,2,50,80,0.6293853286754751,0.9095957057197024,linear_combo_test_fit,descriptive_test_fit,0.8307237210252163,0.8307237210252165,1.643796505123377,1.1621424269212874
CV2 | nets=2 | frames=100,2,2,100,80,0.6006655926439144,0.8856813579840332,linear_combo_test_fit,descriptive_test_fit,0.8282382163064321,0.8282382163064317,0.3915441225506365,1.3970411446914075
CV2 | nets=4 | frames=2,2,4,2,80,-0.0360818748370928,-0.0968243066697618,linear_combo_test_fit,descriptive_test_fit,0.7811746357928023,0.7811746357928013,8033.8063217010495,1259.2661718645693
CV2 | nets=4 | frames=5,2,4,5,80,-0.2244937014808536,0.5483402197377267,linear_combo_test_fit,descriptive_test_fit,0.8010260764068918,0.801026076406892,634.2793206980228,425.9725783954858
CV2 | nets=4 | frames=10,2,4,10,80,0.821295090463551,0.9133071591726856,linear_combo_test_fit,descriptive_test_fit,0.8164022955043283,0.8164022955043282,96.44337681733072,35.170988486917686
CV2 | nets=4 | frames=25,2,4,25,80,0.6579956503522542,0.91923653167227,linear_combo_test_fit,descriptive_test_fit,0.830131588554517,0.8301315885545174,11.783547394726426,4.313838972055353
CV2 | nets=4 | frames=50,2,4,50,80,-0.2019514237530568,-0.3922493074866148,linear_combo_test_fit,descriptive_test_fit,0.7655193150986901,0.7655193150986903,2.653449375577271,5.333775479241958
CV2 | nets=4 | frames=100,2,4,100,80,0.5661805188251838,0.8532724455235108,linear_combo_test_fit,descriptive_test_fit,0.8453583233331321,0.8453583233331323,0.5270997245516628,0.7245411037567537
CV2 | nets=8 | frames=2,2,8,2,80,-0.2535517381539203,-0.0681487260457102,linear_combo_test_fit,descriptive_test_fit,0.7441786189878318,0.7441786189878317,6501.510607151032,4263.571222710133
CV2 | nets=8 | frames=5,2,8,5,80,-0.0985035279131332,0.0889494271652165,linear_combo_test_fit,descriptive_test_fit,0.5661937037924755,0.566193703792475,472.3863272507191,165.64640666648
CV2 | nets=8 | frames=10,2,8,10,80,0.0459405415030557,0.9041031656311171,linear_combo_test_fit,descriptive_test_fit,0.8046786358139568,0.8046786358139563,80.7022884874791,162.7165064295139
CV2 | nets=8 | frames=25,2,8,25,80,0.6538873127382197,0.8672408158565685,linear_combo_test_fit,descriptive_test_fit,0.8175166127151348,0.817516612715135,8.381571283143014,33.30285926181078
CV2 | nets=8 | frames=50,2,8,50,80,0.6816693273633636,0.8937006734710455,linear_combo_test_fit,descriptive_test_fit,0.8208648501939921,0.8208648501939916,1.6164823692040515,2.126048604287208
CV2 | nets=8 | frames=100,2,8,100,80,0.6843225625826281,0.8800510736740825,linear_combo_test_fit,descriptive_test_fit,0.8187912902130687,0.8187912902130687,0.3703589564952999,1.239180565670133
CV3 | nets=1 | frames=2,3,1,2,80,0.015253614852938,0.2981742307700382,linear_combo_test_fit,descriptive_test_fit,0.7224202726796936,0.7224202726796944,26176.926346366883,357.62522615098953
CV3 | nets=1 | frames=5,3,1,5,80,-0.0106523482068563,-0.3714683814343207,linear_combo_test_fit,descriptive_test_fit,0.6378002745704627,0.637800274570463,2663.6323253121377,1001.4841038499476
CV3 | nets=1 | frames=10,3,1,10,80,-0.1119047507340809,-0.2738198121152271,linear_combo_test_fit,descriptive_test_fit,0.5954380409004785,0.5954380409004791,368.4066626722813,216.1300866380334
CV3 | nets=1 | frames=25,3,1,25,80,-0.016038237655791,0.4297734863009955,linear_combo_test_fit,descriptive_test_fit,0.7113987787774924,0.7113987787774931,38.959005621433256,44.47264953795075
CV3 | nets=1 | frames=50,3,1,50,80,-0.0533985938658996,-0.3020319634682625,linear_combo_test_fit,descriptive_test_fit,0.7776020642802244,0.777602064280225,7.779863808095455,8.551296809017659
CV3 | nets=1 | frames=100,3,1,100,80,-0.0347747379413048,-0.0122757015939148,linear_combo_test_fit,descriptive_test_fit,0.7516029531273934,0.7516029531273938,1.5656264982819557,2.507040410298854
CV3 | nets=2 | frames=2,3,2,2,80,-0.3243392307929931,0.0194765026436799,linear_combo_test_fit,descriptive_test_fit,0.7858658482164156,0.7858658482164163,6202.288620613098,145.09133360278605
CV3 | nets=2 | frames=5,3,2,5,80,-0.143677808621415,-0.2040482044194868,linear_combo_test_fit,descriptive_test_fit,0.7876666891047466,0.7876666891047462,453.79522652196886,377.03378634727
CV3 | nets=2 | frames=10,3,2,10,80,-0.0688818553627683,0.2900391406518804,linear_combo_test_fit,descriptive_test_fit,0.7963984114275879,0.7963984114275876,78.87372386154533,38.72206266862154
CV3 | nets=2 | frames=25,3,2,25,80,0.5112449527170433,0.8976011592964552,linear_combo_test_fit,descriptive_test_fit,0.8080698765440897,0.8080698765440899,8.34690882881172,27.97367184957862
CV3 | nets=2 | frames=50,3,2,50,80,0.5891209788020169,0.9051661833466024,linear_combo_test_fit,descriptive_test_fit,0.8251290904596271,0.8251290904596271,1.7164539706036448,2.407818300699815
CV3 | nets=2 | frames=100,3,2,100,80,0.5929040793899156,0.8302354190570624,linear_combo_test_fit,descriptive_test_fit,0.8453123963621555,0.8453123963621557,0.4120911117140203,1.1334767453297974
CV3 | nets=4 | frames=2,3,4,2,80,-0.2332201882880966,0.0498869216270689,linear_combo_test_fit,descriptive_test_fit,0.7730041458812333,0.7730041458812332,8074.947505676269,3007.683738367796
CV3 | nets=4 | frames=5,3,4,5,80,-0.1123476990678671,0.1058922579435945,linear_combo_test_fit,descriptive_test_fit,0.7744052653176116,0.7744052653176122,667.6518617861271,1323.0743189771474
CV3 | nets=4 | frames=10,3,4,10,80,-0.0194316701970902,0.3121919145231269,linear_combo_test_fit,descriptive_test_fit,0.7697992690873414,0.7697992690873416,121.6011350169778,6.590009408563375
CV3 | nets=4 | frames=25,3,4,25,80,0.6248123713508095,0.8890066043355417,linear_combo_test_fit,descriptive_test_fit,0.8384025875933068,0.8384025875933063,11.53341836456582,32.27659815082233
CV3 | nets=4 | frames=50,3,4,50,80,-0.0973595572852636,-0.0406897616065296,linear_combo_test_fit,descriptive_test_fit,0.8118836943945064,0.8118836943945063,2.56883156035468,0.4962795704863965
CV3 | nets=4 | frames=100,3,4,100,80,0.4319680855454018,0.8499409896403295,linear_combo_test_fit,descriptive_test_fit,0.7343388393052386,0.7343388393052381,0.5669330213423819,0.8342097070869058
CV3 | nets=8 | frames=2,3,8,2,80,-5.410327442210201,0.061981006028763,linear_combo_test_fit,descriptive_test_fit,0.7859948553138598,0.785994855313859,6689.141926452637,123.67018353533744
CV3 | nets=8 | frames=5,3,8,5,80,-3.629024079487139,0.6326292897105166,linear_combo_test_fit,descriptive_test_fit,0.8330757515309096,0.8330757515309094,490.8378375174999,676.2873573168963
CV3 | nets=8 | frames=10,3,8,10,80,-0.7238427804042353,0.8955025433296675,linear_combo_test_fit,descriptive_test_fit,0.8401298192711719,0.8401298192711721,78.92627493810653,265.28413294532896
CV3 | nets=8 | frames=25,3,8,25,80,0.7258665049930418,0.8597351122507393,linear_combo_test_fit,descriptive_test_fit,0.8189293134525293,0.8189293134525293,7.726271136424504,8.924012325003742
CV3 | nets=8 | frames=50,3,8,50,80,0.7970842762855848,0.9159964938762656,linear_combo_test_fit,descriptive_test_fit,0.8155509159091053,0.8155509159091054,1.471989399101585,2.855925928976387
CV3 | nets=8 | frames=100,3,8,100,80,0.7561737759602482,0.9114218012494786,linear_combo_test_fit,descriptive_test_fit,0.8332525943823486,0.833252594382349,0.3771592843020335,0.8526115911118686
