dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,test,80,76,,,0.1353380108461232,0.0021905114408582,0.0021913125069419,1.1347498484719147e-08,5.326926853936371e-06,1,1,2
CV2 | nets=1 | frames=25,test,80,76,-0.0071381438218189,0.0264441005161938,0.0470540712949206,0.0009203876528006,0.0021913125069419,0.0004349592919951,0.2055917945543761,2,1,25
CV2 | nets=1 | frames=50,test,80,76,-0.0600893310741239,0.0014879815595858,0.0495279811109721,0.0007422634520672,0.0021913125069419,0.0019548025233425,0.930814340080406,2,1,50
CV2 | nets=1 | frames=100,test,80,76,-0.0309740334708201,0.1336358507876773,0.0481676977202548,0.0004516802709028,0.0021913125069419,0.0019194725180951,0.8995953743735638,2,1,100
CV2 | nets=2 | frames=2,test,80,75,-1.6427537904967373,-0.2439106679504658,0.1238106576171834,0.0021401863902186,0.0021844103715072,1.6734390176983049e-06,0.0007995415951481,2,2,2
CV2 | nets=2 | frames=5,test,80,75,-0.1002569692158312,0.2488291025999329,0.0515460575239195,0.0017915317571411,0.0021844103715072,2.7903861652400035e-05,0.0132724434917476,2,2,5
CV2 | nets=2 | frames=10,test,80,75,-12.935101988818928,-0.3838611995465293,0.6528470973733421,0.0018139945079262,0.0021844103715072,0.0003325866579931,0.1598165418029179,2,2,10
CV2 | nets=2 | frames=25,test,80,75,0.5690762695382007,0.9130142493934192,0.0201883923667732,0.0006710693300313,0.0021844103715072,0.0009043900024456,0.4328003901838153,2,2,25
CV2 | nets=2 | frames=50,test,80,75,0.6293853286754751,0.9095957057197024,0.0173629667448668,0.0004668860187909,0.0021844103715072,0.0010512876262267,0.4884952218035032,2,2,50
CV2 | nets=2 | frames=100,test,80,75,0.6006655926439144,0.8856813579840332,0.018708460758515,0.0004634564706066,0.0021844103715072,0.002229596885542,1.0543121240868636,2,2,100
CV2 | nets=4 | frames=2,test,80,73,-0.0360818748370928,-0.0968243066697618,0.0493155544648141,0.0019855438476453,0.0021915743175307,3.646110108342303e-05,0.0174116206636978,2,4,2
CV2 | nets=4 | frames=5,test,80,73,-0.2244937014808536,0.5483402197377267,0.0582836041183479,0.0010090293502275,0.0021915743175307,0.0009617215478537,0.4573847832010031,2,4,5
CV2 | nets=4 | frames=10,test,80,73,0.821295090463551,0.9133071591726856,0.0085060186008563,0.0010923562010858,0.0021915743175307,0.000398111273096,0.191842853146236,2,4,10
CV2 | nets=4 | frames=25,test,80,73,0.6579956503522542,0.91923653167227,0.0162787657441731,0.000804328266571,0.0021915743175307,0.0006924443706799,0.3326859234541646,2,4,25
CV2 | nets=4 | frames=50,test,80,73,-0.2019514237530568,-0.3922493074866148,0.0572106339679716,0.0006472946213213,0.0021915743175307,0.0007834709680014,0.3662308380086856,2,4,50
CV2 | nets=4 | frames=100,test,80,73,0.5661805188251838,0.8532724455235108,0.0206489938405089,0.0004405600695264,0.0021915743175307,0.0017016867493847,0.8058400262113444,2,4,100
CV2 | nets=8 | frames=2,test,80,69,-0.2535517381539203,-0.0681487260457102,0.057597941521799,0.001530588899766,0.0021789927892656,0.0017335308864172,0.8268810990678541,2,8,2
CV2 | nets=8 | frames=5,test,80,69,-0.0985035279131332,0.0889494271652165,0.0504738177423847,0.0009441165320163,0.0021789927892656,0.0005955939135595,0.2841240185949942,2,8,5
CV2 | nets=8 | frames=10,test,80,69,0.0459405415030557,0.9041031656311171,0.0438369308790977,0.0014159661385338,0.0021789927892656,0.0001279412175316,0.060514007144049,2,8,10
CV2 | nets=8 | frames=25,test,80,69,0.6538873127382197,0.8672408158565685,0.0159031156944628,0.0008835385497018,0.0021789927892656,0.0004942482695881,0.2329924499552815,2,8,25
CV2 | nets=8 | frames=50,test,80,69,0.6816693273633636,0.8937006734710455,0.0146265933100789,0.0004344774185312,0.0021789927892656,0.0011320626649978,0.5290744377633946,2,8,50
CV2 | nets=8 | frames=100,test,80,69,0.6843225625826281,0.8800510736740825,0.0145046829952898,0.0003456915744037,0.0021789927892656,0.0016790088316749,0.7841563651063369,2,8,100
CV3 | nets=1 | frames=2,test,80,76,0.015253614852938,0.2981742307700382,0.04600791549637,0.0021257949901107,0.0021913125069419,1.51955128713828e-06,0.0007251477793264,3,1,2
