dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,1,128,1,0.4824010133743286,25.29904132353887,0.021722603303873256,1,1,2
CV1 | nets=1 | frames=5,1,128,22,0.09885408729314804,2371.6680932779277,6.897096877863397,1,1,5
CV1 | nets=1 | frames=5,1,128,23,0.09419490396976471,2667.7106860746517,7.758024555660544,1,1,5
CV1 | nets=1 | frames=5,1,128,24,0.09114491939544678,2949.214850149028,8.57667235263379,1,1,5
CV1 | nets=1 | frames=5,1,128,25,0.08863034099340439,3207.14470858673,9.326763738459572,1,1,5
CV1 | nets=1 | frames=5,1,128,26,0.085773766040802,3426.1767344205955,9.963735294630839,1,1,5
CV1 | nets=1 | frames=5,1,128,27,0.08209963887929916,3602.9322575169167,10.477761491494602,1,1,5
CV1 | nets=1 | frames=10,1,128,1,0.632964015007019,2572.44380439885,1.715817630914331,1,1,10
CV1 | nets=1 | frames=10,1,128,2,1.026617020368576,2183.122369716287,1.4561405747404934,1,1,10
CV1 | nets=1 | frames=10,1,128,3,0.7241603583097458,1837.424100057818,1.225560166874955,1,1,10
CV1 | nets=1 | frames=10,1,128,4,0.22269774973392487,1529.2260981759132,1.0199923741164238,1,1,10
CV1 | nets=1 | frames=10,1,128,5,0.1648030411452055,1260.9918570213317,0.841080387147871,1,1,10
CV1 | nets=1 | frames=10,1,128,6,0.2774043194949627,1026.1838951331376,0.6844636987661943,1,1,10
CV1 | nets=1 | frames=10,1,128,7,0.2094300128519535,835.1214788610339,0.5570252502599614,1,1,10
CV1 | nets=1 | frames=10,1,128,8,0.06607740343315527,709.5813048639893,0.47329005587255235,1,1,10
CV1 | nets=1 | frames=10,1,128,9,0.14633101969957352,652.503983899951,0.4352195462023374,1,1,10
CV1 | nets=1 | frames=10,1,128,10,0.11769619584083557,653.5218281188011,0.4358984516597411,1,1,10
CV1 | nets=1 | frames=10,1,128,11,0.11691690981388092,703.8822010464668,0.46948876139926143,1,1,10
CV1 | nets=1 | frames=10,1,128,12,0.08189579471945763,800.7584987431169,0.5341051656490309,1,1,10
CV1 | nets=1 | frames=10,1,128,13,0.11128325760364532,910.7988168381453,0.6075019651651965,1,1,10
CV1 | nets=1 | frames=10,1,128,14,0.17934348620474339,1017.4888729296326,0.6786641355934553,1,1,10
CV1 | nets=1 | frames=10,1,128,15,0.06360292294993997,1087.15665369761,0.7251324643550324,1,1,10
CV1 | nets=1 | frames=10,1,128,16,0.19848026148974895,1127.5742109296323,0.7520909434701025,1,1,10
CV1 | nets=1 | frames=10,1,128,17,0.09726572409272194,1122.506451173246,0.7487107440812397,1,1,10
CV1 | nets=1 | frames=10,1,128,18,0.11693474650382996,1093.4506169676781,0.7293305193987617,1,1,10
CV1 | nets=1 | frames=10,1,128,19,0.11275691539049149,1027.6878526759745,0.6854668287356035,1,1,10
CV1 | nets=1 | frames=10,1,128,20,0.15373683534562588,957.390656874001,0.6385786694627604,1,1,10
CV1 | nets=1 | frames=10,1,128,21,0.07453016564249992,865.9809397908449,0.5776084676810714,1,1,10
CV1 | nets=1 | frames=10,1,128,22,0.13996095396578312,763.6984019594192,0.5093861221966508,1,1,10
CV1 | nets=1 | frames=10,1,128,23,0.055685163009911776,672.9504159359932,0.44885728549276244,1,1,10
CV1 | nets=1 | frames=10,1,128,24,0.10756444558501244,602.7797163711489,0.4020535071515187,1,1,10
CV1 | nets=1 | frames=10,1,128,25,0.11852726712822914,556.7813776438236,0.3713726534597809,1,1,10
CV1 | nets=1 | frames=10,1,128,26,0.0510797705501318,522.2522375051975,0.3483417503783421,1,1,10
CV1 | nets=1 | frames=10,1,128,27,0.10583411529660225,499.5266454567909,0.3331838035857945,1,1,10
CV1 | nets=1 | frames=10,1,128,28,0.11422946490347385,482.2570750940442,0.3216650133275398,1,1,10
