dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,1,128,1,0.4824010133743286,25.29904132353887,0.0217226033038732,1,1,2
CV2 | nets=2 | frames=100,2,128,25,0.0106309116864576,1.4210511864684523,0.0001563257367283,2,2,100
CV2 | nets=2 | frames=100,2,128,26,0.0098333215899765,1.4109313145726918,0.0001554252071355,2,2,100
CV2 | nets=4 | frames=2,2,128,1,0.8838942646980286,1259.2661718645693,9.375407424909064,2,4,2
CV2 | nets=4 | frames=2,2,128,2,0.8161520957946777,3630.147448712349,32.31119314440805,2,4,2
CV2 | nets=4 | frames=2,2,128,3,0.7561202049255371,8833.580083934545,77.18010689727403,2,4,2
CV2 | nets=4 | frames=2,2,128,4,0.7036305665969849,16924.47111449909,144.0357595386859,2,4,2
CV2 | nets=4 | frames=2,2,128,5,0.6588267683982849,28103.357773288964,234.15843473441527,2,4,2
CV2 | nets=4 | frames=2,2,128,6,0.6219452619552612,42790.804847655774,350.7600604433566,2,4,2
CV2 | nets=4 | frames=2,2,128,7,0.5932772159576416,61274.561139641286,493.7850759819411,2,4,2
CV2 | nets=4 | frames=2,2,128,8,0.573058009147644,82608.23210058689,654.6013821009993,2,4,2
CV2 | nets=4 | frames=2,2,128,9,0.5612521171569824,106961.87663258552,834.2524523231983,2,4,2
CV2 | nets=4 | frames=2,2,128,10,0.5572344064712524,132833.95266760635,1020.843348313898,2,4,2
CV2 | nets=4 | frames=2,2,128,11,0.5594732165336609,157935.65890955733,1198.3823453990815,2,4,2
CV2 | nets=4 | frames=2,2,128,12,0.5654670000076294,180490.3112682648,1355.573342401713,2,4,2
CV2 | nets=4 | frames=2,2,128,13,0.5722032189369202,199000.33186986545,1482.531514565468,2,4,2
CV2 | nets=4 | frames=2,2,128,14,0.577081561088562,212603.93989614103,1574.642749053657,2,4,2
CV2 | nets=4 | frames=2,2,128,15,0.5786532163619995,221133.8497756653,1632.217660586059,2,4,2
CV2 | nets=4 | frames=2,2,128,16,0.5767694115638733,225269.16186573796,1661.0384998719096,2,4,2
CV2 | nets=4 | frames=5,2,128,1,1.0956687927246094,425.9725783954858,5.588679706061492,2,4,5
CV2 | nets=4 | frames=5,2,128,2,0.8670680522918701,441.9086523597687,5.760049117482558,2,4,5
CV2 | nets=4 | frames=5,2,128,3,0.8040584524472555,452.3956805824842,5.837177218575584,2,4,5
CV2 | nets=4 | frames=5,2,128,4,0.8645216226577759,446.0743336417712,5.677366191157664,2,4,5
CV2 | nets=4 | frames=5,2,128,5,1.084304610888163,449.6972255581692,5.659425191826304,2,4,5
CV2 | nets=4 | frames=5,2,128,6,0.8370023270448049,449.744215664953,5.623610728912871,2,4,5
CV2 | nets=4 | frames=5,2,128,7,1.0013974905014038,446.2951603228748,5.583945154150599,2,4,5
CV2 | nets=4 | frames=5,2,128,8,1.0341116587320964,448.1643643914014,5.6222852685011455,2,4,5
CV2 | nets=4 | frames=5,2,128,9,1.1423610250155132,449.3077317594141,5.651489967141999,2,4,5
CV2 | nets=4 | frames=5,2,128,10,0.9509024620056152,451.3787141244263,5.689178413373418,2,4,5
CV2 | nets=4 | frames=5,2,128,11,1.0151706735293071,450.8058423172832,5.687636247299611,2,4,5
CV2 | nets=4 | frames=5,2,128,12,0.9159144361813863,453.0977355269045,5.71759994483157,2,4,5
CV2 | nets=4 | frames=5,2,128,13,1.0711427529652913,451.92868215340377,5.700244597015902,2,4,5
CV2 | nets=4 | frames=5,2,128,14,0.9944768746693928,451.7056460662484,5.694156673534773,2,4,5
CV2 | nets=4 | frames=5,2,128,15,0.8257233103116354,446.1648602079153,5.628721588725457,2,4,5
CV2 | nets=4 | frames=5,2,128,16,0.8183803955713908,438.3096627568007,5.5287355560204015,2,4,5
CV2 | nets=4 | frames=10,2,128,1,0.8759578764438629,49.17708928819746,0.2314661224466835,2,4,10
CV2 | nets=4 | frames=10,2,128,2,0.6135935425758362,46.6545050242357,0.2179277233169741,2,4,10
CV2 | nets=4 | frames=10,2,128,3,0.4976252198219299,45.701136478438976,0.2114255767934664,2,4,10
CV2 | nets=4 | frames=10,2,128,4,0.4613773465156555,46.03426994235814,0.2103353311094979,2,4,10
CV2 | nets=4 | frames=10,2,128,5,0.4563935220241547,45.73028533728421,0.2070687298001139,2,4,10
CV2 | nets=4 | frames=10,2,128,6,0.4493660688400268,44.36017642052472,0.2013080656535457,2,4,10
CV2 | nets=4 | frames=10,2,128,7,0.4393276661634445,43.01958017656952,0.1961579512808821,2,4,10
CV2 | nets=4 | frames=10,2,128,8,0.431916743516922,41.77384167510271,0.1907894783207448,2,4,10
CV2 | nets=4 | frames=10,2,128,9,0.426846569776535,41.07645547071099,0.1875205008084449,2,4,10
CV2 | nets=4 | frames=10,2,128,10,0.42904988899827,40.17921125997603,0.1828838850129395,2,4,10
CV2 | nets=4 | frames=10,2,128,11,0.4222270935773849,39.90652524611726,0.1809753931480372,2,4,10
CV2 | nets=4 | frames=10,2,128,12,0.4188967406749725,39.82109508998692,0.1801395834840659,2,4,10
CV2 | nets=4 | frames=10,2,128,13,0.4140120834112167,39.49494253948331,0.1784087533618585,2,4,10
CV2 | nets=4 | frames=10,2,128,14,0.4150221288204193,39.25368083514273,0.177274185100221,2,4,10
CV2 | nets=4 | frames=10,2,128,15,0.4116807371377945,38.60826965638995,0.1741640708682534,2,4,10
CV2 | nets=4 | frames=10,2,128,16,0.4156766474246979,38.24545767680556,0.1723354981346055,2,4,10
CV2 | nets=4 | frames=10,2,128,17,0.4087981522083282,37.83068194172159,0.1700127147901803,2,4,10
CV2 | nets=4 | frames=10,2,128,18,0.4079195871949196,37.38003255626559,0.1674177068843273,2,4,10
CV2 | nets=4 | frames=10,2,128,19,0.4058713883161545,36.87385356315225,0.1645933136567473,2,4,10
CV2 | nets=4 | frames=10,2,128,20,0.4096557289361954,36.48136586550624,0.1626282889254071,2,4,10
CV2 | nets=4 | frames=10,2,128,21,0.4024548649787903,36.57481467363984,0.1627533299250935,2,4,10
CV2 | nets=4 | frames=10,2,128,22,0.4051903843879699,36.7655994355604,0.1631113879789991,2,4,10
CV2 | nets=4 | frames=10,2,128,23,0.4050475418567657,36.58650851669908,0.1618357417190418,2,4,10
CV2 | nets=4 | frames=10,2,128,24,0.3983690142631531,36.37221106150001,0.1603273988823421,2,4,10
CV2 | nets=4 | frames=10,2,128,25,0.3988833397626877,35.891791685789826,0.1580523209637831,2,4,10
CV2 | nets=4 | frames=10,2,128,26,0.3969611167907715,35.57941229903325,0.1566351326949043,2,4,10
CV2 | nets=4 | frames=10,2,128,27,0.3931483775377273,35.72791435416159,0.1573187031953211,2,4,10
CV2 | nets=4 | frames=10,2,128,28,0.3930224716663361,35.45340523127653,0.1558420491444485,2,4,10
CV2 | nets=4 | frames=10,2,128,29,0.3913906663656235,35.34035966438241,0.1549433159009313,2,4,10
CV2 | nets=4 | frames=10,2,128,30,0.3966336965560913,35.59445806730539,0.1558377296875496,2,4,10
CV2 | nets=4 | frames=10,2,128,31,0.3907162606716156,35.170988486917686,0.1535200511823495,2,4,10
CV2 | nets=4 | frames=10,2,128,32,0.3957545816898346,35.240471966207025,0.1538104818169595,2,4,10
CV2 | nets=4 | frames=10,2,128,33,0.3870701134204865,35.56086093700677,0.1549379067402624,2,4,10
