original_sim_idx,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,min_degree,x_span0,y_span0,aspect_ratio0,x_center0,y_center0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max,left_mean_degree,right_mean_degree,top_mean_degree,bottom_mean_degree,left_right_degree_asymmetry,top_bottom_degree_asymmetry,hessian_lambda1,hessian_lambda2,hessian_lambda3,hessian_lambda4,hessian_lambda5,hessian_lambda6,hessian_lambda7,hessian_lambda8,hessian_lambda9,hessian_lambda10,hessian_lambda11,hessian_lambda12,hessian_mode5_participation,hessian_mode5_x_fraction,hessian_mode6_participation,hessian_mode6_x_fraction,hessian_gap_6_5,intervention
3,108,310,0.05365178262374524,5.7407407407407405,0.7499428419006143,7.0,4.0,11.299245834350586,11.205612182617188,1.0083559604069332,0.026808977127075195,-0.05897402763366699,2.4498749817571333,3.2335207037953584,0.8205145597457886,14.789863586425781,0.5777278219374092,0.3521238268562237,0.0004999815137125552,1.0949398279190063,5.764705882352941,5.882352941176471,6.117647058823529,5.764705882352941,0.11764705882352988,0.35294117647058787,-3.978700720761745e-16,1.3540806524185503e-16,2.5010829318092585e-09,0.0008335281090577384,0.004438371768167727,0.0055717928673650685,0.006533266475812941,0.009131114917832434,0.01470567494172696,0.0172165065515329,0.019454245292729128,0.02416261216764469,0.024519019469069026,0.7866393614323739,0.19291377219323058,0.8733200632893572,0.0011334210991973412,all_stiffness_minus_10pct
3,108,310,0.05365178262374524,5.7407407407407405,0.7499428419006143,7.0,4.0,11.299245834350586,11.205612182617188,1.0083559604069332,0.026808977127075195,-0.05897402763366699,2.4498749817571333,3.2335207037953584,0.8205145597457886,14.789863586425781,0.6454791243518553,0.3854304822090306,0.0161228496581316,1.2165998220443726,5.764705882352941,5.882352941176471,6.117647058823529,5.764705882352941,0.11764705882352988,0.35294117647058787,-1.3718107003546945e-10,2.4732819235590095e-16,5.751222011231766e-16,0.008105365666555167,0.011320571492581387,0.013496126023776159,0.016937764549776742,0.01916464992567231,0.025381309097399354,0.033983736061664806,0.037619682848033416,0.03894163860051226,0.6314123107820969,0.3786282376248565,0.7009247024628982,0.2665845766743808,0.002175554531194772,weak_springs_floor_to_q25
3,108,310,0.05365178262374524,5.7407407407407405,0.7499428419006143,7.0,4.0,11.299245834350586,11.205612182617188,1.0083559604069332,0.026808977127075195,-0.05897402763366699,2.4498749817571333,3.2335207037953584,0.8205145597457886,14.789863586425781,0.6420441538666285,0.3910460648338238,0.0006944187916815281,1.2165998220443726,5.764705882352941,5.882352941176471,6.117647058823529,5.764705882352941,0.11764705882352988,0.35294117647058787,-1.354042751424591e-10,-2.635502134132088e-16,6.74253374696491e-16,0.0010738704958476201,0.005437545851817372,0.006747366435952303,0.00771768839075672,0.010343364691194623,0.01651240472240269,0.019687900190259285,0.0243111242043665,0.029224085940177214,0.06346513337457209,0.7252674692976852,0.1698884822280779,0.7203458217963347,0.0013098205841349311,weak_springs_plus_25pct
3,108,310,0.05365178262374524,5.7407407407407405,0.7499428419006143,7.0,4.0,11.299245834350586,11.205612182617188,1.0083559604069332,0.026808977127075195,-0.05897402763366699,2.4498749817571333,3.2335207037953584,0.8205145597457886,14.789863586425781,0.6419198115025797,0.19562435396438332,0.3212376832962036,0.9292598366737366,5.764705882352941,5.882352941176471,6.117647058823529,5.764705882352941,0.11764705882352988,0.35294117647058787,-1.1775116764807886e-11,-5.237019009543812e-16,3.9175269772001026e-16,0.04611365187065475,0.05189051981755231,0.05368573578474682,0.07917005585224625,0.10261002130892036,0.12718575943049332,0.14157670043870907,0.15716183889932656,0.17157616846511084,0.6521146209674843,0.5583753780336177,0.33241519610229975,0.30064869318520465,0.0017952159671945148,half_homogenize_to_mean
4,108,311,0.05382485289027345,5.7592592592592595,0.780199053071885,8.0,4.0,11.188743591308594,11.268471717834473,0.9929246726155692,0.010285377502441406,-0.0486292839050293,2.3510922367933094,3.1236201783997326,0.7976357340812683,14.911166191101074,0.6424114311078767,0.3865399224116721,0.0005225799977779388,1.24459707736969,5.705882352941177,5.823529411764706,5.647058823529412,5.9411764705882355,0.117647058823529,-0.2941176470588234,-1.1139076880183674e-09,-4.284368327298588e-16,6.970565783211202e-16,0.002798219348433907,0.004211060516598627,0.007997281545970366,0.008632543684425668,0.011572561656357477,0.015371665205226684,0.016937559960488506,0.021945591589431428,0.02815009095159609,0.38831183469009084,0.6552724756374462,0.34697841507519667,0.8346148976226868,0.0037862210293717396,baseline
4,108,311,0.05382485289027345,5.7592592592592595,0.780199053071885,8.0,4.0,11.188743591308594,11.268471717834473,0.9929246726155692,0.010285377502441406,-0.0486292839050293,2.3510922367933094,3.1236201783997326,0.7976357340812683,14.911166191101074,0.7066525746744434,0.4251939146594886,0.0005748380208387971,1.3690568208694458,5.705882352941177,5.823529411764706,5.647058823529412,5.9411764705882355,0.117647058823529,-0.2941176470588234,-3.9788084698580884e-17,1.595589020667771e-16,8.34083958248199e-10,0.0030780415567923467,0.004632167956193846,0.008797010074483061,0.00949579709147787,0.012729817290760982,0.016908831349934525,0.01863131630539998,0.024140147441646588,0.03096510001373272,0.3883118748628392,0.6552727017439981,0.3469785045944856,0.834614765744816,0.004164842118289215,all_stiffness_plus_10pct
4,108,311,0.05382485289027345,5.7592592592592595,0.780199053071885,8.0,4.0,11.188743591308594,11.268471717834473,0.9929246726155692,0.010285377502441406,-0.0486292839050293,2.3510922367933094,3.1236201783997326,0.7976357340812683,14.911166191101074,0.5781702875367245,0.34788592950614594,0.00047032200382091105,1.120137333869934,5.705882352941177,5.823529411764706,5.647058823529412,5.9411764705882355,0.117647058823529,-0.2941176470588234,1.0510617498755899e-16,1.3149071006217083e-16,1.3107715466238378e-09,0.0025183973674151915,0.003789955687597729,0.007197554173801217,0.007769288469493495,0.010415305132549282,0.013834497737080695,0.015243804605752828,0.019751029197965717,0.025335081122602104,0.3883119191604462,0.6552727338757592,0.34697817865183767,0.8346150257881607,0.0034075984862034876,all_stiffness_minus_10pct
4,108,311,0.05382485289027345,5.7592592592592595,0.780199053071885,8.0,4.0,11.188743591308594,11.268471717834473,0.9929246726155692,0.010285377502441406,-0.0486292839050293,2.3510922367933094,3.1236201783997326,0.7976357340812683,14.911166191101074,0.6579180464052694,0.36099669364452774,0.06547938287258148,1.24459707736969,5.705882352941177,5.823529411764706,5.647058823529412,5.9411764705882355,0.117647058823529,-0.2941176470588234,-1.1113703947215417e-09,-4.784531259104797e-16,3.3282851963225414e-16,0.019578135216750003,0.02373091426669602,0.026326902253925977,0.047797178909566716,0.05577172329606529,0.06523562201529844,0.06835348720420181,0.06971874323430174,0.07538356464319232,0.6385030198441923,0.3367704553942013,0.6858251000229135,0.28277180251142037,0.002595987987229955,weak_springs_floor_to_q25
4,108,311,0.05382485289027345,5.7592592592592595,0.780199053071885,8.0,4.0,11.188743591308594,11.268471717834473,0.9929246726155692,0.010285377502441406,-0.0486292839050293,2.3510922367933094,3.1236201783997326,0.7976357340812683,14.911166191101074,0.642640397752189,0.38616359519553545,0.0006532249972224236,1.24459707736969,5.705882352941177,5.823529411764706,5.647058823529412,5.9411764705882355,0.117647058823529,-0.2941176470588234,-1.1137435809921607e-09,4.278417073674994e-16,4.401095894802075e-16,0.0031518698931731807,0.0048382634124327474,0.00873530932918794,0.008980313446576401,0.012064634384654622,0.016013592973732355,0.017939618303320467,0.022763286822781243,0.028784122144380513,0.4130935981129898,0.6673649824528038,0.4961754711320802,0.6264804919165297,0.0038970459167551917,weak_springs_plus_25pct
4,108,311,0.05382485289027345,5.7592592592592595,0.780199053071885,8.0,4.0,11.188743591308594,11.268471717834473,0.9929246726155692,0.010285377502441406,-0.0486292839050293,2.3510922367933094,3.1236201783997326,0.7976357340812683,14.911166191101074,0.6424114359153429,0.19326996596411597,0.32146701216697693,0.943504273891449,5.705882352941177,5.823529411764706,5.647058823529412,5.9411764705882355,0.117647058823529,-0.2941176470588234,2.851031251400651e-16,7.405483207802463e-16,5.675635353901174e-10,0.04613647230860117,0.047940608879304736,0.05640884734881238,0.10328389094631651,0.12705931944797502,0.1506439699593947,0.15529857759491023,0.17117502430831869,0.17522838418126147,0.6064069787645721,0.5418068238814475,0.701339219015009,0.34673067012849595,0.008468238469507644,half_homogenize_to_mean
