original_sim_idx,intervention,target,predicted_value,predicted_shift_from_baseline
8,weak_springs_plus_25pct,mean_y_compression,0.005794575564993286,9.872277447601531e-06
8,weak_springs_plus_25pct,final_y_compression,0.012303205019059127,3.453333637385564e-06
8,half_homogenize_to_mean,final_p_ratio,0.059834067110119536,0.41385282481621083
8,half_homogenize_to_mean,mean_y_compression,-0.0019459610210674583,-0.007730664308613143
8,half_homogenize_to_mean,final_y_compression,-0.0043882189506223605,-0.016687970636044103
9,baseline,final_p_ratio,-0.20305409695695792,0.0
9,baseline,mean_y_compression,0.0021814559687898037,0.0
9,baseline,final_y_compression,0.004131810675551308,0.0
9,all_stiffness_plus_10pct,final_p_ratio,-0.25949928512539083,-0.056445188168432914
9,all_stiffness_plus_10pct,mean_y_compression,0.0030449816328268,0.0008635256640369964
9,all_stiffness_plus_10pct,final_y_compression,0.005555380179425233,0.0014235695038739248
9,all_stiffness_minus_10pct,final_p_ratio,-0.15672480262800648,0.04632929432895144
9,all_stiffness_minus_10pct,mean_y_compression,0.0018858011966569638,-0.0002956547721328399
9,all_stiffness_minus_10pct,final_y_compression,0.0035877924073885598,-0.0005440182681627484
9,weak_springs_floor_to_q25,final_p_ratio,0.2795127266468028,0.48256682360376074
9,weak_springs_floor_to_q25,mean_y_compression,-0.006893828638008647,-0.009075284606798451
9,weak_springs_floor_to_q25,final_y_compression,-0.015444497466374047,-0.019576308141925354
9,weak_springs_plus_25pct,final_p_ratio,-0.20414298045199325,-0.001088883495035331
9,weak_springs_plus_25pct,mean_y_compression,0.002250419390672005,6.896342188220149e-05
9,weak_springs_plus_25pct,final_y_compression,0.004272914745484018,0.0001411040699327102
9,half_homogenize_to_mean,final_p_ratio,0.1450268830758369,0.3480809800327948
9,half_homogenize_to_mean,mean_y_compression,-0.004081044473802954,-0.006262500442592758
9,half_homogenize_to_mean,final_y_compression,-0.009647190567841593,-0.013779001243392902
10,baseline,final_p_ratio,-0.21878045636432553,0.0
10,baseline,mean_y_compression,0.002836566310887214,0.0
10,baseline,final_y_compression,0.006321495266440037,0.0
10,all_stiffness_plus_10pct,final_p_ratio,-0.27004416802038794,-0.051263711656062416
10,all_stiffness_plus_10pct,mean_y_compression,0.0033575237212598317,0.0005209574103726177
10,all_stiffness_plus_10pct,final_y_compression,0.007234574507261359,0.0009130792408213228
10,all_stiffness_minus_10pct,final_p_ratio,-0.16883874936711676,0.04994170699720876
10,all_stiffness_minus_10pct,mean_y_compression,0.002389821859061449,-0.00044674445182576496
10,all_stiffness_minus_10pct,final_y_compression,0.005523362960372654,-0.0007981323060673824
10,weak_springs_floor_to_q25,final_p_ratio,-0.15826137956291655,0.06051907680140897
