original_sim_idx,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,min_degree,x_span0,y_span0,aspect_ratio0,x_center0,y_center0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max,left_mean_degree,right_mean_degree,top_mean_degree,bottom_mean_degree,left_right_degree_asymmetry,top_bottom_degree_asymmetry,hessian_lambda1,hessian_lambda2,hessian_lambda3,hessian_lambda4,hessian_lambda5,hessian_lambda6,hessian_lambda7,hessian_lambda8,hessian_lambda9,hessian_lambda10,hessian_lambda11,hessian_lambda12,hessian_mode5_participation,hessian_mode5_x_fraction,hessian_mode6_participation,hessian_mode6_x_fraction,hessian_gap_6_5
47,128,368,0.045275590551181105,5.75,0.770551750371122,7.0,4.0,12.353849411010742,12.368484497070312,0.9988167437924156,-0.015519380569458008,0.012543678283691406,2.6299089099402013,3.6189174471327927,0.7764076590538025,16.04349136352539,0.6184884725333414,0.38614809032777775,0.002392210066318512,1.261242151260376,5.65,5.7,5.95,5.9,0.04999999999999982,0.04999999999999982,-1.0327316337096406e-09,-4.3888455899786277e-16,-2.3379669093439423e-16,0.004554243766734757,0.005911560676159671,0.008585695419141134,0.010479318733233664,0.01299433832618268,0.01449281759493708,0.016874201754475595,0.0195211247587841,0.025934504271241953,0.05127239123499917,0.4016528730325707,0.6271743380317052,0.48559223288105224,0.0026741347429814627
48,100,286,0.057777777777777775,5.72,0.8255906976220118,7.0,4.0,10.713662147521973,10.841499328613281,0.9882085330435878,0.03378152847290039,-0.03580784797668457,2.4141003314431733,3.113103932608007,0.6818288564682007,14.348207473754883,0.6541148895810731,0.3818034869888291,0.00027460200362838805,1.350251317024231,5.733333333333333,5.533333333333333,5.8,5.6,-0.20000000000000018,0.20000000000000018,-2.756657330201701e-11,-2.3601053037017093e-16,-1.1524034904041565e-16,0.0030087069154043694,0.00330029631667977,0.005235766831238995,0.006864037935052296,0.008513650333504253,0.013943479102913558,0.017435713548646366,0.019444213310159136,0.022894181661714367,0.07003923745880443,0.6420766992452799,0.10929008183954542,0.6018311594130172,0.0019354705145592254
49,108,313,0.05417099342332987,5.796296296296297,0.7547290323079566,7.0,4.0,11.327630996704102,11.159738540649414,1.0150444793525528,-0.030480623245239258,0.09927773475646973,2.3701619755345793,3.17570764270867,0.8450281023979187,15.246418952941895,0.6324788499084233,0.3783637605864846,0.0016337309498339891,1.1592192649841309,5.764705882352941,5.588235294117647,5.588235294117647,5.705882352941177,-0.17647058823529438,-0.11764705882352988,-3.372852123578947e-10,-1.303437156315019e-16,1.720561080052598e-16,0.00519589899241788,0.007300805046979497,0.00850654057721579,0.011354199342492223,0.012255743239316212,0.017114869036359247,0.01973509465362462,0.024016791681517994,0.02480872884740733,0.6243094314141284,0.17974202039122736,0.010418644706935598,0.956156150047409,0.0012057355302362936
50,100,283,0.05717171717171717,5.66,0.9297311439335567,7.0,3.0,10.705933570861816,10.83717155456543,0.9878900151166911,-0.00971078872680664,-0.04867124557495117,2.3881409637919586,3.0777135512616205,0.8128194212913513,14.116838455200195,0.6127528818085618,0.4018958258925118,0.0003049520018976182,1.2279093265533447,5.6,6.066666666666666,5.533333333333333,5.6,0.4666666666666668,-0.06666666666666643,-2.0490603573755635e-10,-1.7930874827571656e-16,3.577443061844529e-16,0.0007046355853536037,0.0011574381086281195,0.0012712873089961597,0.0013792741637444592,0.0019860368334519408,0.0024367027674070865,0.00307573561956915,0.0037981740838205413,0.00763994971472171,0.1433538843757875,0.3526884021308097,0.1088476437988642,0.5359196935083811,0.00011384920036804015
51,100,285,0.05757575757575758,5.7,0.7937253933193772,7.0,4.0,10.746609687805176,10.675424575805664,1.0066681293557955,0.05651235580444336,0.06995129585266113,2.4007077599826614,3.0934567020670443,0.7944161891937256,14.375706672668457,0.43137236310724625,0.059696831913206065,0.3144538700580597,0.6293930411338806,5.666666666666667,5.933333333333334,5.6,5.6,0.2666666666666666,0.0,-1.2233661768666961e-09,-2.749952556900449e-16,2.3065191013048535e-16,0.04074856863630869,0.04278778022156198,0.048566987114490576,0.08162471379377904,0.09357451138259107,0.10993425722127402,0.11264737945385747,0.12840577783082086,0.13494228171700617,0.6868226343742457,0.46831405595525505,0.5431252139342961,0.3741495651551282,0.005779206892928594
52,100,286,0.057777777777777775,5.72,0.735934779718964,7.0,3.0,10.948657035827637,10.766274452209473,1.0169401759566639,0.0062160491943359375,0.05583381652832031,2.4352549276985487,3.1456599978542776,0.7874618172645569,14.282149314880371,0.47832161542418955,0.10392523491962888,0.262656033039093,0.7679535150527954,5.8,5.4,5.733333333333333,5.866666666666666,-0.39999999999999947,-0.13333333333333286,-1.567336345539763e-09,-5.766433352683431e-16,1.5516802091426144e-16,0.04147432574297122,0.049346891640094474,0.053173583985603956,0.06659764667568434,0.08541768257482793,0.0927709354742604,0.10402040387913256,0.12165008645883976,0.1221433550867009,0.4704137304639579,0.37131193604376317,0.27608931614425253,0.36339801649640796,0.0038266923455094817
53,140,401,0.041212744090441934,5.728571428571429,0.7449147328276394,7.0,4.0,12.905385971069336,12.940162658691406,0.9973124999631506,0.0012352466583251953,-0.0025641918182373047,2.3677219708364206,3.434486755937612,0.786820650100708,17.073530197143555,0.5507063421413786,0.25633939852571264,0.034170590341091156,1.0673636198043823,5.809523809523809,5.809523809523809,5.714285714285714,5.809523809523809,0.0,-0.0952380952380949,-1.2851680534097928e-10,-6.658555201839311e-16,1.3371872141475157e-16,0.018977399351048346,0.0261012344837782,0.026531243407340546,0.0549472410878183,0.06647276925281134,0.08093196671195955,0.08465771367418562,0.08648283135911478,0.09645007610573433,0.6513174481678392,0.25215056433291594,0.6238431327984458,0.7562587457677279,0.0004300089235623472
54,160,451,0.035455974842767295,5.6375,0.8099961419661207,7.0,4.0,13.741620063781738,13.728105545043945,1.0009844416400682,0.026945114135742188,-0.026608943939208984,2.3860186481158645,3.6092323213411284,0.8128725290298462,18.4728946685791,0.5777337370923578,0.33354396610142867,0.010815477930009365,1.1657708883285522,5.708333333333333,5.541666666666667,5.583333333333333,5.833333333333333,-0.16666666666666607,-0.25,-1.0699966872376392e-09,1.2011303032648303e-17,9.138583583930244e-16,0.010372124584649102,0.012745744396742672,0.01432558282501813,0.01997845131349963,0.026499210129307213,0.030589806629760536,0.032116470029662426,0.03902965617902458,0.042023732823937496,0.7488500725554678,0.4580793837226266,0.7282513100090524,0.8250202734657979,0.0015798384282754586
55,100,288,0.05818181818181818,5.76,0.8138795979750323,7.0,4.0,10.814453125,10.596508979797363,1.020567542161117,0.0539400577545166,0.11261892318725586,2.3316490023086467,3.011694236886303,0.8129696249961853,14.278709411621094,0.48149974675228197,0.10885727588047546,0.28368327021598816,0.8483653664588928,5.866666666666666,5.733333333333333,5.866666666666666,5.466666666666667,-0.13333333333333286,0.39999999999999947,-3.10849811196745e-10,2.257073551444655e-17,2.1636474195093862e-16,0.035934845008592974,0.050814258154008835,0.05349144233667467,0.07575895045597941,0.11962027729721969,0.13040059554690572,0.13584931384921822,0.15155800213629472,0.15726025319315304,0.5809565236966021,0.30603699683391344,0.6567382066699824,0.7350295508505363,0.002677184182665833
56,100,285,0.05757575757575758,5.7,0.7937253933193772,8.0,4.0,10.78256607055664,10.732059478759766,1.0047061416214507,-0.044962167739868164,-0.042812347412109375,2.402590643104754,3.09555083206727,0.7796556353569031,14.254176139831543,0.6044214865650263,0.3584910531851955,0.007938583381474018,1.259360671043396,5.533333333333333,5.866666666666666,5.733333333333333,5.866666666666666,0.33333333333333304,-0.13333333333333286,-5.089235422541378e-16,-3.4207224985679743e-16,9.519291837848406e-11,0.011588485687213672,0.014761839764431378,0.018796028695976158,0.028185833554318095,0.02957025781269574,0.03343131180110041,0.03799849910357827,0.04248253534757054,0.048509879636943525,0.2715023086838226,0.4318137890624551,0.5629688551460641,0.8325219983465575,0.00403418893154478
57,100,289,0.058383838383838385,5.78,0.8072174428244226,7.0,3.0,10.870267868041992,10.572738647460938,1.0281411685753252,0.006017446517944336,0.15435528755187988,2.4256913133971008,3.1204612760135557,0.7386510968208313,14.482145309448242,0.5773194739756184,0.3096373409011531,0.01419287733733654,1.2578680515289307,6.133333333333334,5.4,5.533333333333333,5.8,-0.7333333333333334,-0.2666666666666666,3.660800123085485e-16,1.0018161053202427e-15,7.21777838546861e-11,0.02186295132506473,0.02619174060163805,0.03514853322400772,0.03656231366787697,0.050042462190923,0.061854476618670245,0.07888108027054148,0.08209246277436076,0.09898910422380444,0.44880682693878565,0.18311487504370086,0.4352865363461207,0.4766999948058425,0.008956792622369668
58,108,309,0.05347871235721703,5.722222222222222,0.7677930533936251,8.0,4.0,11.395490646362305,11.28873062133789,1.0094572214189093,0.0009808540344238281,-0.0063936710357666016,2.5294471884622545,3.333056339974351,0.7619277834892273,15.063432693481445,0.6149415329315708,0.3750681555041672,0.003946409095078707,1.2944258451461792,5.529411764705882,5.764705882352941,5.764705882352941,5.823529411764706,0.23529411764705888,-0.0588235294117645,-2.1859073147461114e-10,-1.0850483067839033e-16,-8.051423223912103e-17,0.004935826257864443,0.006978294398791651,0.008407164903444689,0.013821855730325638,0.015663492081872954,0.01922209843459488,0.021684408014614208,0.02789103460274764,0.030851712239648697,0.06885352150342951,0.530939442353312,0.14036638334626747,0.8932354771834424,0.0014288705046530377
59,108,316,0.054690204222914506,5.851851851851852,0.7675696954097299,8.0,4.0,11.182304382324219,11.056260108947754,1.0114002630305756,-0.018390417098999023,0.03347158432006836,2.364606869560254,3.12595345869708,0.7834464907646179,14.964400291442871,0.46494663605772996,0.19067151128484933,0.08073999732732773,0.9596308469772339,6.0,5.823529411764706,5.882352941176471,5.9411764705882355,-0.17647058823529438,-0.0588235294117645,5.461552004406172e-17,3.146092018586582e-16,2.7638965789556417e-10,0.030431598927920068,0.03427125651535159,0.03848882314364395,0.06509708984507268,0.07542364738226678,0.09795780606430854,0.11048854965583625,0.11739382968061442,0.13304993786743374,0.7018448056255651,0.42106976615169295,0.62029813914197,0.5114982691719422,0.0042175666282923616
60,108,314,0.054344063689858085,5.814814814814815,0.771580246518506,8.0,4.0,11.05811595916748,11.354972839355469,0.9738566631212798,-0.1292405128479004,-0.0035614967346191406,2.4060492756640075,3.175069163099489,0.680607795715332,14.76355266571045,0.6139873089090844,0.38385656415413133,0.0032925910782068968,1.4177753925323486,5.764705882352941,5.9411764705882355,5.882352941176471,5.705882352941177,0.17647058823529438,0.17647058823529438,-2.108090008941178e-09,-2.936006450613823e-16,-1.4311598310627237e-16,0.008424217871008494,0.010299169522424245,0.013529570404072239,0.017653208691527204,0.02136277938148736,0.032923541552818784,0.03374624984446737,0.039065451041961546,0.048401853467746225,0.8411360853026999,0.43324659246828695,0.3397303324813817,0.525348875991527,0.003230400881647994
61,108,312,0.05399792315680166,5.777777777777778,0.7856742013183862,7.0,4.0,11.262075424194336,11.115060806274414,1.0132266139144226,-0.01903533935546875,-0.015511512756347656,2.386500713725885,3.1612076609665305,0.8034883737564087,14.960833549499512,0.5297538926824927,0.29032629751848654,0.018814869225025177,1.1221297979354858,5.764705882352941,5.882352941176471,5.470588235294118,5.647058823529412,0.11764705882352988,-0.17647058823529438,-1.8104671656140272e-16,4.970037743062597e-16,1.3209260945637424e-09,0.021032698142764924,0.023959543548122006,0.0258708716953793,0.03769119336559939,0.0508625168353438,0.05590638120078874,0.06677430895358552,0.07850319049839778,0.08931679509936644,0.5978194950292919,0.736471069598644,0.29403785567054225,0.5058662414930218,0.0019113281472572935
62,120,341,0.04775910364145658,5.683333333333334,0.8060534859562498,7.0,4.0,11.879697799682617,11.823715209960938,1.0047347714933557,-0.05270957946777344,0.06937503814697266,2.350371300474989,3.237608842078082,0.7851005792617798,15.782186508178711,0.6207112293264383,0.34242021840243136,0.009028678759932518,1.1887904405593872,5.777777777777778,5.666666666666667,5.444444444444445,5.888888888888889,-0.11111111111111072,-0.44444444444444464,1.4338649571318056e-16,3.1518889804294954e-16,1.0380257483738979e-11,0.010912443510622951,0.016650525545405907,0.01802192786287652,0.023527211030777425,0.040943590397512934,0.0466073301256669,0.05314860979662748,0.05580307703267145,0.06521577010328712,0.34025881762337046,0.9257511548518975,0.6309258608663714,0.22424974155935182,0.001371402317470613
63,108,311,0.05382485289027345,5.7592592592592595,0.8150252253579773,8.0,3.0,11.38345718383789,11.097981452941895,1.02572321210902,0.0013282299041748047,-0.08955621719360352,2.4749940309877183,3.2524659723197575,0.6777471899986267,14.829483985900879,0.5550417813601218,0.2237528877148782,0.07656914740800858,1.1969549655914307,5.470588235294118,6.117647058823529,6.0588235294117645,5.705882352941177,0.6470588235294112,0.35294117647058787,-1.116053788187193e-15,-1.4916767876644306e-16,2.6566715443287327e-11,0.029323311215069238,0.03894816799550312,0.04301833600411381,0.07070060944491036,0.08344629990584777,0.11062295623676592,0.11454963093512968,0.1217815975780738,0.1302312328742525,0.6454521032493602,0.8824271003596473,0.6770826982701541,0.16119574668952105,0.0040701680086106876
