dataset,split,sim_idx,frames,final_p_ratio,mean_y_compression,final_y_compression,original_sim_idx,abs_final_p_ratio_diff,raw_frames
Reid CV2,test,56,1500,-0.08105278791540436,-0.001946583810719695,-0.003979492282020805,62,0.0,1500
Reid CV2,test,57,1500,-0.15348441061065293,0.0006206663167493848,0.0014747267136144512,46,0.0,1500
Reid CV2,test,58,1500,-0.24482213582355292,0.004674520967300792,0.010109477813974699,31,0.0,1500
Reid CV2,test,59,1500,-0.22730985066006476,0.00390225799622369,0.009156428209254015,6,0.0,1500
Reid CV2,test,60,1500,-0.5936111989220015,0.012822221154485284,0.02735190034001555,50,0.0,1500
Reid CV2,test,61,1500,0.30795067109622015,-0.0035503108476335928,-0.006973031172477654,98,0.0,1500
Reid CV2,test,62,1500,-0.0473741087700227,0.0010872714717688548,0.0024570528631167503,72,0.0,1500
Reid CV2,test,63,1500,0.2821721893243829,-0.004221958204611781,-0.008474654075983232,67,0.0,1500
Reid CV2,test,64,1500,-0.21109366287007186,0.0035643013509258537,0.005524900249177204,28,0.0,1500
Reid CV2,test,65,1500,0.18183670511140954,-0.002325095494446586,-0.004586658787719667,76,0.0,1500
Reid CV2,test,66,1500,-0.06480931009694779,0.0005449988220415818,0.001306707166021001,54,0.0,1500
Reid CV2,test,67,1500,-0.0803696162881754,0.0016179302126560562,0.0035706436457250664,0,0.0,1500
Reid CV2,test,68,1500,-0.07075996703199396,0.001877484648373334,0.004056875577265404,77,0.0,1500
Reid CV2,test,69,1500,-0.3247762104239115,0.0062510094873606745,0.012938980349215425,7,0.0,1500
Reid CV2,test,70,1500,0.1822849822987849,-0.0028983986123646806,-0.005815282497906176,80,0.0,1500
Reid CV2,test,71,1500,0.3812481697430855,-0.005855860101487157,-0.011704209296280717,93,0.0,1500
