target,descriptor,mse_increase_when_permuted,mse_increase_std,target_r2
range_axis_p_ratio,edge_count,32.49145471458698,4.479927917679219,0.6791043409054709
range_axis_p_ratio,edge_density,2.2127395795782037,0.2518626041840417,0.6791043409054709
range_axis_p_ratio,mean_degree,0.089699076815901,0.029811980537861812,0.6791043409054709
range_axis_p_ratio,std_degree,0.019581824476626646,0.013970483132260488,0.6791043409054709
range_axis_p_ratio,max_degree,0.04409681628159171,0.023036352918577054,0.6791043409054709
range_axis_p_ratio,min_degree,0.13901403251463268,0.0380033282014857,0.6791043409054709
range_axis_p_ratio,x_span0,1.2694702675241945,0.22028914371309685,0.6791043409054709
range_axis_p_ratio,y_span0,1.3926262583180162,0.21398198949537195,0.6791043409054709
range_axis_p_ratio,aspect_ratio0,0.07088111786809186,0.02352196752258612,0.6791043409054709
range_axis_p_ratio,x_center0,0.02031669321019612,0.012639326088581569,0.6791043409054709
range_axis_p_ratio,y_center0,0.09265965582537353,0.032187710502447064,0.6791043409054709
range_axis_p_ratio,edge_len_mean,6.804243791256551,0.7744832967300062,0.6791043409054709
range_axis_p_ratio,edge_len_std,28.419346012398428,3.346732992317142,0.6791043409054709
range_axis_p_ratio,edge_len_min,0.08775028742346952,0.0273726912687823,0.6791043409054709
range_axis_p_ratio,edge_len_max,0.006487632667440111,0.010066472103683674,0.6791043409054709
range_axis_p_ratio,stiffness_mean,0.00011436978890348899,0.0012669875491928082,0.6791043409054709
range_axis_p_ratio,stiffness_std,0.20344380267122375,0.04763504575818699,0.6791043409054709
range_axis_p_ratio,stiffness_min,1.3029412793305606,0.20876246466213652,0.6791043409054709
range_axis_p_ratio,stiffness_max,0.23100373640644487,0.058371918391614264,0.6791043409054709
range_axis_p_ratio,left_mean_degree,0.00564013568434946,0.006009311392211825,0.6791043409054709
range_axis_p_ratio,right_mean_degree,0.004292864873686658,0.005372972709581601,0.6791043409054709
range_axis_p_ratio,top_mean_degree,0.005467151100483509,0.005878117848363165,0.6791043409054709
range_axis_p_ratio,bottom_mean_degree,0.011541765329561051,0.00931425138830284,0.6791043409054709
range_axis_p_ratio,left_right_degree_asymmetry,0.00012941022354814695,0.0008794262862611446,0.6791043409054709
range_axis_p_ratio,top_bottom_degree_asymmetry,0.0006711763284169394,0.002418829424712644,0.6791043409054709
range_axis_p_ratio,hessian_lambda1,-4.099226168302085e-05,0.0004639684980851357,0.6791043409054709
range_axis_p_ratio,hessian_lambda2,0.0,0.0,0.6791043409054709
range_axis_p_ratio,hessian_lambda3,0.17729126247819033,0.04467741292190303,0.6791043409054709
range_axis_p_ratio,hessian_lambda4,0.1457069466215547,0.03924910394171408,0.6791043409054709
range_axis_p_ratio,hessian_lambda5,0.06914402338676592,0.02566113506596745,0.6791043409054709
range_axis_p_ratio,hessian_lambda6,0.13921530021486125,0.03890204509189883,0.6791043409054709
range_axis_p_ratio,hessian_lambda7,0.1078685629982981,0.02892868401817864,0.6791043409054709
range_axis_p_ratio,hessian_lambda8,0.5685301419809097,0.09974781877610399,0.6791043409054709
range_axis_p_ratio,hessian_lambda9,0.16530702106391765,0.04019194840793121,0.6791043409054709
range_axis_p_ratio,hessian_lambda10,27.86432630209411,3.3828162400646726,0.6791043409054709
range_axis_p_ratio,hessian_lambda11,3.1685397540571882,0.38648568645473685,0.6791043409054709
range_axis_p_ratio,hessian_lambda12,9.525385154968458,1.2861485509126203,0.6791043409054709
range_axis_p_ratio,hessian_mode5_participation,0.045626903441745366,0.020613739867743182,0.6791043409054709
range_axis_p_ratio,hessian_mode5_x_fraction,0.01760801104036938,0.011633105552232,0.6791043409054709
range_axis_p_ratio,hessian_mode6_participation,0.03969515701669811,0.019544567594276828,0.6791043409054709
range_axis_p_ratio,hessian_mode6_x_fraction,0.000934085914950462,0.0029251306969965522,0.6791043409054709
range_axis_p_ratio,hessian_gap_6_5,0.21284388905432017,0.05023913132643565,0.6791043409054709
