dataset,split,sim_idx,frames,final_p_ratio,mean_x_compression,final_x_compression,mean_axis_p_ratio,initial_axis_p_ratio,final_axis_p_ratio,slope_axis_p_ratio,range_axis_p_ratio,early_slope_axis_p_ratio,mean_axis_x_compression,initial_axis_x_compression,final_axis_x_compression,slope_axis_x_compression,range_axis_x_compression,early_slope_axis_x_compression,original_sim_idx,abs_final_p_ratio_diff,raw_frames,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,min_degree,x_span0,y_span0,aspect_ratio0,x_center0,y_center0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max,left_mean_degree,right_mean_degree,top_mean_degree,bottom_mean_degree,left_right_degree_asymmetry,top_bottom_degree_asymmetry,hessian_lambda1,hessian_lambda2,hessian_lambda3,hessian_lambda4,hessian_lambda5,hessian_lambda6,hessian_lambda7,hessian_lambda8,hessian_lambda9,hessian_lambda10,hessian_lambda11,hessian_lambda12,hessian_mode5_participation,hessian_mode5_x_fraction,hessian_mode6_participation,hessian_mode6_x_fraction,hessian_gap_6_5
dePablo CV2,test,10,141,0.1339311443087889,0.00477300701525858,0.0095469192851246,1.0802796861591288,0.9505742824011798,1.201363976840336,0.2507896944391561,0.2507896944391561,0.26856509959675706,0.05117772729329106,-1.896394701224504,2.00835284663794,3.904747547862444,3.904747547862444,3.8772149021710165,31,5.551115123125783e-17,141,168,479,0.03414599372683205,5.7023809523809526,0.805926882905372,7.0,4.0,14.151100158691406,13.984729766845703,1.0118965753803928,0.015059947967529297,0.031075000762939453,2.482162639156513,3.7530453315448233,0.44519078731536865,18.66360092163086,0.8676575149773058,0.23334229029165152,0.5335910320281982,2.2460620403289795,5.346153846153846,5.884615384615385,5.730769230769231,5.884615384615385,0.5384615384615392,-0.1538461538461542,-3.952874032690134e-16,7.719812978856922e-17,1.0118230384774418e-09,0.03866860635682328,0.04112247235643452,0.04859408998434679,0.08118891257047844,0.0992609040609971,0.11923697247788863,0.13948947557896946,0.1483894996835616,0.1627601648275944,0.6680350598189181,0.8258429940166958,0.49902141410709505,0.0658162709558896,0.007471617627912271
dePablo CV2,test,11,178,-0.1190216243930391,0.004625270139288424,0.0091603670174207,-0.09545952698611208,-0.0411591083399869,-0.2010538243325578,-0.1598947159925709,0.1644018614598234,-0.05551270738977109,0.05683006492019727,-1.5364528359487957,1.6613634673063309,3.1978163032551263,3.1978163032551263,3.1616217742508743,90,8.326672684688674e-17,178,268,768,0.021465705181955393,5.731343283582089,0.8210311963865711,8.0,3.0,17.847570419311523,17.813011169433594,1.0019401127383354,0.043105125427246094,-0.015764713287353516,2.7002971418745196,4.539416130025982,0.33980730175971985,24.38672637939453,0.8528894888392339,0.2986885292663656,0.4121454060077667,2.9428842067718506,5.7560975609756095,5.585365853658536,5.7317073170731705,5.829268292682927,-0.17073170731707332,-0.09756097560975618,-6.222292499340877e-16,-5.708606953334863e-17,1.3942678281123025e-09,0.02039594234188277,0.021166473357130497,0.024276835610613463,0.04335523300304617,0.05178202257130024,0.057968251495720866,0.07131576740562716,0.07898913279855102,0.08004179684575971,0.7552487029357979,0.5414303625732405,0.5894986514442887,0.4400177500695413,0.0031103622534829657
dePablo CV2,test,12,176,-0.36685866738795,0.00476705774119921,0.0095063125611164,-0.9007759125941267,-0.7318804632806724,-1.182955067850653,-0.4510746045699807,0.45412105089346355,-0.21470369241785517,0.25713242955941124,-1.242388262911824,1.9645042258181828,3.2068924887300065,3.2068924887300065,2.7279423385603034,27,5.551115123125783e-17,176,264,763,0.02197833851826247,5.78030303030303,0.7959594357278207,8.0,4.0,17.650320053100586,17.545320510864258,1.0059844755854594,0.039389610290527344,0.03740978240966797,2.77456649833238,4.520311568665228,0.2981190085411072,23.733022689819336,0.8603096086028987,0.40540565575959814,0.33956629037857056,3.354416847229004,5.8,5.75,5.75,5.8,-0.04999999999999982,-0.04999999999999982,-3.612981434094221e-16,-1.9129910809197866e-16,1.370443189656137e-10,0.004113949187743726,0.01707295370211852,0.022318972442113644,0.024665452609629355,0.03487637697049289,0.042566793658071415,0.04625390469006386,0.05552002591522192,0.06435363827016498,0.7371191666070768,0.5036423709511615,0.5519062542867433,0.7481604597926789,0.005246018739995122
dePablo CV2,test,13,155,0.1260059232543453,0.005480775845331243,0.0108853348678298,0.9489738397290055,0.7884797811880045,1.1011098671298625,0.3126300859418579,0.3126300859418579,0.3294299891341651,-0.03255782422647863,-1.9157924312596104,1.839830943336905,3.7556233745965155,3.7556233745965155,3.7760363439799707,2,5.551115123125783e-17,155,204,586,0.028300975562638848,5.745098039215686,0.8127208539632433,7.0,4.0,15.61182975769043,15.490180015563965,1.0078533459265313,-0.00740504264831543,-0.036769866943359375,2.576528964138275,4.094792925099117,0.4450458884239197,20.582326889038086,0.8665889059113968,0.2248929594576938,0.4742926359176636,2.2470033168792725,5.709677419354839,5.451612903225806,5.870967741935484,5.580645161290323,-0.2580645161290329,0.29032258064516103,-9.20996829379752e-16,8.589335722761953e-16,1.072460452959559e-09,0.02872569500594301,0.03803792532314796,0.03911011642684518,0.0677479146888106,0.09013918168549138,0.12055193561828749,0.12211542795567748,0.12777862860547626,0.14154389209757778,0.6993352375046433,0.1342116326624151,0.6737371104252945,0.9073922782844595,0.0010721911036972176
dePablo CV2,test,14,158,0.1790333352544131,0.004975974121808307,0.0099514244421611,0.9604214099388451,0.8062700006057553,1.096144470713583,0.28987447010782774,0.28987447010782774,0.33086224700348094,0.09510170086368719,-1.8323886721784075,2.050872698649941,3.8832613708283485,3.8832613708283485,3.8139630976473806,43,2.7755575615628914e-17,158,212,609,0.027228829473307698,5.745283018867925,0.7404909227619022,7.0,4.0,15.856040000915527,15.929590225219727,0.9953827924469925,0.041520118713378906,5.0067901611328125e-06,2.601594963831267,4.19533575540374,0.4445949196815491,22.163915634155273,0.8811045643339799,0.26484113725613195,0.4425136148929596,2.351473569869995,5.53125,5.90625,5.5625,5.875,0.375,-0.3125,5.036455391328682e-16,1.0760227535685265e-15,5.112765005310927e-10,0.031795064436168745,0.03790938024947239,0.04413593176126792,0.06405462935522369,0.08134845844023021,0.10898208475960755,0.1155006154890035,0.12193689043763371,0.1270137298887153,0.5912224672872404,0.7031591216194389,0.6420935794717574,0.2965130881248129,0.006226551511795533
dePablo CV2,test,15,113,-0.3405376290549624,0.00526044792546022,0.0105378813340999,-0.9372454987401726,-0.8724379419032484,-1.0473574261676708,-0.1749194842644224,0.17722141216721166,-0.08102939981425682,0.06165553456341725,-1.085422323798165,1.2696424267153894,2.3550647505135545,2.3550647505135545,2.1957813120858978,41,0.0,113,108,309,0.05347871235721703,5.722222222222222,0.8146043499230656,7.0,4.0,11.17959976196289,11.265180587768555,0.9924030666762159,-0.06341004371643066,0.005530118942260742,2.6730433259774182,3.2656523328503027,0.3531983494758606,14.34158706665039,0.840924698075816,0.34749840582198327,0.31443163752555847,2.830993890762329,5.9411764705882355,5.823529411764706,5.529411764705882,5.529411764705882,-0.11764705882352988,0.0,-8.633194180632291e-11,-1.4301095704314605e-16,-7.724439591137927e-17,0.044848922522158934,0.04698298451768181,0.056151106382836206,0.07011407316104214,0.10629592976271189,0.12560478436348504,0.13204217548767158,0.13699930073007321,0.14907678091598445,0.4900450019937749,0.5325045435928196,0.6269563797646868,0.8086827909944083,0.009168121865154394
dePablo CV2,test,16,172,-0.4547701402624022,0.005600444341966995,0.0112085584543208,-1.3779158666240399,-1.0998187318753243,-1.7657410798682232,-0.6659223479928988,0.6687000063292923,-0.43168941700379015,0.06086248230301186,-1.2199112277327022,1.5538888611017885,2.7738000888344905,2.7738000888344905,2.2694491359685203,28,5.551115123125783e-17,172,248,713,0.02327935222672065,5.75,0.7198230069192861,7.0,4.0,17.24304962158203,17.123109817504883,1.0070045573120447,0.004235267639160156,0.06638526916503906,2.9846395119961984,4.720664145099492,0.28630319237709045,23.73082160949707,0.8457284449778633,0.3761104320465824,0.30304041504859924,3.492764472961426,5.7894736842105265,5.815789473684211,5.7631578947368425,5.631578947368421,0.02631578947368407,0.13157894736842124,-7.917911535718836e-10,-4.579345749620552e-18,4.636507496822921e-16,0.01633269754012968,0.018734972116172092,0.021572437103119055,0.029640239032043825,0.03511916572666354,0.03995090142521394,0.048762590760372086,0.051331743359447644,0.05438339272801448,0.20465447288688063,0.6424961560033818,0.6807138543758569,0.5453188747909284,0.002837464986946963
dePablo CV2,test,17,189,-0.4436555356265637,0.005253247470692596,0.0105385278283884,-1.2167117100631237,-1.034380828771435,-1.5012190007224095,-0.46683817195097466,0.4698100903820057,-0.23979876823925536,0.23553012330524983,-1.2550020191999895,1.9173584853539647,3.1723605045539545,3.1723605045539545,2.713549176525895,36,0.0,189,300,859,0.01915273132664437,5.726666666666667,0.7780031419530957,8.0,4.0,18.870548248291016,18.784629821777344,1.0045738684940209,0.0468449592590332,0.10417461395263672,2.8391001046016138,4.810365234058622,0.231752410531044,26.094621658325195,0.8507997122646349,0.3941785302780158,0.3158133924007416,4.315016269683838,5.822222222222222,5.5777777777777775,5.622222222222222,5.822222222222222,-0.24444444444444446,-0.20000000000000018,-4.0651242047714906e-16,-1.5615156208505574e-16,3.4196399272949446e-10,0.01469571970609815,0.016464543853636396,0.019343644503197324,0.020148840145836382,0.035495674564616206,0.03815154872134089,0.04741048071485029,0.05205759500741844,0.05404831811111953,0.011657091891466272,0.26831060771934856,0.07713039229429712,0.6766778626377119,0.0028791006495609284
dePablo CV2,test,18,180,-0.4991540889734968,0.004492013724320829,0.0090181090200405,-1.4650551600689106,-1.141244583318844,-1.957565232773779,-0.8163206494549349,0.8191740382712904,-0.44651688007442747,0.40589681841747544,-1.0236741898791215,2.132011286964985,3.1556854768441065,3.1556854768441065,2.4472097774784145,71,0.0,180,272,775,0.021027783807249838,5.698529411764706,0.7935387323396277,8.0,4.0,17.972599029541016,17.864900588989258,1.0060284936943973,0.04873991012573242,0.037670135498046875,2.7117695429248196,4.442088897159875,0.3285377621650696,24.18073081970215,0.8462510059725854,0.38127953428011496,0.28638532757759094,3.0438108444213867,5.658536585365853,5.7073170731707314,5.487804878048781,5.780487804878049,0.04878048780487809,-0.29268292682926766,-1.2076555241246762e-16,1.016540958458947e-15,2.7864059477692098e-11,0.01143911158236183,0.017203049481256144,0.018200553299493803,0.02256872603950539,0.030982396051423392,0.037545553026876566,0.04239540579773038,0.0467184075920392,0.04816143304306135,0.6433241422430129,0.5792761738647092,0.5021558060902068,0.6829534229433081,0.0009975038182376585
dePablo CV2,test,19,154,0.0262065534153102,0.004593909929376495,0.0092080414294794,0.5500581750407398,0.4408159932058023,0.642286797085341,0.2014708038795387,0.2014708038795387,0.23812777589204373,-0.17706674606536493,-1.8834998458119456,1.5211690507233988,3.4046688965353447,3.4046688965353447,3.4126894395908693,5,5.551115123125783e-17,154,200,575,0.028894472361809045,5.75,0.7599342076785331,8.0,4.0,15.427849769592285,15.444160461425781,0.9989438926204999,0.018034934997558594,0.03032994270324707,2.665252505178037,4.167790105459815,0.2891528010368347,21.390098571777344,0.8738315748650095,0.29188861784043246,0.46761617064476013,3.458449363708496,5.766666666666667,5.9,5.666666666666667,5.7,0.13333333333333375,-0.033333333333333215,-4.1910527807208403e-16,1.7254752055662456e-16,1.3017662270521087e-09,0.005040795468937252,0.025873358699189986,0.034643885146296904,0.03801146817143265,0.07488919819739077,0.07938311640829553,0.10196138652250526,0.10830535459166492,0.11222148954343368,0.8615224427447209,0.5625522733881428,0.668102829840002,0.1375467088094858,0.008770526447106918
dePablo CV2,test,20,115,0.0037402536317093,0.005123895218033914,0.010282666383699,0.37680781151500364,0.2971972017618834,0.447293741667718,0.1500965399058346,0.1500965399058346,0.16711912233943446,0.037962062527748745,-1.608430490114576,1.6704614785535468,3.278891968668123,3.278891968668123,3.304393796434825,78,9.063930161978817e-17,115,112,323,0.051962676962676965,5.767857142857143,0.7194013242315603,7.0,4.0,11.503820419311523,11.150720596313477,1.0316660990604307,0.018200159072875977,0.036460161209106445,2.4152542031586353,3.153275718227616,0.3147130012512207,15.37569808959961,0.8683490189420918,0.32398849733125246,0.4572555422782898,3.177569627761841,5.9411764705882355,5.705882352941177,5.764705882352941,5.882352941176471,-0.23529411764705888,-0.11764705882352988,-7.068226297619551e-16,6.492529743110416e-16,3.011273534679652e-09,0.0601895245918904,0.06196949683852659,0.06817299381568091,0.12290303153931129,0.1531888665250882,0.18810926160930247,0.19821794766947287,0.2075066446103141,0.21970929913453174,0.6410341537817341,0.6875001900164093,0.6098008399200057,0.13347603631526833,0.0062034969771543255
dePablo CV2,test,21,121,-0.4346220503932809,0.00446271324872016,0.0089906421622734,-1.022021917324121,-0.9337840167957034,-1.1846518708552836,-0.2508678540595801,0.2530365397767216,-0.08258601140012166,0.08737604113497881,-1.0931736603984494,1.4181300490681992,2.511303709466649,2.511303709466649,2.150156218938931,22,0.0,121,124,354,0.046420141620771044,5.709677419354839,0.7908161723955652,8.0,4.0,12.15481948852539,12.179510116577148,0.9979727733040632,-0.02369999885559082,-0.003075122833251953,2.6651952630382474,3.397428860116635,0.3452151119709015,15.791435241699219,0.8447810755779515,0.3676754878852148,0.31786078214645386,2.8965063095092773,5.473684210526316,5.526315789473684,5.684210526315789,5.842105263157895,0.05263157894736814,-0.1578947368421053,1.3756883927314501e-16,3.139527496740769e-16,2.2048805681175042e-09,0.032607881372516835,0.034663889720143136,0.04721369637851926,0.051514765257927676,0.0626682309421661,0.07759724927023554,0.10055774345762176,0.11116582984277144,0.11604771633636361,0.5353305245080731,0.47030136384008164,0.2273655443398291,0.48737738398061925,0.012549806658376121
dePablo CV2,test,22,172,-0.0313026174804837,0.005197381153207237,0.010478115245141,0.3938932162350876,0.3111377049251337,0.4630112671115191,0.15187356218638537,0.15187356218638537,0.17643387988812037,0.00686640430268649,-1.720900330217064,1.7026603695728946,3.4235606997899586,3.4235606997899586,3.490518119627423,59,0.0,172,248,705,0.02301815332375604,5.685483870967742,0.7445168977465701,7.0,4.0,17.147199630737305,17.061180114746094,1.0050418268497654,0.008870124816894531,0.09992027282714844,2.5934546866738204,4.320214622702351,0.2561362683773041,22.773555755615234,0.8689485492435753,0.31348860893661923,0.4359150230884552,3.9043197631835938,5.578947368421052,5.657894736842105,5.631578947368421,5.657894736842105,0.0789473684210531,-0.02631578947368407,-1.2244400311985044e-09,-8.22055240544026e-16,9.695409769125441e-17,0.02114030136469567,0.028543071818210586,0.030171954717573845,0.04496575779394449,0.06148843050956688,0.07486537802689774,0.08817888325201678,0.09124808439292433,0.09553666693885997,0.6039355896616212,0.8231933504352691,0.7241794474742088,0.16893721842330836,0.0016288828993632591
dePablo CV2,test,23,151,-0.318401941651545,0.005159740141204396,0.0103218921501133,-0.7743987415461442,-0.7276293660656853,-0.8762495831395954,-0.14862021707391015,0.15303782512049524,-0.032876829895157014,0.021408802365847256,-1.2839498092086217,1.429300321698377,2.7132501309069985,2.7132501309069985,2.464991716999832,95,5.551115123125783e-17,151,192,545,0.029722949389179756,5.677083333333333,0.8100256125923152,7.0,4.0,15.088390350341797,14.910320281982422,1.0119427393236182,0.04364514350891113,-0.017019987106323242,2.569996970345121,3.8555804100970543,0.3482103645801544,20.05610466003418,0.8526670660994469,0.3496811392191737,0.321966290473938,2.8718302249908447,5.655172413793103,5.448275862068965,5.689655172413793,5.586206896551724,-0.2068965517241379,0.1034482758620685,-7.927448164279795e-10,-9.554453229888774e-16,-2.8898915380314866e-16,0.022884749941533396,0.030326945231998217,0.03295817774153687,0.04595273337610146,0.06068106425630654,0.06569304190060092,0.07369060914135696,0.08237295431166695,0.08947466732917196,0.6452204839817731,0.61729263627466,0.6350554382366862,0.23454677110147962,0.002631232509538655
