dataset,split,sim_idx,frames,final_p_ratio,mean_x_compression,final_x_compression,mean_axis_p_ratio,initial_axis_p_ratio,final_axis_p_ratio,slope_axis_p_ratio,range_axis_p_ratio,early_slope_axis_p_ratio,mean_axis_x_compression,initial_axis_x_compression,final_axis_x_compression,slope_axis_x_compression,range_axis_x_compression,early_slope_axis_x_compression,original_sim_idx,abs_final_p_ratio_diff,raw_frames
dePablo CV2,test,20,115,0.0037402536317093,0.005123895218033914,0.010282666383699,0.37680781151500364,0.2971972017618834,0.447293741667718,0.1500965399058346,0.1500965399058346,0.16711912233943446,0.037962062527748745,-1.608430490114576,1.6704614785535468,3.278891968668123,3.278891968668123,3.304393796434825,78,9.063930161978817e-17,115
dePablo CV2,test,21,121,-0.4346220503932809,0.00446271324872016,0.0089906421622734,-1.022021917324121,-0.9337840167957034,-1.1846518708552836,-0.2508678540595801,0.2530365397767216,-0.08258601140012166,0.08737604113497881,-1.0931736603984494,1.4181300490681992,2.511303709466649,2.511303709466649,2.150156218938931,22,0.0,121
dePablo CV2,test,22,172,-0.0313026174804837,0.005197381153207237,0.010478115245141,0.3938932162350876,0.3111377049251337,0.4630112671115191,0.15187356218638537,0.15187356218638537,0.17643387988812037,0.00686640430268649,-1.720900330217064,1.7026603695728946,3.4235606997899586,3.4235606997899586,3.490518119627423,59,0.0,172
dePablo CV2,test,23,151,-0.318401941651545,0.005159740141204396,0.0103218921501133,-0.7743987415461442,-0.7276293660656853,-0.8762495831395954,-0.14862021707391015,0.15303782512049524,-0.032876829895157014,0.021408802365847256,-1.2839498092086217,1.429300321698377,2.7132501309069985,2.7132501309069985,2.464991716999832,95,5.551115123125783e-17,151
dePablo CV2,test,24,169,-0.4495238576851234,0.005075988202457615,0.0101152578791396,-1.287308350983132,-1.0715626785011048,-1.6196167635141403,-0.5480540850130355,0.5510551495911824,-0.2966278819470448,0.1986401150336978,-1.2574169378740616,1.8918671557614708,3.1492840936355324,3.1492840936355324,2.5856069804658843,49,5.551115123125783e-17,169
dePablo CV2,test,25,166,0.1875985388672977,0.004904775249155758,0.00981591721022,1.0419055080103667,0.8794837546017382,1.1890429110603689,0.30955915645863064,0.30955915645863064,0.3422144489376885,0.03268292859852388,-1.9636295115106088,2.0491588655094097,4.012788377020018,4.012788377020018,3.962907920039173,98,5.551115123125783e-17,166
dePablo CV2,test,26,178,0.3437884787174968,0.004882696334547376,0.0097567434524896,1.5069153731303455,1.2592055224661536,1.6981863383755078,0.4389808159093542,0.4389808159093542,0.5669781142462496,-0.10849462696142226,-1.9668049923865505,1.8844916259487552,3.8512966183353057,3.8512966183353057,3.5389176833762326,84,0.0,178
dePablo CV2,test,27,183,0.35508191711915,0.004915381783264807,0.0098435004565744,1.5393915325315077,1.3144053855983888,1.6984934934395066,0.3840881078411178,0.3840881078411178,0.5324847485972128,-0.24040243490581448,-2.076875297900169,1.7434316028084365,3.820306900708605,3.820306900708605,3.4816701166077557,39,5.551115123125783e-17,183
dePablo CV2,test,28,180,-0.2955698868201818,0.005308519090142487,0.0106017378390365,-0.7305781835799908,-0.531328369616918,-1.0174993227455045,-0.4861709531285865,0.48980660041673507,-0.30516394679203046,-0.01436055239082729,-1.483409861726718,1.547471120996941,3.0308809827236587,3.0308809827236587,2.8108491119808017,89,0.0,180
dePablo CV2,test,29,163,0.1766270591859652,0.005370088829143625,0.0107405618699381,1.143162543115588,0.9493062280867384,1.3235647972390157,0.3742585691522773,0.3742585691522773,0.403621564226401,-0.015505979103830822,-2.035468519612174,2.011262684639949,4.046731204252123,4.046731204252123,4.027757816511472,96,5.551115123125783e-17,163
dePablo CV2,test,30,163,-0.3386047566176201,0.00429791464401503,0.0084810890861651,-0.7130797915892129,-0.5923888215082924,-0.9173597333621202,-0.32497091185382776,0.32710809828658827,-0.1375610499935796,-0.165271678635443,-1.43135301592749,1.2473002238929742,2.6786532398204645,2.6786532398204645,2.33367293002209,81,0.0,163
dePablo CV2,test,31,113,0.1672963915372404,0.004670632055174604,0.0093075835289223,0.9481762425559649,0.7891471733930224,1.099023396030903,0.3098762226378806,0.3098762226378806,0.3282817488150348,0.1585796912098616,-1.8200923936328544,2.1214496180316065,3.9415420116644606,3.9415420116644606,3.9762914031037506,9,0.0,113
dePablo CV2,test,32,113,-0.0812478255827438,0.005115735370891678,0.0102495129445331,0.1180391422957972,0.0533546375025064,0.1678170850260651,0.11446244752355869,0.11446244752355869,0.14407958548811073,0.0036401231140085447,-1.4870625130312352,1.4736357119925354,2.9606982250237706,2.9606982250237706,2.9932102535562004,11,2.7755575615628914e-17,113
dePablo CV2,test,33,166,-0.4439431886118696,0.004648130270096729,0.0088878656941686,-1.5447113997513162,-1.280762092791636,-1.9212695222393124,-0.6405074294476762,0.643345599871125,-0.39278685136874675,-0.03307243684736151,-1.3335443937764044,1.446257093767369,2.7798014875437733,2.7798014875437733,2.349654298692112,34,5.551115123125783e-17,166
dePablo CV2,test,34,158,0.3629131029241631,0.005118262269609861,0.0102553410780949,1.5291076866515505,1.332617670088078,1.6757302092718909,0.3431125391838128,0.3431125391838128,0.45665806018661176,-0.1694527565241589,-2.037751712843205,1.8227176731958517,3.860469386039057,3.860469386039057,3.570603098639148,48,0.0,158
dePablo CV2,test,35,121,0.3422335352892565,0.004920163867277858,0.0097390635838241,1.5597164436114515,1.4320966741035135,1.664207586419278,0.23211091231576453,0.23211091231576453,0.2846018786111702,-0.1281415578405806,-1.940005771330312,1.7572637565765326,3.697269527906845,3.697269527906845,3.5282459469975693,45,5.551115123125783e-17,121
dePablo CV2,test,36,158,-0.3779189657995969,0.004605653564958974,0.0092000816803892,-1.060345950325081,-0.8807688020700337,-1.3363452572718777,-0.455576455201844,0.4584989404510048,-0.2478698223919865,-0.044864216730853945,-1.481119309372109,1.5506072133157809,3.03172652268789,3.03172652268789,2.6540751843245074,94,5.551115123125783e-17,158
dePablo CV2,test,37,151,0.3541335764499747,0.004884586707827709,0.0097720149354309,1.5462623126454793,1.3724314104387476,1.674880333557926,0.3024489231191785,0.3024489231191785,0.4055550033871204,-0.1752282916854502,-2.08665003914819,1.8411699584626648,3.9278199976108548,3.9278199976108548,3.6818582293818087,38,5.551115123125783e-17,151
dePablo CV2,test,38,115,-0.2026014905337221,0.004559445793025539,0.0091000595920697,-0.39155975758894745,-0.380207855994478,-0.4657354161083288,-0.08552756011385082,0.0996414556377968,0.05065208164658929,0.12315527579204688,-1.333584876681559,1.6093069980576942,2.942891874739253,2.942891874739253,2.8722766740893717,1,8.326672684688674e-17,115
