target,descriptor,pearson_r,abs_r
slope_axis_p_ratio,hessian_mode5_participation,0.3996854864253493,0.3996854864253493
slope_axis_p_ratio,hessian_mode5_x_fraction,0.16182352400441458,0.16182352400441458
slope_axis_p_ratio,hessian_mode6_participation,0.4209369141373976,0.4209369141373976
slope_axis_p_ratio,hessian_mode6_x_fraction,-0.19170331015667533,0.19170331015667533
slope_axis_p_ratio,hessian_gap_6_5,0.008608539772722619,0.008608539772722619
range_axis_p_ratio,node_count,0.3397997425161605,0.3397997425161605
range_axis_p_ratio,edge_count,0.3377664899825239,0.3377664899825239
range_axis_p_ratio,edge_density,-0.31412890224586143,0.31412890224586143
range_axis_p_ratio,mean_degree,-0.16684898848058569,0.16684898848058569
range_axis_p_ratio,std_degree,0.017942416695575666,0.017942416695575666
range_axis_p_ratio,max_degree,0.14062742603793,0.14062742603793
range_axis_p_ratio,min_degree,-0.08850065786480223,0.08850065786480223
range_axis_p_ratio,x_span0,0.33887853795977885,0.33887853795977885
range_axis_p_ratio,y_span0,0.33583669201913025,0.33583669201913025
range_axis_p_ratio,aspect_ratio0,0.07178766924733393,0.07178766924733393
range_axis_p_ratio,x_center0,-0.032232848897494,0.032232848897494
range_axis_p_ratio,y_center0,0.042928941818086847,0.042928941818086847
range_axis_p_ratio,edge_len_mean,0.3871741416133455,0.3871741416133455
range_axis_p_ratio,edge_len_std,0.3680311680039793,0.3680311680039793
range_axis_p_ratio,edge_len_min,0.016207419964110747,0.016207419964110747
range_axis_p_ratio,edge_len_max,0.2642604031764322,0.2642604031764322
range_axis_p_ratio,stiffness_mean,-0.30494129207080645,0.30494129207080645
range_axis_p_ratio,stiffness_std,0.17110750284776421,0.17110750284776421
range_axis_p_ratio,stiffness_min,-0.1714820018137378,0.1714820018137378
range_axis_p_ratio,stiffness_max,0.014389144447511895,0.014389144447511895
range_axis_p_ratio,left_mean_degree,-0.027394240076348546,0.027394240076348546
range_axis_p_ratio,right_mean_degree,0.0901747408369598,0.0901747408369598
range_axis_p_ratio,top_mean_degree,-0.09608762721381936,0.09608762721381936
range_axis_p_ratio,bottom_mean_degree,0.20277523504703662,0.20277523504703662
range_axis_p_ratio,left_right_degree_asymmetry,0.07462866918217335,0.07462866918217335
range_axis_p_ratio,top_bottom_degree_asymmetry,-0.2109314203024056,0.2109314203024056
range_axis_p_ratio,hessian_lambda1,,
range_axis_p_ratio,hessian_lambda2,,
range_axis_p_ratio,hessian_lambda3,,
range_axis_p_ratio,hessian_lambda4,-0.31878170054450716,0.31878170054450716
range_axis_p_ratio,hessian_lambda5,-0.3472475708877732,0.3472475708877732
range_axis_p_ratio,hessian_lambda6,-0.41633981381459645,0.41633981381459645
range_axis_p_ratio,hessian_lambda7,-0.3786453587900845,0.3786453587900845
range_axis_p_ratio,hessian_lambda8,-0.4065486873636229,0.4065486873636229
range_axis_p_ratio,hessian_lambda9,-0.4405904710581525,0.4405904710581525
range_axis_p_ratio,hessian_lambda10,-0.43787374257955286,0.43787374257955286
range_axis_p_ratio,hessian_lambda11,-0.47837847707160724,0.47837847707160724
range_axis_p_ratio,hessian_lambda12,-0.47776552177156517,0.47776552177156517
range_axis_p_ratio,hessian_mode5_participation,-0.206804482673521,0.206804482673521
range_axis_p_ratio,hessian_mode5_x_fraction,0.02112343071555979,0.02112343071555979
range_axis_p_ratio,hessian_mode6_participation,-0.12135174737095603,0.12135174737095603
range_axis_p_ratio,hessian_mode6_x_fraction,0.0793542052830464,0.0793542052830464
range_axis_p_ratio,hessian_gap_6_5,-0.36146417125252356,0.36146417125252356
early_slope_axis_p_ratio,node_count,-0.024484193676919754,0.024484193676919754
early_slope_axis_p_ratio,edge_count,-0.02190412298699525,0.02190412298699525
early_slope_axis_p_ratio,edge_density,-0.006828450043215082,0.006828450043215082
early_slope_axis_p_ratio,mean_degree,0.12687951984483414,0.12687951984483414
early_slope_axis_p_ratio,std_degree,0.04359600894203168,0.04359600894203168
early_slope_axis_p_ratio,max_degree,0.02723094029285439,0.02723094029285439
early_slope_axis_p_ratio,min_degree,-0.1085949570015232,0.1085949570015232
early_slope_axis_p_ratio,x_span0,-0.02544573581721023,0.02544573581721023
early_slope_axis_p_ratio,y_span0,-0.009287563222191575,0.009287563222191575
early_slope_axis_p_ratio,aspect_ratio0,-0.22315901003178915,0.22315901003178915
early_slope_axis_p_ratio,x_center0,-0.03688518285864217,0.03688518285864217
early_slope_axis_p_ratio,y_center0,0.03958919353243262,0.03958919353243262
early_slope_axis_p_ratio,edge_len_mean,-0.7946856605644866,0.7946856605644866
early_slope_axis_p_ratio,edge_len_std,-0.17752833053262643,0.17752833053262643
early_slope_axis_p_ratio,edge_len_min,0.6076884509108205,0.6076884509108205
early_slope_axis_p_ratio,edge_len_max,0.05719732708063304,0.05719732708063304
early_slope_axis_p_ratio,stiffness_mean,0.6828204753328405,0.6828204753328405
early_slope_axis_p_ratio,stiffness_std,-0.8781884023109376,0.8781884023109376
early_slope_axis_p_ratio,stiffness_min,0.8722353904626474,0.8722353904626474
