case,case_short,dataset,sim_idx,epoch,train_mse_norm
low final p-ratio,low_p,low_p CV2 sim-61,61,131,0.00011923369934915431
low final p-ratio,low_p,low_p CV2 sim-61,61,132,0.00011886098842036777
low final p-ratio,low_p,low_p CV2 sim-61,61,133,0.00011926188640895166
low final p-ratio,low_p,low_p CV2 sim-61,61,134,0.0001317801881149145
low final p-ratio,low_p,low_p CV2 sim-61,61,135,0.00032281034509651363
low final p-ratio,low_p,low_p CV2 sim-61,61,136,0.0005240124020409505
low final p-ratio,low_p,low_p CV2 sim-61,61,137,0.00015847916074562818
low final p-ratio,low_p,low_p CV2 sim-61,61,138,0.00016402534570910836
low final p-ratio,low_p,low_p CV2 sim-61,61,139,0.00036666950420892263
low final p-ratio,low_p,low_p CV2 sim-61,61,140,0.0005583424094116449
low final p-ratio,low_p,low_p CV2 sim-61,61,141,0.0004072985695009785
low final p-ratio,low_p,low_p CV2 sim-61,61,142,0.0003935177114077045
low final p-ratio,low_p,low_p CV2 sim-61,61,143,0.0003495673757112984
low final p-ratio,low_p,low_p CV2 sim-61,61,144,0.0008291023415430183
low final p-ratio,low_p,low_p CV2 sim-61,61,145,0.00035425512448585195
low final p-ratio,low_p,low_p CV2 sim-61,61,146,0.00022282457419870689
low final p-ratio,low_p,low_p CV2 sim-61,61,147,0.00024266802574857138
low final p-ratio,low_p,low_p CV2 sim-61,61,148,0.0003182422057891797
low final p-ratio,low_p,low_p CV2 sim-61,61,149,0.00024972423437117996
low final p-ratio,low_p,low_p CV2 sim-61,61,150,0.00018085407282342203
low final p-ratio,low_p,low_p CV2 sim-61,61,151,0.00013542181789359477
low final p-ratio,low_p,low_p CV2 sim-61,61,152,0.0001144765826341297
low final p-ratio,low_p,low_p CV2 sim-61,61,153,0.00013633668069295318
low final p-ratio,low_p,low_p CV2 sim-61,61,154,0.00012341795185680633
low final p-ratio,low_p,low_p CV2 sim-61,61,155,9.418723493581638e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,156,0.00011164963299441817
low final p-ratio,low_p,low_p CV2 sim-61,61,157,0.0002861843796771219
low final p-ratio,low_p,low_p CV2 sim-61,61,158,0.0004370302532541765
low final p-ratio,low_p,low_p CV2 sim-61,61,159,0.00041135024782436503
low final p-ratio,low_p,low_p CV2 sim-61,61,160,0.0003700489219876805
low final p-ratio,low_p,low_p CV2 sim-61,61,161,0.0001325019979308958
low final p-ratio,low_p,low_p CV2 sim-61,61,162,0.0003436267356197017
low final p-ratio,low_p,low_p CV2 sim-61,61,163,0.0015880196795998408
low final p-ratio,low_p,low_p CV2 sim-61,61,164,0.0022235623722995763
low final p-ratio,low_p,low_p CV2 sim-61,61,165,0.0004517110521971647
low final p-ratio,low_p,low_p CV2 sim-61,61,166,0.00028835958281498667
low final p-ratio,low_p,low_p CV2 sim-61,61,167,0.00046227699203882366
low final p-ratio,low_p,low_p CV2 sim-61,61,168,0.00017916391360423795
low final p-ratio,low_p,low_p CV2 sim-61,61,169,0.00024760768792475574
low final p-ratio,low_p,low_p CV2 sim-61,61,170,0.00031981312557556
low final p-ratio,low_p,low_p CV2 sim-61,61,171,0.0001717412586523486
low final p-ratio,low_p,low_p CV2 sim-61,61,172,0.00014457325700537434
low final p-ratio,low_p,low_p CV2 sim-61,61,173,0.00013710414688310784
low final p-ratio,low_p,low_p CV2 sim-61,61,174,0.00020536207271756472
low final p-ratio,low_p,low_p CV2 sim-61,61,175,0.0002196636846097785
low final p-ratio,low_p,low_p CV2 sim-61,61,176,0.000290414449929293
low final p-ratio,low_p,low_p CV2 sim-61,61,177,0.0004749893840718349
low final p-ratio,low_p,low_p CV2 sim-61,61,178,0.00016997097866676216
low final p-ratio,low_p,low_p CV2 sim-61,61,179,0.00017684237380828044
low final p-ratio,low_p,low_p CV2 sim-61,61,180,0.00028555677688148407
low final p-ratio,low_p,low_p CV2 sim-61,61,181,0.0011339573881871598
low final p-ratio,low_p,low_p CV2 sim-61,61,182,0.0012864794313957515
low final p-ratio,low_p,low_p CV2 sim-61,61,183,0.005149106667626516
low final p-ratio,low_p,low_p CV2 sim-61,61,184,0.009080089013358312
low final p-ratio,low_p,low_p CV2 sim-61,61,185,0.00979809497948736
low final p-ratio,low_p,low_p CV2 sim-61,61,186,0.020393882262786583
low final p-ratio,low_p,low_p CV2 sim-61,61,187,0.030151997692883015
low final p-ratio,low_p,low_p CV2 sim-61,61,188,0.022943174865628992
low final p-ratio,low_p,low_p CV2 sim-61,61,189,0.008159442239307932
low final p-ratio,low_p,low_p CV2 sim-61,61,190,0.0030930733940164956
low final p-ratio,low_p,low_p CV2 sim-61,61,191,0.0015803850546944886
low final p-ratio,low_p,low_p CV2 sim-61,61,192,0.0017074942297767848
low final p-ratio,low_p,low_p CV2 sim-61,61,193,0.001114471790580345
low final p-ratio,low_p,low_p CV2 sim-61,61,194,0.0006985102393498112
low final p-ratio,low_p,low_p CV2 sim-61,61,195,0.0005568152555497363
low final p-ratio,low_p,low_p CV2 sim-61,61,196,0.00034508362815748636
low final p-ratio,low_p,low_p CV2 sim-61,61,197,0.0003286084580135399
