case,case_short,train_original_sim_idx,original_sim_idx,frames_encoded,final_p_ratio,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1
low final p-ratio,low_p,61,97,94,0.3482703772786049,4.869644363985417,12.164003372192383,14.207886695861816,14.207886695861816,1.9772561547604013,1.707142949104309,-0.5209895372390747,0.5209895372390747
low final p-ratio,low_p,61,98,84,0.18759853886729774,5.217559818832559,12.637067794799805,14.664808750152588,14.664808750152588,2.0048654703866866,1.7250852584838867,-0.5488166809082031,0.5488166809082031
low final p-ratio,low_p,61,99,85,0.04117477594834443,4.596170859082656,11.387581825256348,13.329495072364807,13.329495072364807,2.068494068875032,1.8177642822265625,-0.4859037399291992,0.4859037399291992
high final p-ratio,high_p,56,0,78,-0.4807224091848549,0.49411371531776893,-1.011613368988037,-3.05726957321167,3.05726957321167,0.7406664597682464,0.8360403180122375,0.20672297477722168,0.20672297477722168
high final p-ratio,high_p,56,1,58,-0.20260149053372217,-0.21024134177072296,-2.45074462890625,-4.515900135040283,4.515900135040283,0.7736399893102974,0.9598204493522644,0.3801206350326538,0.3801206350326538
high final p-ratio,high_p,56,2,78,0.12600592325434534,-1.2863574136430636,-4.602494716644287,-6.581378817558289,6.581378817558289,0.7697778187501125,1.0434969663619995,0.5502000153064728,0.5502000153064728
high final p-ratio,high_p,56,3,80,-0.45584325610126514,0.4464111480861902,-1.1718542575836182,-3.2522222995758057,3.2522222995758057,0.6938356526196003,0.7777069807052612,0.18573063611984253,0.18573063611984253
high final p-ratio,high_p,56,4,79,0.1278935707687713,-1.2815771168923076,-4.624154090881348,-6.633556365966797,6.633556365966797,0.8215672343592101,1.1090846061706543,0.5780212879180908,0.5780212879180908
high final p-ratio,high_p,56,5,78,0.026206553415310255,-0.9938114288334663,-3.923764705657959,-5.849155783653259,5.849155783653259,0.815907244498913,1.0684508085250854,0.5131528973579407,0.5131528973579407
high final p-ratio,high_p,56,6,67,0.3630376812533941,-1.3040024979568239,-4.5973591804504395,-6.534241080284119,6.534241080284119,0.7276772950122605,1.0167856216430664,0.5797565877437592,0.5797565877437592
high final p-ratio,high_p,56,7,75,-0.3942740135525513,0.5319558692971865,-0.9214072823524475,-2.937181532382965,2.937181532382965,0.7960399492581686,0.902298092842102,0.22712624073028564,0.22712624073028564
high final p-ratio,high_p,56,8,93,-0.3943129812633864,0.40599407952639366,-1.243759036064148,-3.309214949607849,3.309214949607849,0.7056051729827799,0.7842087149620056,0.17568516731262207,0.17568516731262207
high final p-ratio,high_p,56,9,57,0.1672963915372404,-1.491277192114738,-4.997446537017822,-6.965199708938599,6.965199708938599,0.8072804704047086,1.1123318672180176,0.6086594462394714,0.6086594462394714
high final p-ratio,high_p,56,10,63,-0.4575559254783025,0.4748804539678589,-0.9775198698043823,-2.941438913345337,2.941438913345337,0.723032570074475,0.8125661611557007,0.19319748878479004,0.19319748878479004
high final p-ratio,high_p,56,11,57,-0.08124782558274382,-0.5840371785064539,-3.168297529220581,-5.133771657943726,5.133771657943726,0.736844725776137,0.9551979303359985,0.4398459196090698,0.4398459196090698
high final p-ratio,high_p,56,12,74,0.34363610284625656,-1.320656247084608,-4.6386942863464355,-6.611592650413513,6.611592650413513,0.7447262088189254,1.026914358139038,0.5726965665817261,0.5726965665817261
high final p-ratio,high_p,56,13,86,0.10598580935001119,-1.1120917474807694,-4.2536845207214355,-6.2535213232040405,6.2535213232040405,0.7572577127883601,1.0126827955245972,0.5173191726207733,0.5173191726207733
high final p-ratio,high_p,56,14,66,-0.02043953611353658,-0.9427640166020754,-3.85111403465271,-5.805811762809753,5.805811762809753,0.820142208626776,1.0754095315933228,0.5169398784637451,0.5169398784637451
high final p-ratio,high_p,56,15,74,0.0034385083193314795,-0.8048601072986383,-3.618680000305176,-5.631924390792847,5.631924390792847,0.7800104416705467,1.0123746395111084,0.46956974267959595,0.46956974267959595
high final p-ratio,high_p,56,16,78,-0.3836751706292006,0.045906841611632936,-1.890305995941162,-3.8971757888793945,3.8971757888793945,0.7168799363649808,0.8520073294639587,0.2832287549972534,0.2832287549972534
high final p-ratio,high_p,56,17,80,0.17635764572024556,-1.477404318121262,-4.940281391143799,-6.909373164176941,6.909373164176941,0.8279393173754215,1.122338891029358,0.5954155325889587,0.5954155325889587
high final p-ratio,high_p,56,18,69,0.16176244715164548,-1.4463729278548905,-4.829732418060303,-6.708994150161743,6.708994150161743,0.81964053278384,1.1310396194458008,0.6250616908073425,0.6250616908073425
high final p-ratio,high_p,56,19,72,0.03700541385993479,-1.12256535820456,-4.183884620666504,-6.0747116804122925,6.0747116804122925,0.8018113382988505,1.069258689880371,0.5375205278396606,0.5375205278396606
high final p-ratio,high_p,56,20,80,-0.1613288408896635,-0.5345099000260234,-3.0262093544006348,-4.989351153373718,4.989351153373718,0.8068499997258186,0.9944835901260376,0.3882722854614258,0.3882722854614258
high final p-ratio,high_p,56,21,89,-0.2291252278516337,-0.34695261674985456,-2.6940090656280518,-4.648666977882385,4.648666977882385,0.8122121537669321,0.9851106405258179,0.3565651774406433,0.3565651774406433
high final p-ratio,high_p,56,22,61,-0.4346220503932809,0.44814916907763874,-1.1158264875411987,-3.1243568658828735,3.1243568658828735,0.7270070910453796,0.8518264293670654,0.2597283124923706,0.2597283124923706
high final p-ratio,high_p,56,23,83,0.3480696477983587,-1.2461637090667184,-4.518702983856201,-6.527270078659058,6.527270078659058,0.7528521357530571,1.028822660446167,0.5586600005626678,0.5586600005626678
high final p-ratio,high_p,56,24,58,-0.4425836976874488,0.28499639920633413,-1.3846067190170288,-3.3951317071914673,3.3951317071914673,0.7684750515839149,0.9008379578590393,0.2778821587562561,0.2778821587562561
high final p-ratio,high_p,56,25,74,0.15575047961155963,-1.5236644935164902,-4.957923889160156,-6.869850993156433,6.869850993156433,0.8252177713690577,1.1284178495407104,0.6151796579360962,0.6151796579360962
high final p-ratio,high_p,56,26,74,0.03234810147365195,-1.0834987831578866,-4.165445804595947,-6.115418076515198,6.115418076515198,0.8222963270303365,1.0898284912109375,0.539806604385376,0.539806604385376
high final p-ratio,high_p,56,27,89,-0.36685866738795003,0.20612468511870738,-1.6014326810836792,-3.6196094751358032,3.6196094751358032,0.7259747272127131,0.8416354656219482,0.25060856342315674,0.25060856342315674
