dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,train_original_sim_idx,original_sim_idx
low_p CV2 sim-61,other_trajectories,30,100,100,-0.4903133183351179,0.04919855713162106,0.0004066565597895533,0.0004125522100366652,0.0010993813630193472,2.6648296537343494,low final p-ratio,low_p,61,30
low_p CV2 sim-61,other_trajectories,31,100,100,-0.46323576186624743,0.13609564797469764,0.00039406551513820887,0.00044052297016605735,0.0009372571366839111,2.1276010563776215,low final p-ratio,low_p,61,31
low_p CV2 sim-61,other_trajectories,32,100,100,-0.4606543709803655,0.21364027538726335,0.0005105960299260914,0.0004455522575881332,0.0010806689970195293,2.425459592258414,low final p-ratio,low_p,61,32
low_p CV2 sim-61,other_trajectories,33,100,100,-0.5007851866013028,-0.40805549580554956,0.00025529289268888533,0.0005383362295106053,0.0009557462763041258,1.7753705285133468,low final p-ratio,low_p,61,33
low_p CV2 sim-61,other_trajectories,34,100,100,-0.43071860509839954,-0.4269141901892096,0.000223347800783813,0.0005927652237005532,0.001024257275275886,1.7279307798821029,low final p-ratio,low_p,61,34
low_p CV2 sim-61,other_trajectories,35,100,100,-0.44743942214101534,-0.1383757696788151,0.0003285571583546698,0.000455266737844795,0.0010721575235947967,2.355009567952021,low final p-ratio,low_p,61,35
low_p CV2 sim-61,other_trajectories,36,100,100,-0.49547511312217196,-0.41663090128755365,0.00030456407694146037,0.0005058642127551138,0.0011652352986857295,2.3034547005004558,low final p-ratio,low_p,61,36
low_p CV2 sim-61,other_trajectories,37,100,100,-0.4674200250810971,-0.19825230664749546,0.0002546054311096668,0.0004775618144776672,0.0008779693162068725,1.8384412019356082,low final p-ratio,low_p,61,37
low_p CV2 sim-61,other_trajectories,38,100,100,-0.45296565412041545,0.35430659976595436,0.0007549381698481739,0.0004708220949396491,0.001283543766476214,2.726175725972973,low final p-ratio,low_p,61,38
low_p CV2 sim-61,other_trajectories,39,100,100,-0.4626507502050893,0.3550825350667123,0.0007409407990053296,0.0004720691649708897,0.001310247229412198,2.775540803418065,low final p-ratio,low_p,61,39
