latent_dim,repeat,train_networks,train_frames_per_network,signal,target,test_r,test_r2,source
4,1,1,1,stiffness_std,final_p_ratio,-0.9363107170044693,0.8766777587774235,descriptor
4,1,1,1,stiffness_min,final_p_ratio,0.8149985258594552,0.6642225971530851,descriptor
4,1,1,1,stiffness_max,final_p_ratio,-0.8380471710799067,0.7023230609550344,descriptor
4,1,1,1,near_zero_stiffness_edge_count,final_p_ratio,-0.46866835475614277,0.2196500267498297,descriptor
4,1,1,1,near_zero_stiffness_edge_fraction,final_p_ratio,-0.4597449681816225,0.21136543576832112,descriptor
4,1,1,1,horizontal_stiffness,final_p_ratio,-0.9183110383270578,0.8432951631133191,descriptor
4,1,1,1,vertical_stiffness,final_p_ratio,-0.8385731884203192,0.7032049923374203,descriptor
4,1,1,1,diagonal_stiffness,final_p_ratio,0.4467387827465759,0.19957554000989236,descriptor
4,1,1,1,vertical_minus_horizontal_stiffness,final_p_ratio,0.1123384821780072,0.01261993457805844,descriptor
4,1,1,1,vertical_over_horizontal_stiffness,final_p_ratio,0.3986267629985363,0.1589032961786912,descriptor
4,1,1,1,horizontal_edge_fraction,final_p_ratio,0.07700892195960574,0.005930374061380647,descriptor
4,1,1,1,vertical_edge_fraction,final_p_ratio,0.026540215707791616,0.0007043830498161089,descriptor
4,1,1,1,diagonal_edge_fraction,final_p_ratio,-0.08965783215685928,0.00803852686706755,descriptor
4,1,1,1,edge_length_mean,final_p_ratio,-0.031141177368967394,0.000969772927925487,descriptor
4,1,1,1,edge_length_std,final_p_ratio,0.1666752984416322,0.027780655110607164,descriptor
4,1,1,1,bbox_x_span,final_p_ratio,0.21050022755170994,0.044310345799321665,descriptor
4,1,1,1,bbox_y_span,final_p_ratio,0.18843504401104033,0.03550776581144271,descriptor
4,1,1,1,bbox_aspect_y_over_x,final_p_ratio,-0.21408747763106126,0.04583344807843016,descriptor
4,1,1,1,descriptor_distance_to_train,final_p_ratio,-0.1443615836969295,0.02084026684748558,descriptor
4,1,1,1,final_p_ratio_delta_to_train,final_p_ratio,1.0,1.0,descriptor
4,1,1,1,z0,final_p_ratio,-0.8493339710100007,0.7213681943116168,latent
4,1,1,1,z1,final_p_ratio,0.8568005962526296,0.7341072617388616,latent
4,1,1,1,z2,final_p_ratio,0.649198611660094,0.4214588373813935,latent
4,1,1,1,z3,final_p_ratio,-0.8497116059848181,0.7220098133452988,latent
4,1,1,2,stiffness_mean,final_p_ratio,-0.8844665153365006,0.7822810167514922,descriptor
4,1,1,2,stiffness_std,final_p_ratio,-0.949623720594601,0.9017852107159328,descriptor
4,1,1,2,stiffness_min,final_p_ratio,0.8171245530110588,0.6676925351335227,descriptor
4,1,1,2,stiffness_max,final_p_ratio,-0.8311424749382077,0.6907978136464092,descriptor
4,1,1,2,near_zero_stiffness_edge_count,final_p_ratio,-0.3925445745844232,0.1540912430356658,descriptor
4,1,1,2,near_zero_stiffness_edge_fraction,final_p_ratio,-0.3720870780601159,0.13844879365931476,descriptor
4,1,1,2,horizontal_stiffness,final_p_ratio,-0.9292506152148267,0.8635067058771339,descriptor
4,1,1,2,vertical_stiffness,final_p_ratio,-0.8507575329280318,0.7237883798337911,descriptor
4,1,1,2,diagonal_stiffness,final_p_ratio,0.48500050185045995,0.235225486795198,descriptor
4,1,1,2,vertical_minus_horizontal_stiffness,final_p_ratio,0.20293221595526587,0.04118148427251466,descriptor
4,1,1,2,vertical_over_horizontal_stiffness,final_p_ratio,0.4905223962064415,0.24061222118010916,descriptor
4,1,1,2,horizontal_edge_fraction,final_p_ratio,0.07123739849696997,0.005074766944616099,descriptor
4,1,1,2,vertical_edge_fraction,final_p_ratio,-0.07769172107131286,0.006036003523022679,descriptor
4,1,1,2,diagonal_edge_fraction,final_p_ratio,-0.0055885797048062895,3.1232223116972755e-05,descriptor
4,1,1,2,edge_length_mean,final_p_ratio,0.15266770779237587,0.023307429002578265,descriptor
4,1,1,2,edge_length_std,final_p_ratio,0.32824693727722354,0.10774605183187752,descriptor
4,1,1,2,bbox_x_span,final_p_ratio,0.33889177001322507,0.11484763178269664,descriptor
4,1,1,2,bbox_y_span,final_p_ratio,0.32194515454047545,0.10364868253209063,descriptor
4,1,1,2,bbox_aspect_y_over_x,final_p_ratio,-0.11216942777480943,0.01258198052732819,descriptor
4,1,1,2,descriptor_distance_to_train,final_p_ratio,0.7296965675285344,0.532457080662925,descriptor
4,1,1,2,final_p_ratio_delta_to_train,final_p_ratio,1.0,1.0,descriptor
4,1,1,2,z0,final_p_ratio,-0.7482891894129492,0.5599367109922886,latent
4,1,1,2,z1,final_p_ratio,0.7421232085741553,0.5507468567043992,latent
4,1,1,2,z2,final_p_ratio,-0.7218834626979859,0.5211157337168344,latent
4,1,1,2,z3,final_p_ratio,-0.7506428059700493,0.563464622154589,latent
4,1,1,4,stiffness_mean,final_p_ratio,-0.8840987200000727,0.781630546705767,descriptor
4,1,1,4,stiffness_std,final_p_ratio,-0.9451778017037562,0.893361076833545,descriptor
4,1,1,4,stiffness_min,final_p_ratio,0.8174329564469602,0.668196638285618,descriptor
4,1,1,4,stiffness_max,final_p_ratio,-0.8418067229154993,0.7086385587457322,descriptor
4,1,1,4,near_zero_stiffness_edge_count,final_p_ratio,-0.47952497101795166,0.22994419782976738,descriptor
4,1,1,4,near_zero_stiffness_edge_fraction,final_p_ratio,-0.4681196771018375,0.2191360320899286,descriptor
4,1,1,4,horizontal_stiffness,final_p_ratio,-0.9320262365210382,0.8686729055635702,descriptor
4,1,1,4,vertical_stiffness,final_p_ratio,-0.8327239634779823,0.69342919935048,descriptor
4,1,1,4,diagonal_stiffness,final_p_ratio,0.5116406967432136,0.261776202563881,descriptor
4,1,1,4,vertical_minus_horizontal_stiffness,final_p_ratio,0.03879524740946582,0.0015050712215616644,descriptor
4,1,1,4,vertical_over_horizontal_stiffness,final_p_ratio,0.3037447089505073,0.0922608482154284,descriptor
4,1,1,4,horizontal_edge_fraction,final_p_ratio,0.1077081909144201,0.01160105439005717,descriptor
4,1,1,4,vertical_edge_fraction,final_p_ratio,0.013138777959679118,0.00017262748627374977,descriptor
4,1,1,4,diagonal_edge_fraction,final_p_ratio,-0.09508288070416669,0.009040754203002795,descriptor
4,1,1,4,edge_length_mean,final_p_ratio,0.12315715420982853,0.015167684633063486,descriptor
4,1,1,4,edge_length_std,final_p_ratio,0.19320513126493133,0.03732822274709934,descriptor
4,1,1,4,bbox_x_span,final_p_ratio,0.1947600495586996,0.03793147690410713,descriptor
4,1,1,4,bbox_y_span,final_p_ratio,0.17802505254336792,0.03169291933306891,descriptor
4,1,1,4,bbox_aspect_y_over_x,final_p_ratio,-0.14497384293761717,0.021017415136100892,descriptor
4,1,1,4,descriptor_distance_to_train,final_p_ratio,-0.6889058114182113,0.4745912170057841,descriptor
4,1,1,4,final_p_ratio_delta_to_train,final_p_ratio,1.0,1.0,descriptor
4,1,1,4,z0,final_p_ratio,0.8039293067709162,0.6463023302851659,latent
4,1,1,4,z1,final_p_ratio,0.7786928156785744,0.6063625011894263,latent
4,1,1,4,z2,final_p_ratio,-0.8084038896295582,0.6535168487681989,latent
4,1,1,4,z3,final_p_ratio,-0.8373513182254452,0.7011572301338908,latent
