split,sim_idx,original_sim_idx,final_p_ratio,node_count,edge_count,bbox_x_span,bbox_y_span,bbox_aspect_y_over_x,edge_length_mean,edge_length_std,edge_length_min,edge_length_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max,near_zero_stiffness_threshold,near_zero_stiffness_edge_count,near_zero_stiffness_edge_fraction,horizontal_edge_fraction,vertical_edge_fraction,diagonal_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,horizontal_length_mean,vertical_length_mean,diagonal_length_mean,vertical_minus_horizontal_stiffness,vertical_over_horizontal_stiffness,z0,latent_dim,repeat,seed,train_networks,train_frames_per_network,z1,z2,z3,delta_to_train_node_count,delta_to_train_edge_count,delta_to_train_bbox_x_span,delta_to_train_bbox_y_span,delta_to_train_bbox_aspect_y_over_x,delta_to_train_edge_length_mean,delta_to_train_edge_length_std,delta_to_train_edge_length_min,delta_to_train_edge_length_max,delta_to_train_stiffness_mean,delta_to_train_stiffness_std,delta_to_train_stiffness_min,delta_to_train_stiffness_max,delta_to_train_near_zero_stiffness_threshold,delta_to_train_near_zero_stiffness_edge_count,delta_to_train_near_zero_stiffness_edge_fraction,delta_to_train_horizontal_edge_fraction,delta_to_train_vertical_edge_fraction,delta_to_train_diagonal_edge_fraction,delta_to_train_horizontal_stiffness,delta_to_train_vertical_stiffness,delta_to_train_diagonal_stiffness,delta_to_train_horizontal_length_mean,delta_to_train_vertical_length_mean,delta_to_train_diagonal_length_mean,delta_to_train_vertical_minus_horizontal_stiffness,delta_to_train_vertical_over_horizontal_stiffness,descriptor_distance_to_train,final_p_ratio_delta_to_train
val,1,95,0.15031615373850205,160,460,13.745248794555664,13.716222763061523,0.9978882670402527,2.5011238942975584,3.755613710230971,0.7828194499015808,18.538972854614258,0.49904350876484227,0.2154192835472766,0.08197720348834991,1.0721566677093506,0.001,0,0.0,0.3652173913043478,0.3782608695652174,0.2565217391304348,0.4836909214389466,0.6638211606220267,0.2779242142529811,2.9274554781260944,2.888729856274594,1.3225887801687597,0.18013023918308008,1.372407732291533,0.20523269474506378,1,1,1588903323,1,1,,,,52.0,150.0,2.415644645690918,2.4435195922851562,0.002910614013671875,0.143353976817151,0.6244449822053877,-0.04150503873825073,3.5462160110473633,-0.1314941865947694,-0.1721396331965577,0.08194980848747946,-0.1039278507232666,0.0,-17.0,-0.054838709677419356,-0.002524544179523136,0.0040673211781205865,-0.0015427769985974504,-0.20888417976266854,-0.14913189183718578,0.00029209001264551837,0.28570593193285454,0.10947945439952544,-0.019363464023602228,0.05975228792548276,0.19859560556514322,1.5215518989811847,0.6093270229446205
val,2,30,-0.06866933130407157,120,341,11.856694221496582,11.85335922241211,0.9997187256813049,2.360531464699776,3.2542620389409502,0.7714621424674988,15.875529289245605,0.6723091291540911,0.37468218277589976,0.000260733999311924,1.262268304824829,0.001,37,0.10850439882697947,0.3841642228739003,0.3812316715542522,0.23460410557184752,0.6866209164809681,0.821085502047432,0.4071119714546512,2.535020680827949,2.7959247621206136,1.3672912649810314,0.1344645855664639,1.1958352598048052,0.2058975100517273,1,1,1588903323,1,1,,,,12.0,31.0,0.5270900726318359,0.5806560516357422,0.004741072654724121,0.0027615472193684987,0.12309331091536713,-0.052862346172332764,0.8827724456787109,0.04177143379447945,-0.01287673396793454,0.000233338998441468,0.08618378639221191,0.0,20.0,0.05366568914956012,0.016422287390029322,0.007038123167155408,-0.02346041055718473,-0.0059541847206470155,0.00813244958821957,0.12947984721431566,-0.10672886536529091,0.016674360245545028,0.025339020788669453,0.014086634308866586,0.022023133078415524,1.1051517178606696,0.39034153790204684
val,3,76,0.18183670511140954,148,431,13.121102333068848,13.040132522583008,0.9938290119171143,2.325772618611285,3.424827977373645,0.7721320986747742,17.608949661254883,0.4623723167001233,0.17249006373190467,0.13541825115680695,0.8885409235954285,0.001,0,0.0,0.37819025522041766,0.37354988399071926,0.2482598607888631,0.4304451608767539,0.5924663209581967,0.31526008972497743,2.624055647776902,2.6970256207892613,1.3127645148295108,0.16202116008144285,1.3764037206305895,0.20648902654647827,1,1,1588903323,1,1,,,,40.0,121.0,1.7914981842041016,1.7674293518066406,-0.0011486411094665527,-0.03199729886912239,0.2936592493480621,-0.05219238996505737,2.6161928176879883,-0.16816537865948838,-0.21506885301192963,0.1353908561559365,-0.2875435948371887,0.0,-17.0,-0.054838709677419356,0.010448319736546696,-0.0006436643963775301,-0.009804655340169138,-0.26212994032486125,-0.22048673150101572,0.03762796548464187,-0.017693898416337728,-0.08222478108580722,-0.029187729362851078,0.041643208823845534,0.20259159390419978,1.4485222692491344,0.6408475743175279
val,4,70,0.1295779047889524,128,365,12.203361511230469,11.981842041015625,0.9818476438522339,2.3914690781946053,3.3600011077510703,0.7832223176956177,16.286941528320312,0.5068283701392069,0.22752223691957388,0.035908620804548264,1.0046733617782593,0.001,0,0.0,0.38082191780821917,0.3726027397260274,0.2465753424657534,0.5029583551632844,0.6534782286514255,0.29120116262800166,2.792460682580797,2.680579477811561,1.3352818853325314,0.1505198734881411,1.2992690586465656,0.20640619099140167,1,1,1588903323,1,1,,,,20.0,55.0,0.8737573623657227,0.7091388702392578,-0.013130009174346924,0.03369916071419787,0.2288323797254872,-0.04110217094421387,1.294184684753418,-0.12370932522040479,-0.16003667982426042,0.03588122580367781,-0.1714111566543579,0.0,-17.0,-0.054838709677419356,0.013079982324348205,-0.001590808661069365,-0.01148917366327884,-0.18961674603833079,-0.159474823807787,0.0135690383876661,0.15071113638755707,-0.09867092406350775,-0.006670358859830472,0.030141922230543794,0.12545693192017593,1.1550525072807167,0.5885887739950708
val,5,51,0.3524800528535854,100,285,10.746609687805176,10.675424575805664,0.9933760166168213,2.4007077599826614,3.0934567020670443,0.7944161891937256,14.375706672668457,0.43137236310724625,0.059696831913206065,0.3144538700580597,0.6293930411338806,0.001,0,0.0,0.39649122807017545,0.3684210526315789,0.23508771929824562,0.43248240636513297,0.4377205831663949,0.4195514975199059,2.820123812266156,2.5804606278737388,1.411632162421497,0.005238176801261929,1.0121118841464258,0.209039106965065,1,1,1588903323,1,1,,,,-8.0,-25.0,-0.5829944610595703,-0.5972785949707031,-0.0016016364097595215,0.042937842502253964,-0.03771202595853884,-0.029908299446105957,-0.6170501708984375,-0.19916533225236543,-0.32786208483062823,0.31442647505718924,-0.5466914772987366,0.0,-17.0,-0.054838709677419356,0.028749292586304487,-0.005772495755517859,-0.022976796830786628,-0.2600926948364822,-0.37523246929281756,0.14191937327957033,0.17837426607291595,-0.1987897740013298,0.069679918229135,-0.11513977445633539,-0.16170024257996385,1.8306188047830207,0.8114909220597039
val,6,69,-0.16665686710960664,120,347,11.862309455871582,11.859619140625,0.9997732043266296,2.4245703670408267,3.317684097057432,0.788814902305603,16.061588287353516,0.6139347687301894,0.37929604652768095,0.004274123813956976,1.398787260055542,0.001,0,0.0,0.3688760806916426,0.3746397694524496,0.2564841498559078,0.6477503314708883,0.8174703472186453,0.26800199081660825,2.638256700709462,2.9453339274112995,1.356580327066143,0.16972001574775697,1.262014556383727,0.204864963889122,1,1,1588903323,1,1,,,,12.0,37.0,0.5327053070068359,0.5869159698486328,0.004795551300048828,0.0668004495604193,0.18651536903184907,-0.035509586334228516,1.068831443786621,-0.01660292662942231,-0.00826287021615335,0.00424672881308652,0.2227027416229248,0.0,-17.0,-0.054838709677419356,0.001134145207771664,0.00044622106535280315,-0.0015803662731244672,-0.0448247697307268,0.004517294759432855,-0.009630133423727316,-0.0034928454837777068,0.16608352553623096,0.014628082873781034,0.049342064490159654,0.08820242965733738,0.8534629702073685,0.2923540020965118
val,7,3,-0.1515654324056017,108,310,11.299245834350586,11.205612182617188,0.991713285446167,2.4498749817571333,3.2335207037953584,0.8205145597457886,14.789863586425781,0.6419198045608467,0.39124869814270824,0.0005555350217036903,1.2165998220443726,0.001,15,0.04838709677419355,0.3741935483870968,0.3709677419354839,0.25483870967741934,0.6673231453831501,0.81774453663662,0.34867130172412397,2.7776939730192054,2.8696712234745854,1.3574247186696982,0.15042139125346987,1.2254101214593778,0.2031167894601822,1,1,1588903323,1,1,,,,0.0,0.0,-0.030358314514160156,-0.06709098815917969,-0.0032643675804138184,0.09210506427672582,0.10235197576977528,-0.0038099288940429688,-0.20289325714111328,0.011382109201235058,0.003689781398873937,0.0005281400208332343,0.04051530361175537,0.0,-2.0,-0.006451612903225809,0.006451612903225823,-0.0032258064516129115,-0.0032258064516129115,-0.025251955818465066,0.00479148417740749,0.07103917748378841,0.13594442682596553,0.09042082159951681,0.01547247447733624,0.030043439995872556,0.051597994732988095,0.4672289519918423,0.3074454368005167
val,8,43,0.3453760393512503,128,369,12.186111450195312,12.146081924438477,0.9967151284217834,2.382400501711259,3.377199221370263,0.7428399920463562,16.61939811706543,0.4311291564932361,0.0641529647232169,0.31662672758102417,0.6730924844741821,0.001,0,0.0,0.39295392953929537,0.3794037940379404,0.22764227642276422,0.43328324124730866,0.4295526344861303,0.4300383325843584,2.5970841189910625,2.6554177582263945,1.5567869253101803,-0.0037306067611783678,0.9913899121728342,0.21028222143650055,1,1,1588903323,1,1,,,,20.0,59.0,0.8565073013305664,0.8733787536621094,0.0017374753952026367,0.024630584230851404,0.24603049334467997,-0.08148449659347534,1.6266412734985352,-0.1994085388663756,-0.3234059520206174,0.3165993325801537,-0.5029920339584351,0.0,-17.0,-0.054838709677419356,0.025211994055424403,0.0052102456508436035,-0.030422239706268034,-0.2592918599543065,-0.38340041797308216,0.15240620834402285,-0.044665427202177366,-0.12383264364867408,0.21483468111781834,-0.12410855801877568,-0.18242221455355545,2.1540021031503986,0.8043869085573687
val,9,62,-0.08105278791540436,120,341,11.879697799682617,11.823715209960938,0.9952875375747681,2.350371300474989,3.237608842078082,0.7851005792617798,15.782186508178711,0.6207112293264383,0.34242021840243136,0.009028678759932518,1.1887904405593872,0.001,0,0.0,0.3782991202346041,0.36656891495601174,0.25513196480938416,0.6702767389487158,0.7808272075355053,0.3171658498160113,2.792379875053731,2.591789865016937,1.3481135224473888,0.11055046858678952,1.164932575103502,0.2021423578262329,1,1,1588903323,1,1,,,,12.0,31.0,0.5500936508178711,0.5510120391845703,0.00030988454818725586,-0.007398617005418551,0.10644011405249909,-0.03922390937805176,0.7894296646118164,-0.009826466033173387,-0.04513869834140294,0.009001283759062062,0.01270592212677002,0.0,-17.0,-0.054838709677419356,0.01055718475073314,-0.007624633431085048,-0.0029325513196480912,-0.022298362252899384,-0.03212584492370718,0.03953372557567575,0.15063032886049132,-0.18746053685813147,0.006161278255026881,-0.009827482670807797,-0.008879551622887671,0.8688135595717712,0.37795808129071407
val,10,35,-0.17738836707016928,168,477,14.03165054321289,13.7052001953125,0.9767346978187561,2.457594753936152,3.7519584490735487,0.7410508394241333,19.163602828979492,0.5722502215123058,0.3413470501369921,0.007184850051999092,1.181630253791809,0.001,0,0.0,0.3710691823899371,0.3710691823899371,0.2578616352201258,0.6379437147413438,0.7621775171009161,0.20440567175032404,2.87559618451501,2.819443442727213,1.335371411428219,0.12423380235957227,1.1947410084758703,0.20273153483867645,1,1,1588903323,1,1,,,,60.0,167.0,2.7020463943481445,2.432497024536133,-0.018242955207824707,0.09982483645574458,0.6207897210479656,-0.08327364921569824,4.170845985412598,-0.058287473847305926,-0.04621186660684218,0.007157455051128636,0.0055457353591918945,0.0,-17.0,-0.054838709677419356,0.003327246906066117,-0.003124365997159706,-0.00020288090890646648,-0.054631386460271325,-0.050775535358296375,-0.07322645249001153,0.23384663832177033,0.04019304085214426,-0.0065808327641430076,0.0038558511019749497,0.0209288817494806,1.588668931656526,0.2816225021359492
