latent_dim,repeat,seed,train_networks,train_frames_per_network,epoch,train_mse_norm,val_mse_norm
1,1,1588903424,1,2,8,0.5643404722213745,25.3475420658405
1,1,1588903424,1,2,9,0.4430752396583557,24.02287010046152
1,1,1588903424,1,2,10,0.49475765228271484,23.87671393614549
1,1,1588903424,1,2,11,0.5796462297439575,23.811265065119816
1,1,1588903424,1,2,12,0.5244919061660767,23.678076670720028
1,1,1588903424,1,2,13,0.40218034386634827,23.83488886172955
1,1,1588903424,1,2,14,0.3212730884552002,24.247283128591683
1,1,1588903424,1,2,15,0.30688196420669556,24.5773008786715
1,1,1588903424,1,2,16,0.3048965036869049,24.857603183159462
1,1,1588903424,1,2,17,0.2870789170265198,25.415824156541092
1,1,1588903424,1,2,18,0.2615963816642761,26.3420881491441
1,1,1588903424,1,2,19,0.24357204139232635,26.80622625350952
1,1,1588903424,1,2,20,0.22892016172409058,26.640033575204704
1,1,1588903424,1,2,21,0.22376932203769684,26.3859873184791
1,1,1588903424,1,2,22,0.2156214863061905,26.29522881141076
1,1,1588903424,1,2,23,0.19669082760810852,26.9028870509221
1,1,1588903424,1,2,24,0.18113915622234344,28.031990784865158
1,1,1588903424,1,2,25,0.18123473227024078,28.035250883836014
1,1,1588903424,1,2,26,0.17650367319583893,27.258550277123085
1,1,1588903424,1,2,27,0.16924872994422913,27.2714173243596
1,1,1588903424,1,2,28,0.1629118174314499,28.58118849534255
1,1,1588903424,1,2,29,0.1588575392961502,30.132772005521336
1,1,1588903424,1,2,30,0.16270871460437775,29.707721343407265
1,1,1588903424,1,2,31,0.15528127551078796,29.017038932213417
1,1,1588903424,1,2,32,0.1534031629562378,29.73659185262827
1,1,1588903424,1,2,33,0.1516609787940979,31.540627626272347
1,1,1588903424,1,2,34,0.14940953254699707,32.02991573627178
1,1,1588903424,1,2,35,0.14656774699687958,31.019776784456692
1,1,1588903424,1,2,36,0.14662671089172363,30.527365170992336
1,1,1588903424,1,2,37,0.14891545474529266,30.99401826124925
1,1,1588903626,1,4,1,0.9943000078201294,1.5863240086115324
1,1,1588903626,1,4,2,0.9647788405418396,1.5611137793614314
1,1,1588903626,1,4,3,0.9343045949935913,1.5321132449003367
1,1,1588903626,1,4,4,0.8998727798461914,1.4967088057444646
1,1,1588903626,1,4,5,0.8586141467094421,1.451055137010721
1,1,1588903626,1,4,6,0.8063561916351318,1.3884195043490484
1,1,1588903626,1,4,7,0.7357816696166992,1.3037466544371386
1,1,1588903626,1,4,8,0.6403656601905823,1.241493243437547
1,1,1588903626,1,4,9,0.5630841255187988,1.332446263386653
1,1,1588903626,1,4,10,0.639421284198761,1.3563230771284838
1,1,1588903626,1,4,11,0.6405300498008728,1.302072369135343
1,1,1588903626,1,4,12,0.560462236404419,1.273543770496662
1,1,1588903626,1,4,13,0.513504683971405,1.2776055794495802
1,1,1588903626,1,4,14,0.5063853859901428,1.2816887131104102
