split,sim_idx,final_p_ratio,mean_frame_p_ratio,frames,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1,mean_z0_aligned,final_z0_aligned,slope_z0_aligned,range_z0_aligned,mean_z1_aligned,final_z1_aligned,slope_z1_aligned,range_z1_aligned
test,50,-0.0696914335517825,-0.04456290885855718,159,1.1657833189428228,2.264920949935913,2.2216315157711506,2.2216315157711506,1.0433818079742059,2.0703201293945312,2.0756574403494596,2.0756574403494596,2.2163632466806966,4.054127404709526,3.7166875980903247,3.7166875980903247,3.329342146900203,7.614912272321845,8.670652217091037,8.670652217091037
test,51,0.1984530464851873,0.20304961852617273,180,1.5169986958305042,2.963282346725464,2.899330660700798,2.899330660700798,1.363007988490992,2.7132599353790283,2.7069332767277956,2.7069332767277956,3.2388463573396558,5.709631852562021,4.947244343198236,4.947244343198236,6.442887594304874,12.292736073407543,11.703486630292703,11.703486630292703
test,52,0.037337759212293,0.046868585908153924,138,1.3095687731722558,2.6079862117767334,2.6105505600571632,2.6105505600571632,1.1746334203424444,2.3877756595611572,2.43903386965394,2.43903386965394,2.614596951033812,4.78483000742167,4.366737525370924,4.366737525370924,4.522402639788791,9.582053219421429,10.186158037585,10.186158037585
test,53,-0.05223121954639464,-0.03675738815773637,121,1.270202385061536,2.4958279132843018,2.4660392440855503,2.4660392440855503,1.1316439782631051,2.276658058166504,2.3038286436349154,2.3038286436349154,2.866006077943903,4.920546715574199,4.134640459208688,4.134640459208688,5.640127590236171,10.440068120098854,9.660879682975596,9.660879682975596
test,54,0.34876936421668947,0.3487309873346436,158,1.3919057930949368,2.7350118160247803,2.691564317792654,2.691564317792654,1.2452996777358782,2.497652769088745,2.5099547868594527,2.5099547868594527,3.0722205552207558,5.447063951300862,4.745969551248766,4.745969551248766,6.125575345234032,11.879971218616884,11.478903667871279,11.478903667871279
test,55,0.20504416643351053,0.2090354074353703,178,1.5008323505269678,2.952324390411377,2.908413965255022,2.908413965255022,1.3478374339828498,2.7026658058166504,2.714795673266053,2.714795673266053,3.215194978514814,5.709497572721899,4.994326270595373,4.994326270595373,6.393394346942413,12.322892239101225,11.866711902884813,11.866711902884813
test,56,0.40844515428566636,0.4061370098817758,130,1.3789935859063498,2.6960530281066895,2.6419045962393284,2.6419045962393284,1.2342464002852256,2.4633116722106934,2.465612104162574,2.465612104162574,2.998988798666171,5.276745644751772,4.557941467205854,4.557941467205854,5.8682866152179205,11.30659254511567,10.864532025988181,10.864532025988181
test,57,-0.02490996528939263,-0.008477548897535802,123,1.2499892213116817,2.4547600746154785,2.4259362034499645,2.4259362034499645,1.116635608297538,2.242969274520874,2.2678511515259743,2.2678511515259743,2.634121195369763,4.61269508416081,3.9913940518077275,3.9913940518077275,4.7675287971159355,9.321468426211087,9.199189691769595,9.199189691769595
test,58,0.15807421313403752,0.16311917509985716,183,1.478561079241539,2.883481740951538,2.8173000812530518,2.8173000812530518,1.3259798437255166,2.6380198001861572,2.631094291806221,2.631094291806221,3.2315665534026086,5.6110198214581875,4.7690495243752595,4.7690495243752595,6.521383038808386,12.121103198959247,11.21919300529279,11.21919300529279
test,59,-0.0313026174804837,-0.013743373497623503,172,1.2883496290332703,2.530074119567871,2.5035695619881153,2.5035695619881153,1.150971280437959,2.311398506164551,2.3395266830921173,2.3395266830921173,2.775151620536573,4.8376197290591385,4.165050551951813,4.165050551951813,5.225220098876937,10.011833191920534,9.677614222495412,9.677614222495412
test,60,-0.3733590050206568,-0.3322949371316906,123,0.7772475251458525,1.509515643119812,1.491541974246502,1.491541974246502,0.6772637124196058,1.361372709274292,1.3936827033758163,1.3936827033758163,1.7253279588751944,2.9526708771809616,2.487939932446363,2.487939932446363,2.449972199123134,5.317075266595797,5.791817598031104,5.791817598031104
test,61,-0.5734598575106268,-0.5043009875597068,111,0.5112705653751487,0.9859973192214966,0.9924195799976587,0.9924195799976587,0.4351528055445702,0.880744993686676,0.931798666715622,0.931798666715622,0.9538880651954151,1.6429491233830888,1.4259204924703672,1.4259204924703672,0.10365574209970536,1.5351330296755314,2.9341420374653264,2.9341420374653264
test,62,-0.4204057219757763,-0.3738609363873425,169,0.7082485870937624,1.3708813190460205,1.358302004635334,1.358302004635334,0.6232389276020626,1.2423001527786255,1.2694976106286049,1.2694976106286049,1.0764625770874896,2.186687116613212,2.2496956346426216,2.2496956346426216,0.04308710057847957,2.6359242391954822,5.210333735950874,5.210333735950874
test,63,-0.06000701508242722,-0.03882700918997809,161,1.142250583038567,2.220841407775879,2.176830243319273,2.176830243319273,1.021513084666977,2.029567003250122,2.0344498697668314,2.0344498697668314,2.17097661107612,3.9584076712609417,3.608527022996438,3.608527022996438,3.2133845146422044,7.35481149264065,8.362719666652495,8.362719666652495
test,64,0.3664375008215793,0.36529021091733066,124,1.406052578871529,2.7633426189422607,2.7211061976850033,2.7211061976850033,1.2580457862706915,2.5245678424835205,2.539301570504904,2.539301570504904,3.1199598212177384,5.471684616749695,4.70618529926432,4.70618529926432,6.277251446774601,11.899274848025556,11.236729170969507,11.236729170969507
test,65,-0.12283631741223562,-0.10234194325541643,158,1.0488335426330944,2.0391273498535156,2.0034641288220882,2.0034641288220882,0.9322922473737993,1.8580456972122192,1.872819977812469,1.872819977812469,2.113907727943048,3.743662827704909,3.3008632883097335,3.3008632883097335,3.246365794314618,7.003275958894253,7.6154527198359165,7.6154527198359165
test,66,-0.5381298285827363,-0.4852477472644556,123,0.6299690118710685,1.2063813209533691,1.1864663064479828,1.1864663064479828,0.5458326802657145,1.082375168800354,1.1051984056830406,1.1051984056830406,1.1636746001100955,2.2299763987238053,2.154029523218478,2.154029523218478,0.6118347569856987,3.270174490195865,5.308304731875467,5.308304731875467
test,67,0.15301959837093992,0.1579656217894242,157,1.4479150021816516,2.8754966259002686,2.861723080277443,2.861723080277443,1.2950954860503412,2.6277730464935303,2.671464405953884,2.671464405953884,3.295352756810435,5.740020724547378,4.90130800716882,4.90130800716882,6.862832009674206,12.66040747977948,11.624751169214708,11.624751169214708
test,68,0.16470512886983094,0.16955336797617443,172,1.499065569861857,2.931011199951172,2.871110986918211,2.871110986918211,1.3486695137134819,2.686161756515503,2.6817568372935057,2.6817568372935057,3.085387956703553,5.499680189129421,4.839283090004077,4.839283090004077,5.8781757258603085,11.54180442814446,11.349906206787686,11.349906206787686
