target,descriptor,pearson_r,abs_r
slope_z1,edge_len_min,0.5164295664084383,0.5164295664084383
slope_z1,edge_len_max,0.13808061276098968,0.13808061276098968
slope_z1,stiffness_mean,0.8182778928180668,0.8182778928180668
slope_z1,stiffness_std,-0.8162969766817463,0.8162969766817463
slope_z1,stiffness_min,0.8293864190092061,0.8293864190092061
slope_z1,stiffness_max,-0.522149766999053,0.522149766999053
range_z1,node_count,0.05542436748548778,0.05542436748548778
range_z1,edge_count,0.0562582640137954,0.0562582640137954
range_z1,edge_density,-0.08211814276451508,0.08211814276451508
range_z1,mean_degree,0.07042927677777149,0.07042927677777149
range_z1,std_degree,0.0208217406472506,0.0208217406472506
range_z1,max_degree,-0.017895029166353545,0.017895029166353545
range_z1,x_span0,0.06105949975043527,0.06105949975043527
range_z1,y_span0,0.07137098916647643,0.07137098916647643
range_z1,aspect_ratio0,-0.13769183137303323,0.13769183137303323
range_z1,edge_len_mean,-0.7678804132075702,0.7678804132075702
range_z1,edge_len_std,-0.07215290182297181,0.07215290182297181
range_z1,edge_len_min,0.5164295664084383,0.5164295664084383
range_z1,edge_len_max,0.13808061276098968,0.13808061276098968
range_z1,stiffness_mean,0.8182778928180668,0.8182778928180668
range_z1,stiffness_std,-0.8162969766817463,0.8162969766817463
range_z1,stiffness_min,0.8293864190092061,0.8293864190092061
range_z1,stiffness_max,-0.522149766999053,0.522149766999053
mean_z0_aligned,node_count,0.10297885227403973,0.10297885227403973
mean_z0_aligned,edge_count,0.10345500652286141,0.10345500652286141
mean_z0_aligned,edge_density,-0.11385473967934748,0.11385473967934748
mean_z0_aligned,mean_degree,0.05401087405139502,0.05401087405139502
mean_z0_aligned,std_degree,0.00296412203411456,0.00296412203411456
mean_z0_aligned,max_degree,-0.03367831597035982,0.03367831597035982
mean_z0_aligned,x_span0,0.1049353760170041,0.1049353760170041
mean_z0_aligned,y_span0,0.11406532994184622,0.11406532994184622
mean_z0_aligned,aspect_ratio0,-0.12002685041999533,0.12002685041999533
mean_z0_aligned,edge_len_mean,-0.7539562065696377,0.7539562065696377
mean_z0_aligned,edge_len_std,-0.030998861999758442,0.030998861999758442
mean_z0_aligned,edge_len_min,0.530376304518855,0.530376304518855
mean_z0_aligned,edge_len_max,0.18066216710795494,0.18066216710795494
mean_z0_aligned,stiffness_mean,0.8539851625636192,0.8539851625636192
mean_z0_aligned,stiffness_std,-0.8132232661389974,0.8132232661389974
mean_z0_aligned,stiffness_min,0.8346753968696385,0.8346753968696385
mean_z0_aligned,stiffness_max,-0.5187203456528636,0.5187203456528636
final_z0_aligned,node_count,0.0907466081796091,0.0907466081796091
final_z0_aligned,edge_count,0.09127867919019302,0.09127867919019302
final_z0_aligned,edge_density,-0.10789195047185181,0.10789195047185181
final_z0_aligned,mean_degree,0.05522703139614647,0.05522703139614647
final_z0_aligned,std_degree,0.015845119476444226,0.015845119476444226
final_z0_aligned,max_degree,-0.02158098167636405,0.02158098167636405
final_z0_aligned,x_span0,0.09431109914513007,0.09431109914513007
final_z0_aligned,y_span0,0.10375054197617489,0.10375054197617489
final_z0_aligned,aspect_ratio0,-0.1243276223361998,0.1243276223361998
final_z0_aligned,edge_len_mean,-0.7617840798549349,0.7617840798549349
final_z0_aligned,edge_len_std,-0.04175700087990899,0.04175700087990899
final_z0_aligned,edge_len_min,0.5365325348245056,0.5365325348245056
final_z0_aligned,edge_len_max,0.17031177579073317,0.17031177579073317
final_z0_aligned,stiffness_mean,0.8357702249017954,0.8357702249017954
final_z0_aligned,stiffness_std,-0.8254373430166309,0.8254373430166309
final_z0_aligned,stiffness_min,0.8425227637855623,0.8425227637855623
final_z0_aligned,stiffness_max,-0.527987153633652,0.527987153633652
slope_z0_aligned,node_count,0.07023397272002826,0.07023397272002826
slope_z0_aligned,edge_count,0.07087163336947049,0.07087163336947049
slope_z0_aligned,edge_density,-0.09649673017438896,0.09649673017438896
slope_z0_aligned,mean_degree,0.058312667824274994,0.058312667824274994
slope_z0_aligned,std_degree,0.034891709494866675,0.034891709494866675
slope_z0_aligned,max_degree,-0.004478566780028118,0.004478566780028118
slope_z0_aligned,x_span0,0.07612005155906842,0.07612005155906842
slope_z0_aligned,y_span0,0.08592555897924795,0.08592555897924795
slope_z0_aligned,aspect_ratio0,-0.1295493589298966,0.1295493589298966
slope_z0_aligned,edge_len_mean,-0.7679866016270783,0.7679866016270783
slope_z0_aligned,edge_len_std,-0.059233570929504646,0.059233570929504646
slope_z0_aligned,edge_len_min,0.5367325091516932,0.5367325091516932
slope_z0_aligned,edge_len_max,0.15199917256394355,0.15199917256394355
slope_z0_aligned,stiffness_mean,0.803020161970482,0.803020161970482
slope_z0_aligned,stiffness_std,-0.8337721285230992,0.8337721285230992
slope_z0_aligned,stiffness_min,0.8441472714955023,0.8441472714955023
slope_z0_aligned,stiffness_max,-0.5341807600304604,0.5341807600304604
range_z0_aligned,node_count,0.07023397272002826,0.07023397272002826
range_z0_aligned,edge_count,0.07087163336947049,0.07087163336947049
