dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
one-system CV2 train-sim-0,val,8,20,20,-0.4433667647588733,0.17040207522697795,7.740435830783099e-05,1.7919142919708975e-05,0.00014283973723649979,7.971348734508539
one-system CV2 train-sim-0,val,9,20,20,-0.4602437608821822,-0.3761003828633709,8.91054660314694e-05,2.0469418814172968e-05,0.00018148563685826957,8.866184160177983
one-system CV2 train-sim-0,val,10,20,20,-0.46431579713611265,-0.059184579622326115,6.49013090878725e-05,2.00672002392821e-05,0.00013867014786228538,6.910288740271536
one-system CV2 train-sim-0,val,11,20,20,-0.451918663176968,0.3429058100231549,0.00014939912944100797,1.8343205738347024e-05,0.00022345432080328465,12.181857631141686
one-system CV2 train-sim-0,val,12,20,20,-0.462342872996564,0.12840835317030946,0.00019245110161136836,1.693646117928438e-05,0.0002931773487944156,17.310425459659296
one-system CV2 train-sim-0,val,13,20,20,-0.44023985665371584,-0.008793537279830486,9.911522647598758e-05,1.766948844306171e-05,0.00018222478684037924,10.312963356442477
one-system CV2 train-sim-0,val,14,20,20,-0.4256022824172584,0.03747354887097206,0.00013415428111329675,1.628680001886096e-05,0.00022312838700599968,13.699952522754957
one-system CV2 train-sim-0,val,15,20,20,-0.4795828026467025,-0.2856989765846863,0.0001346889475826174,1.988374424399808e-05,0.00024748817668296397,12.446759204201111
one-system CV2 train-sim-0,val,16,20,20,-0.4504056370215197,0.18395298122440296,0.00016839658201206475,1.8024709788733162e-05,0.00026126878219656646,14.495034053745467
one-system CV2 train-sim-0,val,17,20,20,-0.45608087915090556,0.17108611772432478,0.00012691420852206647,1.6309724742313847e-05,0.0002056848898064345,12.611180939970552
one-system CV2 train-sim-0,val,18,20,20,-0.4342718949732251,0.05750395792524217,0.00012829784827772528,1.687021904217545e-05,0.00021633016876876354,12.823198574241353
one-system CV2 train-sim-0,val,19,20,20,-0.4655570793953669,-0.10976827281803374,0.00015536622959189117,1.8617241948959418e-05,0.0002661445178091526,14.295593221531309
one-system CV2 train-sim-0,test,0,20,20,-0.465256635865456,-0.1542993297025555,0.00020237278658896685,1.8575281501398422e-05,0.0003311510372441262,17.82751110497011
one-system CV2 train-sim-0,test,1,20,20,-0.4694064100855059,-0.345580404685836,7.746896881144494e-05,2.2350732251652516e-05,0.0001705966133158654,7.632708020259704
one-system CV2 train-sim-0,test,2,20,20,-0.44657974691012065,0.34611467422720144,0.0001823472703108564,1.7749134713085368e-05,0.000264025671640411,14.875410881058938
one-system CV2 train-sim-0,test,3,20,20,-0.4404230222500025,-0.3487947705297562,6.271007441682741e-05,1.9685130610014312e-05,0.00013913206930737942,7.067876361287616
one-system CV2 train-sim-0,test,4,20,20,-0.4647533214452102,0.16286176992999687,0.00014462431136053056,1.789997986634262e-05,0.00023225306358654052,12.97504607942306
one-system CV2 train-sim-0,test,5,20,20,-0.4308437838181934,0.052787726519484685,0.0001363628834951669,1.7729509636410512e-05,0.00022988187265582383,12.966059263349448
one-system CV2 train-sim-0,test,6,20,20,-0.4405216847316098,-0.26424926134837495,0.00018947992066387087,1.9051793060498312e-05,0.000318435049848631,16.71417744447735
one-system CV2 train-sim-0,test,7,20,20,-0.44107349577886323,-0.348486065376275,0.0001723580644465983,1.976709063455928e-05,0.0002999175922013819,15.172571307839746
one-system CV2 train-sim-0,test,8,20,20,-0.4348122748982994,-0.3699409319623715,9.664637764217332e-05,1.8575334252091125e-05,0.0001885330129880458,10.149643092792349
one-system CV2 train-sim-0,test,9,20,20,-0.46688976848499336,0.07188890386948901,0.000190465958439745,1.6727355614420958e-05,0.00029652079683728516,17.726698927931512
