target,descriptor,mse_increase_when_permuted,target_r2
slope_z0,edge_len_min,0.9427139321610583,0.9743621523361392
slope_z0,edge_len_max,0.008370076022522783,0.9743621523361392
slope_z0,stiffness_mean,0.18313523991048594,0.9743621523361392
slope_z0,stiffness_std,0.9972866677286525,0.9743621523361392
slope_z0,stiffness_min,0.026994577804819456,0.9743621523361392
slope_z0,stiffness_max,0.08063313433674464,0.9743621523361392
range_z0,node_count,0.008489644966456291,0.9743621523361392
range_z0,edge_count,2.592091475543935,0.9743621523361392
range_z0,edge_density,0.5568485849593163,0.9743621523361392
range_z0,mean_degree,0.014075322421786825,0.9743621523361392
range_z0,std_degree,0.0006758101018486812,0.9743621523361392
range_z0,max_degree,-0.00035234458713685746,0.9743621523361392
range_z0,x_span0,0.5444425223726354,0.9743621523361392
range_z0,y_span0,0.016380825541377247,0.9743621523361392
range_z0,aspect_ratio0,-3.1094441176989646e-05,0.9743621523361392
range_z0,edge_len_mean,0.726538866861746,0.9743621523361392
range_z0,edge_len_std,2.9613481184826345,0.9743621523361392
range_z0,edge_len_min,0.7661831221361883,0.9743621523361392
range_z0,edge_len_max,0.00869816751399102,0.9743621523361392
range_z0,stiffness_mean,0.1800846759631439,0.9743621523361392
range_z0,stiffness_std,0.909275918573989,0.9743621523361392
range_z0,stiffness_min,0.03028608454638918,0.9743621523361392
range_z0,stiffness_max,0.0714731095385198,0.9743621523361392
mean_z1,node_count,0.028567704177673247,0.9712622932823237
mean_z1,edge_count,1.9943355122285582,0.9712622932823237
mean_z1,edge_density,0.5934802927775364,0.9712622932823237
mean_z1,mean_degree,0.015351900347026212,0.9712622932823237
mean_z1,std_degree,0.001671139077916741,0.9712622932823237
mean_z1,max_degree,0.0005774075530172729,0.9712622932823237
mean_z1,x_span0,0.17093293105817414,0.9712622932823237
mean_z1,y_span0,0.24715551438582523,0.9712622932823237
mean_z1,aspect_ratio0,-0.0004438864777128633,0.9712622932823237
mean_z1,edge_len_mean,1.0599895291962187,0.9712622932823237
mean_z1,edge_len_std,3.76056803459747,0.9712622932823237
mean_z1,edge_len_min,0.7576758569533768,0.9712622932823237
mean_z1,edge_len_max,0.02573188495804823,0.9712622932823237
mean_z1,stiffness_mean,0.17070973140914208,0.9712622932823237
mean_z1,stiffness_std,0.8231376776372226,0.9712622932823237
mean_z1,stiffness_min,0.019947087640281903,0.9712622932823237
mean_z1,stiffness_max,0.07939532403725799,0.9712622932823237
final_z1,node_count,0.001176409763688685,0.9733700747867594
final_z1,edge_count,2.327350603768626,0.9733700747867594
final_z1,edge_density,0.5632831770851536,0.9733700747867594
final_z1,mean_degree,0.007885530763443314,0.9733700747867594
final_z1,std_degree,0.0025304086196580554,0.9733700747867594
final_z1,max_degree,0.00036228415442316267,0.9733700747867594
final_z1,x_span0,0.3255016211853956,0.9733700747867594
final_z1,y_span0,0.12111249219680618,0.9733700747867594
final_z1,aspect_ratio0,0.00025530976767352415,0.9733700747867594
final_z1,edge_len_mean,0.9168933398155867,0.9733700747867594
final_z1,edge_len_std,3.3251650030830353,0.9733700747867594
final_z1,edge_len_min,0.7449055688699032,0.9733700747867594
final_z1,edge_len_max,0.010888945366716227,0.9733700747867594
final_z1,stiffness_mean,0.17919744215987435,0.9733700747867594
final_z1,stiffness_std,0.9237554893825997,0.9733700747867594
final_z1,stiffness_min,0.03015097774677195,0.9733700747867594
final_z1,stiffness_max,0.0761646740856332,0.9733700747867594
slope_z1,node_count,0.01318253659779798,0.9742115806303069
slope_z1,edge_count,1.8411388544245126,0.9742115806303069
slope_z1,edge_density,0.49759510075517877,0.9742115806303069
slope_z1,mean_degree,0.014833486678489771,0.9742115806303069
slope_z1,std_degree,0.0012984637330202553,0.9742115806303069
slope_z1,max_degree,-9.337533371798351e-05,0.9742115806303069
slope_z1,x_span0,0.42362004691050137,0.9742115806303069
slope_z1,y_span0,0.019603121361989564,0.9742115806303069
slope_z1,aspect_ratio0,1.242046207989081e-05,0.9742115806303069
slope_z1,edge_len_mean,0.7493273164453673,0.9742115806303069
slope_z1,edge_len_std,2.751778163454235,0.9742115806303069
slope_z1,edge_len_min,0.8499318183236805,0.9742115806303069
slope_z1,edge_len_max,0.008082798795510368,0.9742115806303069
slope_z1,stiffness_mean,0.1536899942050111,0.9742115806303069
slope_z1,stiffness_std,0.8265913913707444,0.9742115806303069
slope_z1,stiffness_min,0.026474564186761355,0.9742115806303069
slope_z1,stiffness_max,0.07367014072818862,0.9742115806303069
range_z1,node_count,0.01483193900778916,0.9742115806303069
range_z1,edge_count,2.329794094311163,0.9742115806303069
range_z1,edge_density,0.45911942981678705,0.9742115806303069
range_z1,mean_degree,0.015188109472174957,0.9742115806303069
range_z1,std_degree,-1.4518726516803138e-05,0.9742115806303069
range_z1,max_degree,0.0004648951691363819,0.9742115806303069
