dataset,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw
one-system CV2 train-sim-0,32,0.3163056316669099,101.2197969060298,7.678416075358907e-05
one-system CV2 train-sim-0,33,0.388544794684276,103.00565540328621,7.813869318106903e-05
one-system CV2 train-sim-0,34,0.31156855504959824,99.62511233912548,7.552561454948425e-05
one-system CV2 train-sim-0,35,0.38266775850206614,106.16233881955036,8.055680987425706e-05
one-system CV2 train-sim-0,36,0.5657739379443228,105.65098401535302,8.016805454380104e-05
one-system CV2 train-sim-0,37,0.3277730679139495,104.77806211970747,7.94831041369104e-05
one-system CV2 train-sim-0,38,0.33536349560599776,104.26252875937149,7.909212821626709e-05
one-system CV2 train-sim-0,39,0.2956607162952423,104.2468811572995,7.90574169067293e-05
one-system CV2 train-sim-0,40,0.30246002417989076,103.90202465110458,7.882562060030906e-05
one-system CV2 train-sim-0,41,0.28989566788077353,102.45665933308192,7.770985135848285e-05
one-system CV2 train-sim-0,42,0.2927317712455988,102.16085652552545,7.747346437586344e-05
one-system CV2 train-sim-0,43,0.2952674274740275,103.02458390044049,7.815752811244359e-05
one-system CV2 train-sim-0,44,0.278744613006711,100.95232190502807,7.655605596828429e-05
one-system CV2 train-sim-0,45,0.32472026059404013,102.00418501409702,7.73545536734943e-05
one-system CV2 train-sim-0,46,0.274722603475675,100.867136999676,7.647516599950333e-05
one-system CV2 train-sim-0,47,0.2689323105965741,100.02540323227645,7.58526396604653e-05
one-system CV2 train-sim-0,48,0.3011180321816937,100.77229901040904,7.64224695550908e-05
one-system CV2 train-sim-0,49,0.2778844040585682,99.82964100227692,7.570063315140096e-05
one-system CV2 train-sim-0,50,0.26774802249856294,100.22837412339635,7.599824040270597e-05
one-system CV2 train-sim-0,51,0.2889591787941754,99.2636185327638,7.526124596600959e-05
one-system CV2 train-sim-0,52,0.29263114631175996,96.44413122200407,7.314417731527634e-05
one-system CV2 train-sim-0,53,0.3352552203461528,96.81222615503707,7.34118933888972e-05
one-system CV2 train-sim-0,54,0.24051324473693966,95.2459500831645,7.222148584152598e-05
one-system CV2 train-sim-0,55,0.3014329455792904,96.17363943492994,7.293308038973656e-05
one-system CV2 train-sim-0,56,0.29149811575189233,94.99059898743405,7.201797905601382e-05
one-system CV2 train-sim-0,57,0.26581744726281614,95.53439383571036,7.243437220070703e-05
one-system CV2 train-sim-0,58,0.2718479135539383,95.03926300258375,7.206384970462665e-05
one-system CV2 train-sim-0,59,0.2265354880175437,93.08377557722386,7.057155404416982e-05
one-system CV2 train-sim-0,60,0.2861806327477098,92.74018943550065,7.032820460285194e-05
one-system CV2 train-sim-0,61,0.24379514642059802,90.28085806935094,6.845281976594286e-05
one-system CV2 train-sim-0,62,0.274959880951792,91.75973510693758,6.957689748177565e-05
one-system CV2 train-sim-0,63,0.2634502962697297,93.86685651252046,7.117782924872528e-05
one-system CV2 train-sim-0,64,0.2604817047715187,94.74203351223841,7.183447236685402e-05
one-system CV2 train-sim-0,65,0.24150118231773376,94.43833725272678,7.161369754239644e-05
one-system CV2 train-sim-0,66,0.255902640032582,93.1537263801042,7.064274496966672e-05
one-system CV2 train-sim-0,67,0.2849407817237079,92.59818001247942,7.021353746960556e-05
one-system CV2 train-sim-0,68,0.2404853305313736,93.89343451864086,7.120220915553866e-05
one-system CV2 train-sim-0,69,0.22800117367878556,92.05846232008189,6.98154379858007e-05
one-system CV2 train-sim-0,70,0.24829395739361643,93.54402168817818,7.093732670847786e-05
one-system CV2 train-sim-0,71,0.2649062462936854,90.5128169668559,6.864666989805812e-05
one-system CV2 train-sim-0,72,0.20516111934448417,91.15986279106698,6.912309998277521e-05
