split,sim_idx,final_p_ratio,mean_frame_p_ratio,frames,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1,mean_z0_aligned,final_z0_aligned,slope_z0_aligned,range_z0_aligned,mean_z1_aligned,final_z1_aligned,slope_z1_aligned,range_z1_aligned,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,x_span0,y_span0,aspect_ratio0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max
test,30,0.04379751958601948,0.05788287983599113,170,1.2689364677623791,2.5049121379852295,2.485842041671276,2.485842041671276,1.1355683258022455,2.2901134490966797,2.321975514292717,2.321975514292717,2.60295398183176,4.68191355181051,4.185895660128448,4.185895660128448,4.589561373661563,9.458362647490517,9.810801953853447,9.810801953853447,244,698,0.023544491668353235,5.721311475409836,0.7710148207413015,8.0,17.082090377807617,17.109210968017578,0.9984148544161003,2.540049707010004,4.238068146875111,0.3180139362812042,22.708436965942383,0.8607579341590575,0.264004562799091,0.44882363080978394,3.1445364952087402
test,31,0.13393114430878897,0.14132469489430619,141,1.47179931962321,2.9023759365081787,2.868869762867689,2.868869762867689,1.3217783336203994,2.6575942039489746,2.6788133904337883,2.6788133904337883,3.112144431343067,5.544446033674806,4.878935972055584,4.878935972055584,6.061770576831782,11.801401831355097,11.515082591863106,11.515082591863106,168,479,0.03414599372683205,5.7023809523809526,0.805926882905372,7.0,14.151100158691406,13.984729766845703,1.0118965753803928,2.482162639156513,3.7530453315448233,0.44519078731536865,18.66360092163086,0.8676575149773058,0.23334229029165152,0.5335910320281982,2.2460620403289795
test,32,0.21262633834314057,0.21437133483604692,169,1.5253766173573993,2.9956305027008057,2.9454633183777332,2.9454633183777332,1.367808359019326,2.7402637004852295,2.749667026102543,2.749667026102543,3.40752322536487,5.928212265324088,5.043210191571406,5.043210191571406,7.095348490927481,13.078029454805698,11.95882268297196,11.95882268297196,240,683,0.02381450488145049,5.691666666666666,0.744936611770126,7.0,16.852609634399414,16.88125991821289,0.9983028349807844,2.5111776629618285,4.235250455979137,0.3683009743690491,22.79693603515625,0.8723942054487427,0.23164098976608893,0.5471509695053101,2.7149322032928467
test,33,-0.4240335086854074,-0.3687189489920118,158,0.6816193523191953,1.3041225671768188,1.290371611714363,1.290371611714363,0.5991719302579855,1.1810812950134277,1.2067470960319042,1.2067470960319042,0.9903982025113056,2.0160696890158145,2.0994455349037295,2.0994455349037295,-0.22720230226552393,2.1392172065551254,4.798525294793365,4.798525294793365,212,611,0.027318250916569795,5.764150943396227,0.753005134068203,8.0,15.79092025756836,15.86421012878418,0.9953801752106874,2.687502749227658,4.0931769874782375,0.2686881422996521,20.96483612060547,0.8450764383017139,0.3931060226789766,0.3273946940898895,3.721888780593872
test,34,-0.44394318861186965,-0.39020937437697156,166,0.6326382876070867,1.2010858058929443,1.1824423372745514,1.1824423372745514,0.5566297979599022,1.0885980129241943,1.1069999914616346,1.1069999914616346,0.7439067308652741,1.6503919369312356,1.8631637161443302,1.8631637161443302,-1.0777515921465874,0.9624752530609229,4.15400793588422,4.15400793588422,232,670,0.025003731900283623,5.775862068965517,0.7942270900883464,8.0,16.6610107421875,16.580928802490234,1.0048297619904887,2.7949103251766805,4.302476366371919,0.33565667271614075,16.582551956176758,0.8430981005305674,0.3960059442475457,0.31810298562049866,2.979288339614868
test,35,-0.1496032734170133,-0.1203734775181932,170,1.0191877426689162,1.990402102470398,1.9736423157155514,1.9736423157155514,0.9011755307643291,1.8093079328536987,1.8454386666417122,1.8454386666417122,2.238987903462237,3.8263617687429137,3.2263953967051773,3.2263953967051773,3.830632386546269,7.471154198245458,7.40057588543972,7.40057588543972,244,701,0.023645685758618362,5.745901639344262,0.7794646692782491,7.0,17.016849517822266,16.9543399810791,1.0036869342488663,2.686271774105611,4.386048732037297,0.37110140919685364,22.947837829589844,0.8650465975814471,0.32876575756009957,0.4014500081539154,2.694627046585083
test,36,-0.4436555356265637,-0.3815044646287615,189,0.7735369582143095,1.473494529724121,1.4397483058273792,1.4397483058273792,0.6784113413954853,1.33058762550354,1.34229994751513,1.34229994751513,1.483359219621063,2.7458126408511565,2.5541723682167734,2.5541723682167734,1.4907396878133,4.58904372376427,6.202305576715663,6.202305576715663,300,859,0.01915273132664437,5.726666666666667,0.7780031419530957,8.0,18.870548248291016,18.784629821777344,1.0045738684940209,2.8391001046016138,4.810365234058622,0.231752410531044,26.094621658325195,0.8507997122646349,0.3941785302780158,0.3158133924007416,4.315016269683838
test,37,-0.204619104548757,-0.17923619091087103,139,1.0106430851834283,1.9690492153167725,1.9406678788363934,1.9406678788363934,0.8999741566668955,1.796952247619629,1.816160786896944,1.816160786896944,1.878190828834961,3.4026323793605076,3.0930618083235197,3.0930618083235197,2.408767276711304,5.832981414920379,6.958641028781772,6.958641028781772,164,478,0.03576238216369894,5.829268292682927,0.8085650953293061,7.0,13.939319610595703,13.861820220947266,1.0055908523132715,2.7551964914823674,3.9078659376931846,0.3336508870124817,17.956268310546875,0.8656926660108766,0.3819849978888218,0.34756743907928467,2.9971721172332764
test,38,0.35413357644997473,0.3536679418501102,151,1.41126110905547,2.76635479927063,2.716487478464842,2.716487478464842,1.2671243343872345,2.531885862350464,2.5356384608894587,2.5356384608894587,2.913458775301511,5.246615245498525,4.665139233490131,4.665139233490131,5.435163176572541,10.988931072754692,11.08518530855037,11.08518530855037,192,548,0.02988656195462478,5.708333333333333,0.7761640004248815,7.0,15.107399940490723,15.153120040893555,0.9969827929641257,2.4945329050295544,3.9721462680433137,0.7970665097236633,20.297048568725586,0.86040890869433,0.11180755998457505,0.6452750563621521,1.254625678062439
test,39,0.35508191711915005,0.3541040385630173,183,1.376395754495768,2.6909964084625244,2.637544732540846,2.637544732540846,1.2305397621452645,2.456865072250366,2.46078478731215,2.46078478731215,3.0600156765884092,5.356279315895627,4.5891674144446615,4.5891674144446615,6.120112564045413,11.639466900862175,11.001874190739969,11.001874190739969,284,814,0.02025581048126213,5.732394366197183,0.8342618645004753,8.0,18.406150817871094,18.415550231933594,0.9994895936345035,2.535857505309201,4.541474634542872,0.7661709785461426,25.15486717224121,0.8612122221572979,0.11828430519901291,0.6268417239189148,1.3052083253860474
test,40,-0.23919190542704324,-0.21595963685241928,123,0.8580217533479861,1.6743476390838623,1.6554668322205544,1.6554668322205544,0.767546185587601,1.5313574075698853,1.548913961276412,1.548913961276412,1.1034932107534514,2.4118082674250174,2.6560484709307044,2.6560484709307044,-0.2681233331857026,2.6880006652735986,6.006299597941312,6.006299597941312,128,368,0.045275590551181105,5.75,0.7905694150420949,7.0,12.371450424194336,12.402740478515625,0.9974771660847463,2.7829422891625892,3.591523897183385,0.41574692726135254,16.40595054626465,0.8274124881009692,0.28889896300721896,0.3763071298599243,2.4053423404693604
