target,descriptor,standardized_weight,target_r2
slope_z0,edge_density,0.5185822352345283,0.9743621523361392
slope_z0,mean_degree,0.08224697733422019,0.9743621523361392
slope_z0,std_degree,0.02429898563108703,0.9743621523361392
slope_z0,max_degree,-0.008526645663730794,0.9743621523361392
slope_z0,x_span0,0.50903699109133,0.9743621523361392
slope_z0,y_span0,0.10749785342356506,0.9743621523361392
slope_z0,aspect_ratio0,0.0018556602742859079,0.9743621523361392
slope_z0,edge_len_mean,-0.5976758435558752,0.9743621523361392
slope_z0,edge_len_std,1.2026631796717473,0.9743621523361392
slope_z0,edge_len_min,-0.6463068700207879,0.9743621523361392
slope_z0,edge_len_max,-0.06453352196165225,0.9743621523361392
slope_z0,stiffness_mean,0.2839635328164224,0.9743621523361392
slope_z0,stiffness_std,-0.69000277100831,0.9743621523361392
slope_z0,stiffness_min,0.12380583226412392,0.9743621523361392
slope_z0,stiffness_max,-0.1940735699677673,0.9743621523361392
range_z0,node_count,0.06776431420566548,0.9743621523361392
range_z0,edge_count,-1.0914806172601415,0.9743621523361392
range_z0,edge_density,0.5185822352345283,0.9743621523361392
range_z0,mean_degree,0.08224697733422019,0.9743621523361392
range_z0,std_degree,0.02429898563108703,0.9743621523361392
range_z0,max_degree,-0.008526645663730794,0.9743621523361392
range_z0,x_span0,0.50903699109133,0.9743621523361392
range_z0,y_span0,0.10749785342356506,0.9743621523361392
range_z0,aspect_ratio0,0.0018556602742859079,0.9743621523361392
range_z0,edge_len_mean,-0.5976758435558752,0.9743621523361392
range_z0,edge_len_std,1.2026631796717473,0.9743621523361392
range_z0,edge_len_min,-0.6463068700207879,0.9743621523361392
range_z0,edge_len_max,-0.06453352196165225,0.9743621523361392
range_z0,stiffness_mean,0.2839635328164224,0.9743621523361392
range_z0,stiffness_std,-0.69000277100831,0.9743621523361392
range_z0,stiffness_min,0.12380583226412392,0.9743621523361392
range_z0,stiffness_max,-0.1940735699677673,0.9743621523361392
mean_z1,node_count,-0.12959796637242518,0.9712622932823237
mean_z1,edge_count,-1.031552087959328,0.9712622932823237
mean_z1,edge_density,0.551830353069448,0.9712622932823237
mean_z1,mean_degree,0.07202097457831869,0.9712622932823237
mean_z1,std_degree,0.033194369592128896,0.9712622932823237
mean_z1,max_degree,-0.012530907206533545,0.9712622932823237
mean_z1,x_span0,0.2938921555745647,0.9712622932823237
mean_z1,y_span0,0.3735666992176195,0.9712622932823237
mean_z1,aspect_ratio0,0.007814365012099514,0.9712622932823237
mean_z1,edge_len_mean,-0.6801261594127262,0.9712622932823237
mean_z1,edge_len_std,1.4047856320254872,0.9712622932823237
mean_z1,edge_len_min,-0.609589272613549,0.9712622932823237
mean_z1,edge_len_max,-0.10239605281914911,0.9712622932823237
mean_z1,stiffness_mean,0.27762520540047614,0.9712622932823237
mean_z1,stiffness_std,-0.6531310938802823,0.9712622932823237
mean_z1,stiffness_min,0.1062613161442364,0.9712622932823237
mean_z1,stiffness_max,-0.17735398363628532,0.9712622932823237
final_z1,node_count,-0.024095167790452704,0.9733700747867594
final_z1,edge_count,-1.0657958556828224,0.9733700747867594
final_z1,edge_density,0.5318114044723914,0.9733700747867594
final_z1,mean_degree,0.0771134311265084,0.9733700747867594
final_z1,std_degree,0.02865881033005807,0.9733700747867594
final_z1,max_degree,-0.010118079856355771,0.9733700747867594
final_z1,x_span0,0.4021793947310132,0.9733700747867594
final_z1,y_span0,0.24106026533076208,0.9733700747867594
final_z1,aspect_ratio0,0.004553466595620917,0.9733700747867594
final_z1,edge_len_mean,-0.6319183832816986,0.9733700747867594
final_z1,edge_len_std,1.2920274456113585,0.9733700747867594
final_z1,edge_len_min,-0.6290212981138024,0.9733700747867594
final_z1,edge_len_max,-0.08295161888358134,0.9733700747867594
final_z1,stiffness_mean,0.28167881913892184,0.9733700747867594
final_z1,stiffness_std,-0.674769433261833,0.9733700747867594
final_z1,stiffness_min,0.11696099035937216,0.9733700747867594
final_z1,stiffness_max,-0.18549848532582056,0.9733700747867594
slope_z1,node_count,0.07755385344746062,0.9742115806303069
slope_z1,edge_count,-1.0980704699061208,0.9742115806303069
slope_z1,edge_density,0.5169771605719865,0.9742115806303069
slope_z1,mean_degree,0.08270413666592791,0.9742115806303069
slope_z1,std_degree,0.024086946231714576,0.9742115806303069
slope_z1,max_degree,-0.008629950462098203,0.9742115806303069
slope_z1,x_span0,0.5130583809229864,0.9742115806303069
slope_z1,y_span0,0.09761988355702347,0.9742115806303069
slope_z1,aspect_ratio0,0.0012556859680704954,0.9742115806303069
