repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,4,1,test,z0,stiffness_mean,-0.9748759837953584,0.950383183780968,73
1,4,1,test,z0,stiffness_std,-0.9380128580018807,0.8798681217768565,73
1,4,1,test,z0,horizontal_stiffness,-0.9299427669071775,0.8647935497229771,73
1,4,1,test,z0,vertical_stiffness,-0.9322032862950552,0.8690029669793007,73
1,4,1,test,z0,diagonal_stiffness,0.39693101303487366,0.15755422910889105,73
1,4,2,test,z0,final_p_ratio,0.8766427148254652,0.7685024494565619,73
1,4,2,test,z0,stiffness_mean,-0.9827092379626196,0.9657174463770725,73
1,4,2,test,z0,stiffness_std,-0.9407099009432014,0.8849351177325678,73
1,4,2,test,z0,horizontal_stiffness,-0.9390248667740178,0.8817677004199618,73
1,4,2,test,z0,vertical_stiffness,-0.9380351490721914,0.8799099408948884,73
1,4,2,test,z0,diagonal_stiffness,0.4370868685103986,0.19104493062422645,73
1,4,4,test,z0,final_p_ratio,-0.7695921056447061,0.5922720090706526,73
1,4,4,test,z0,stiffness_mean,0.8811060108032942,0.7763478022736948,73
1,4,4,test,z0,stiffness_std,0.8418372247393822,0.708689912956905,73
1,4,4,test,z0,horizontal_stiffness,0.8624424676921697,0.7438070100789592,73
1,4,4,test,z0,vertical_stiffness,0.807249394511661,0.6516515849394433,73
1,4,4,test,z0,diagonal_stiffness,-0.3283568525652726,0.10781822262657216,73
2,1,1,test,z0,final_p_ratio,0.8657997317699068,0.7496091755328425,76
2,1,1,test,z0,stiffness_mean,-0.974256532467488,0.9491757910555735,76
2,1,1,test,z0,stiffness_std,-0.9435007108291412,0.8901935913350948,76
2,1,1,test,z0,horizontal_stiffness,-0.9230981608620081,0.8521102145868218,76
2,1,1,test,z0,vertical_stiffness,-0.9383665811052809,0.8805318405352137,76
2,1,1,test,z0,diagonal_stiffness,0.43668848589780573,0.19069683371571808,76
2,1,2,test,z0,final_p_ratio,-0.8309043765671459,0.6904020829984374,76
2,1,2,test,z0,stiffness_mean,0.8886702750368121,0.7897348577340032,76
2,1,2,test,z0,stiffness_std,0.8476566336389393,0.7185217685520989,76
2,1,2,test,z0,horizontal_stiffness,0.8616390155071773,0.7424217930441777,76
2,1,2,test,z0,vertical_stiffness,0.808327218005289,0.6533928913681699,76
2,1,2,test,z0,diagonal_stiffness,-0.4018966480213167,0.16152091569077012,76
2,1,4,test,z0,final_p_ratio,0.88495880266547,0.7831520824151023,76
2,1,4,test,z0,stiffness_mean,-0.9797664520830439,0.9599423006273956,76
2,1,4,test,z0,stiffness_std,-0.9518613145090171,0.906039962058834,76
2,1,4,test,z0,horizontal_stiffness,-0.9305437070765065,0.865911590779687,76
2,1,4,test,z0,vertical_stiffness,-0.9330918742853853,0.8706604458574133,76
2,1,4,test,z0,diagonal_stiffness,0.44407781621789216,0.197205106856852,76
2,2,1,test,z0,final_p_ratio,0.8122623263027308,0.6597700867307239,75
2,2,1,test,z0,stiffness_mean,-0.9434315199767122,0.8900630328855694,75
2,2,1,test,z0,stiffness_std,-0.8910762164825363,0.7940168235808319,75
2,2,1,test,z0,horizontal_stiffness,-0.8992141080550816,0.808586012125296,75
2,2,1,test,z0,vertical_stiffness,-0.891856332226389,0.7954077173323072,75
2,2,1,test,z0,diagonal_stiffness,0.3386109341488284,0.11465736472514222,75
2,2,2,test,z0,final_p_ratio,0.7802062330775066,0.6087217661329926,75
2,2,2,test,z0,stiffness_mean,-0.8371021960103986,0.7007400865654317,75
2,2,2,test,z0,stiffness_std,-0.8117803944498938,0.6589874088132252,75
2,2,2,test,z0,horizontal_stiffness,-0.8042105289992207,0.6467545749532064,75
2,2,2,test,z0,vertical_stiffness,-0.7803752898426434,0.6089855929969896,75
2,2,2,test,z0,diagonal_stiffness,0.252250307238045,0.06363021750168808,75
2,2,4,test,z0,final_p_ratio,-0.8289032662399608,0.6870806247832754,75
2,2,4,test,z0,stiffness_mean,0.9798544198679681,0.9601146841347923,75
