latent_dim,repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,1,4,1,val,z1,stiffness_std,,,0
1,1,4,1,val,z1,near_zero_stiffness_edge_count,,,0
1,1,4,1,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,4,1,val,z1,horizontal_stiffness,,,0
1,1,4,1,val,z1,vertical_stiffness,,,0
1,1,4,1,val,z1,diagonal_stiffness,,,0
1,1,4,2,val,z0,final_p_ratio,0.8603976314155316,0.740284084145457,25
1,1,4,2,val,z0,stiffness_mean,-0.9849048997715227,0.9700376615939532,25
1,1,4,2,val,z0,stiffness_std,-0.944112203009671,0.8913478518717742,25
1,1,4,2,val,z0,near_zero_stiffness_edge_count,-0.47069292941263,0.2215518337990431,25
1,1,4,2,val,z0,near_zero_stiffness_edge_fraction,-0.45700488952525753,0.20885346904999283,25
1,1,4,2,val,z0,horizontal_stiffness,-0.9175465523632717,0.841891675753726,25
1,1,4,2,val,z0,vertical_stiffness,-0.9552530183104148,0.9125083289911576,25
1,1,4,2,val,z0,diagonal_stiffness,0.4533043381906064,0.20548482302242366,25
1,1,4,2,val,z1,final_p_ratio,,,0
1,1,4,2,val,z1,stiffness_mean,,,0
1,1,4,2,val,z1,stiffness_std,,,0
1,1,4,2,val,z1,near_zero_stiffness_edge_count,,,0
1,1,4,2,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,4,2,val,z1,horizontal_stiffness,,,0
1,1,4,2,val,z1,vertical_stiffness,,,0
1,1,4,2,val,z1,diagonal_stiffness,,,0
1,1,4,4,val,z0,final_p_ratio,0.9076523930341522,0.8238328665806232,25
1,1,4,4,val,z0,stiffness_mean,-0.9633549209102902,0.9280527036420715,25
1,1,4,4,val,z0,stiffness_std,-0.9246441850136264,0.8549668688795135,25
1,1,4,4,val,z0,near_zero_stiffness_edge_count,-0.46210843353793424,0.2135442043468834,25
1,1,4,4,val,z0,near_zero_stiffness_edge_fraction,-0.4641886033520312,0.21547105948190937,25
1,1,4,4,val,z0,horizontal_stiffness,-0.9514337656078008,0.9052262103386396,25
1,1,4,4,val,z0,vertical_stiffness,-0.9132154293768744,0.8339624204519891,25
1,1,4,4,val,z0,diagonal_stiffness,0.45620239549984143,0.20812062565979375,25
1,1,4,4,val,z1,final_p_ratio,,,0
1,1,4,4,val,z1,stiffness_mean,,,0
1,1,4,4,val,z1,stiffness_std,,,0
1,1,4,4,val,z1,near_zero_stiffness_edge_count,,,0
1,1,4,4,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,4,4,val,z1,horizontal_stiffness,,,0
1,1,4,4,val,z1,vertical_stiffness,,,0
1,1,4,4,val,z1,diagonal_stiffness,,,0
1,2,1,1,val,z0,final_p_ratio,0.4255549443898752,0.18109701069466977,25
1,2,1,1,val,z0,stiffness_mean,-0.5486857194401994,0.3010560187176092,25
1,2,1,1,val,z0,stiffness_std,-0.4950520161507683,0.24507649869494058,25
1,2,1,1,val,z0,near_zero_stiffness_edge_count,-0.19854949251536913,0.03942190097811062,25
1,2,1,1,val,z0,near_zero_stiffness_edge_fraction,-0.21071639575075446,0.04440139943818857,25
1,2,1,1,val,z0,horizontal_stiffness,-0.4322235125050784,0.18681716476222768,25
1,2,1,1,val,z0,vertical_stiffness,-0.5766491019569437,0.3325241867877497,25
1,2,1,1,val,z0,diagonal_stiffness,0.24463738876327654,0.0598474519809145,25
1,2,1,1,val,z1,final_p_ratio,,,0
