dataset,epoch,train_dz_mse_norm,train_dz_mse_raw
single-network CV2 sim-0,31,0.4099972553551197,5.251060458988377e-06
single-network CV2 sim-0,32,0.41242493558675053,5.372980287354778e-06
single-network CV2 sim-0,33,0.36384463948197665,4.69935592164461e-06
single-network CV2 sim-0,34,0.407702798768878,5.238667932871977e-06
single-network CV2 sim-0,35,0.3371761068701744,4.347090649048369e-06
single-network CV2 sim-0,36,0.45529922712594273,5.872864556266677e-06
single-network CV2 sim-0,37,0.4024711297824979,5.196808891128057e-06
single-network CV2 sim-0,38,0.35788894863508175,4.612692662719908e-06
single-network CV2 sim-0,39,0.33839573208242657,4.357610401939383e-06
single-network CV2 sim-0,40,0.35655322540551426,4.603127138125274e-06
single-network CV2 sim-0,41,0.39255533926188946,5.052328604904233e-06
single-network CV2 sim-0,42,0.38760639829561117,4.982115113705276e-06
single-network CV2 sim-0,43,0.3314767980016768,4.2809167638324656e-06
single-network CV2 sim-0,44,0.3603528719395399,4.626260889040168e-06
single-network CV2 sim-0,45,0.3660438627935946,4.7029789456587425e-06
single-network CV2 sim-0,46,0.3554303231649101,4.592012808757318e-06
single-network CV2 sim-0,47,0.3790804514661431,4.864526923498147e-06
single-network CV2 sim-0,48,0.3540298654115759,4.576196292482848e-06
single-network CV2 sim-0,49,0.3203547007869929,4.138346604065646e-06
single-network CV2 sim-0,50,0.4256567777541932,5.485057237519797e-06
single-network CV2 sim-0,51,0.2852029174566269,3.685574515088774e-06
single-network CV2 sim-0,52,0.38692226642742755,4.987421803548386e-06
single-network CV2 sim-0,53,0.3462162111885846,4.44446343266236e-06
single-network CV2 sim-0,54,0.3010427512926981,3.8950172193352724e-06
single-network CV2 sim-0,55,0.3541115281055681,4.563479180830221e-06
single-network CV2 sim-0,56,0.30494427010416986,3.94086655717274e-06
single-network CV2 sim-0,57,0.3205747413914651,4.13422765799254e-06
single-network CV2 sim-0,58,0.33266572253778576,4.284333681425778e-06
single-network CV2 sim-0,59,0.29670975225744767,3.829672260025063e-06
single-network CV2 sim-0,60,0.31914573851972816,4.108655468826328e-06
single-network CV2 sim-0,61,0.27196555223563335,3.500389676558413e-06
single-network CV2 sim-0,62,0.3103925802744925,4.015788930189501e-06
single-network CV2 sim-0,63,0.3026689671911299,3.886427673904791e-06
single-network CV2 sim-0,64,0.25910792164504526,3.346572310647389e-06
single-network CV2 sim-0,65,0.3096013281494379,4.01301663259801e-06
single-network CV2 sim-0,66,0.22622761980164796,2.917452735928805e-06
single-network CV2 sim-0,67,0.3257909123785794,4.218439737968538e-06
single-network CV2 sim-0,68,0.2515894927084446,3.2481580291232604e-06
single-network CV2 sim-0,69,0.3580540348775685,4.670321283484213e-06
single-network CV2 sim-0,70,0.2960025478154421,3.7857644512584443e-06
single-network CV2 sim-0,71,0.2522549841552973,3.272662742404009e-06
single-network CV2 sim-0,72,0.2972463006153703,3.802862293866838e-06
single-network CV2 sim-0,73,0.2809672985225916,3.608838562740857e-06
single-network CV2 sim-0,74,0.2849796569906175,3.671803405325136e-06
single-network CV2 sim-0,75,0.2430103812366724,3.1319698805987175e-06
single-network CV2 sim-0,76,0.26871294602751733,3.4574342976156912e-06
single-network CV2 sim-0,77,0.2976088151335716,3.824197276003361e-06
single-network CV2 sim-0,78,0.23686632942408323,3.0463260557667128e-06
single-network CV2 sim-0,79,0.2511503186542541,3.233756572740276e-06
single-network CV2 sim-0,80,0.24147728118114173,3.106743663572331e-06
single-network CV2 sim-0,81,0.21444486207328736,2.754189552689468e-06
single-network CV2 sim-0,82,0.25427739811711947,3.258169815190115e-06
single-network CV2 sim-0,83,0.2765204582363367,3.5668485466544554e-06
single-network CV2 sim-0,84,0.24243102734908462,3.123607854860211e-06
single-network CV2 sim-0,85,0.25243874709121883,3.2418855617777353e-06
single-network CV2 sim-0,86,0.25972788482904435,3.3350822008060275e-06
single-network CV2 sim-0,87,0.2662809078450664,3.4035866115000867e-06
single-network CV2 sim-0,88,0.20523335337638854,2.636480358830795e-06
single-network CV2 sim-0,89,0.2115581538528204,2.7156578155995702e-06
single-network CV2 sim-0,90,0.32776456801220777,4.202718228896174e-06
single-network CV2 sim-0,91,0.2213197854347527,2.846324659344646e-06
single-network CV2 sim-0,92,0.27414359810354655,3.5284503433263835e-06
