dataset,epoch,train_mse_norm
single-network CV2 sim-0,164,0.0001305100777244661
single-network CV2 sim-0,165,0.00013776258783764205
single-network CV2 sim-0,166,0.0001298745792155387
single-network CV2 sim-0,167,7.772541830490809e-05
single-network CV2 sim-0,168,6.200418829394039e-05
single-network CV2 sim-0,169,0.00010826841335074278
single-network CV2 sim-0,170,0.0001636740689718863
single-network CV2 sim-0,171,0.00023852540216466877
single-network CV2 sim-0,172,0.00013664559155586177
single-network CV2 sim-0,173,0.00021939351354376412
single-network CV2 sim-0,174,0.00020959103130735457
single-network CV2 sim-0,175,0.00014436293531616684
single-network CV2 sim-0,176,9.082272117666434e-05
single-network CV2 sim-0,177,0.0001135439628342283
single-network CV2 sim-0,178,0.00039779152793926185
single-network CV2 sim-0,179,0.0012948526884429157
single-network CV2 sim-0,180,0.0020738562860060485
single-network CV2 sim-0,181,0.003612799447728321
single-network CV2 sim-0,182,0.004632421786664054
single-network CV2 sim-0,183,0.001635050741606392
single-network CV2 sim-0,184,0.0006712493763188831
single-network CV2 sim-0,185,0.00033814672933658586
single-network CV2 sim-0,186,0.0004107827720872592
single-network CV2 sim-0,187,0.0002512461654987419
single-network CV2 sim-0,188,0.0003009800748259295
single-network CV2 sim-0,189,0.0010164104212890379
single-network CV2 sim-0,190,0.0006281846319325269
single-network CV2 sim-0,191,0.0031157318997429686
single-network CV2 sim-0,192,0.0009715246284031309
single-network CV2 sim-0,193,0.00022356010558723937
single-network CV2 sim-0,194,0.00010643305122357561
single-network CV2 sim-0,195,0.00021840171666553942
single-network CV2 sim-0,196,0.0003609297302318737
single-network CV2 sim-0,197,0.0001713135810859967
single-network CV2 sim-0,198,0.0001020890358631732
single-network CV2 sim-0,199,0.0001407952682711766
single-network CV2 sim-0,200,0.00014388403469638432
single-network CV2 sim-0,201,0.00011275216875219484
single-network CV2 sim-0,202,0.00010976211306115146
single-network CV2 sim-0,203,8.518425438523991e-05
single-network CV2 sim-0,204,0.00013251101063360693
single-network CV2 sim-0,205,0.0001672249043622287
single-network CV2 sim-0,206,0.00020173146003799047
single-network CV2 sim-0,207,0.001645011460641399
single-network CV2 sim-0,208,0.013329217309365048
single-network CV2 sim-0,209,0.014146945881657302
single-network CV2 sim-0,210,0.010600587574299426
single-network CV2 sim-0,211,0.004645668563898653
single-network CV2 sim-0,212,0.0033756162971258163
