dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid_ld8_tok16_h128_head2,test,70,38,0.36903263199664094,0.6453934203250081,0.08433894943804977,4.493207782879357e-05,0.0002571933858378447,0.000235122848894925,0.937794565871467
Reid_ld8_tok16_h128_head2,val,80,20,0.04395891015653097,0.5234898747751976,0.1260675902662002,9.201484901950607e-05,0.0003589820029446855,0.0002787592486129142,0.8098098925765493
Reid_ld8_tok16_h128_head2,test,80,38,0.36387090885091733,0.6432773654932079,0.08778935835999642,6.152672823956986e-05,0.0003402265796658436,0.0003053251076428416,0.9224856122106324
Reid_ld8_tok16_h128_head2,val,90,20,0.0534799285775559,0.522761839072304,0.12939599991617773,0.00012224747401887726,0.00046249211591202765,0.00035621043207356706,0.8062756660884098
Reid_ld8_tok16_h128_head2,test,90,38,0.3591539359719871,0.6412484715167561,0.09078436456175236,8.162971035792572e-05,0.00043563711867471665,0.0003873155847510421,0.9158678382871261
Reid_ld8_tok16_h128_head2,val,100,20,0.06141914333432508,0.5218811444708666,0.1324381482196289,0.00015787639840709745,0.000580337000428699,0.0004453396293683909,0.8065311355887713
Reid_ld8_tok16_h128_head2,test,100,38,0.35552255979580516,0.6396499205411589,0.09334273460773916,0.00010539739455931627,0.0005436322619636101,0.0004810925950694486,0.9136392126189797
Reid_ld8_tok32_h128_head2,val,10,20,-0.735600740834097,0.45563680742341245,0.08695133097400155,4.435196495933269e-06,4.488473609853827e-06,1.1671214099351346e-05,2.604624434933423
Reid_ld8_tok32_h128_head2,test,10,38,-1.6695796345964933,0.38328621636638976,0.14661840325253905,4.846955566730876e-06,4.555915821631635e-06,1.1882352384274877e-05,2.576018648238184
Reid_ld8_tok32_h128_head2,val,20,20,-0.02900480635759317,0.4841112230119143,0.07801617490234691,5.483231944936051e-06,1.8944466683024074e-05,2.2104836011749286e-05,1.1761800357485908
Reid_ld8_tok32_h128_head2,test,20,38,-0.2744805132439172,0.4193296243405831,0.10754966589568397,5.8044284760159685e-06,1.8967649817855808e-05,2.2384569020735063e-05,1.1802114661353271
Reid_ld8_tok32_h128_head2,val,30,20,-0.06417577728903656,0.4649365924918919,0.09800457922682457,9.958416268318614e-06,4.442684421519516e-05,3.8383859555324305e-05,0.8743870934626535
Reid_ld8_tok32_h128_head2,test,30,38,0.007275999829438495,0.42290470069336067,0.10099165811879829,9.454158232888163e-06,4.3955074081742695e-05,3.8631630655129956e-05,0.8888175622695773
Reid_ld8_tok32_h128_head2,val,40,20,-0.05711900599043984,0.45185439461449034,0.10969520554436152,1.829371166763849e-05,8.167323358065914e-05,6.195397654664702e-05,0.7699918038143329
Reid_ld8_tok32_h128_head2,test,40,38,0.07471349910191438,0.4232620824650706,0.10493391287235501,1.594057153541048e-05,7.995633763800327e-05,6.189789028691226e-05,0.7896055488027062
Reid_ld8_tok32_h128_head2,val,50,20,-0.0897047624903855,0.4406499662895442,0.12292585309868354,3.084360511138584e-05,0.00013127350466675126,9.437504304514732e-05,0.7319670440602597
Reid_ld8_tok32_h128_head2,test,50,38,0.09062483018820644,0.42255768968370444,0.1108353907212511,2.5351949710439887e-05,0.0001273059148699854,9.356703996768614e-05,0.7546046305611608
Reid_ld8_tok32_h128_head2,val,60,20,-0.12605851550284553,0.43081614215219466,0.13529731881589632,4.798610061698128e-05,0.00019373622417333535,0.00013713757616642396,0.7231762947585272
Reid_ld8_tok32_h128_head2,test,60,38,0.09061866193281598,0.42118847516448177,0.11677838042588903,3.782520366257813e-05,0.00018629207471875767,0.0001349936248612051,0.7479235044493301
Reid_ld8_tok32_h128_head2,val,70,20,-0.1567391978882291,0.42243512345619044,0.1462165885183827,7.012749734940371e-05,0.0002695090508495923,0.00019147247439832427,0.7286586115567181
Reid_ld8_tok32_h128_head2,test,70,38,0.08564738131760463,0.4192064499553823,0.12221795165038139,5.3573135083321465e-05,0.0002571933858378447,0.0001873481868594689,0.7551744564256314
Reid_ld8_tok32_h128_head2,val,80,20,-0.18039749493294366,0.415378519160567,0.15565216738416532,9.768261763838381e-05,0.0003589820029446855,0.000258229547762312,0.7408907520630688
Reid_ld8_tok32_h128_head2,test,80,38,0.08026959351216023,0.41715186558912043,0.12692791977787948,7.283478801486796e-05,0.0003402265796658436,0.00025149197034280454,0.7692692572127108
Reid_ld8_tok32_h128_head2,val,90,20,-0.19792638302749888,0.4096701906612226,0.16376502394171816,0.0001310223800373933,0.00046249211591202765,0.0003378380279173143,0.7556354089361267
Reid_ld8_tok32_h128_head2,test,90,38,0.07606973324327748,0.41525568295658244,0.1308870052812135,9.587511364148476e-05,0.00043563711867471665,0.00032791068990359475,0.7860100596477824
Reid_ld8_tok32_h128_head2,val,100,20,-0.21053527750536016,0.40510783746896195,0.17081218881545043,0.0001704700931213665,0.000580337000428699,0.0004303129797335714,0.7703255023557778
Reid_ld8_tok32_h128_head2,test,100,38,0.0738252253352003,0.4139006108111579,0.13414230010057118,0.0001229240436163979,0.0005436322619636101,0.0004166990601286096,0.8028777577283862
Reid_ld16_tok32_h128_head2,val,10,20,-0.9070373947936132,0.6742612999674383,0.09554008349570503,4.0197135149355745e-06,4.488473609853827e-06,1.2648953725147293e-05,2.8040663230603053
Reid_ld16_tok32_h128_head2,test,10,38,-0.6601907331698582,0.7090785137687543,0.09118084032313156,3.199230595902535e-06,4.555915821631635e-06,1.0776066059598202e-05,2.3486805253811034
Reid_ld16_tok32_h128_head2,val,20,20,0.23563007944318326,0.6997050579576722,0.05795232154778709,4.303340739397754e-06,1.8944466683024074e-05,2.4520928627680404e-05,1.292142405855582
Reid_ld16_tok32_h128_head2,test,20,38,0.3736059410855991,0.7407025449338792,0.05285955419107444,3.4330917897980393e-06,1.8967649817855808e-05,2.1885416931342517e-05,1.154088086901002
Reid_ld16_tok32_h128_head2,val,30,20,0.43156106490675294,0.7084170223240078,0.05235001570123772,7.541855774206852e-06,4.442684421519516e-05,4.2558007407933474e-05,0.9598356598263648
Reid_ld16_tok32_h128_head2,test,30,38,0.5554306935495414,0.7629205894078904,0.0452268620477011,5.8533217354220385e-06,4.3955074081742695e-05,3.904622659128539e-05,0.8954495996546017
Reid_ld16_tok32_h128_head2,val,40,20,0.45475025923221757,0.7112313302876581,0.05657951663681717,1.4025600432887585e-05,8.167323358065914e-05,6.801894396630814e-05,0.8372239109019144
Reid_ld16_tok32_h128_head2,test,40,38,0.6000715591240701,0.7763856934576369,0.04535466164190144,1.0486392718097417e-05,7.995633763800327e-05,6.33789089701359e-05,0.8038162248005066
Reid_ld16_tok32_h128_head2,val,50,20,0.451430491309075,0.7132766319924333,0.06188224293490928,2.3926405538077235e-05,0.00013127350466675126,0.00010228081919194665,0.7856107687674833
Reid_ld16_tok32_h128_head2,test,50,38,0.6146905114046111,0.7848446253328425,0.04696183614284728,1.7302576584131058e-05,0.0001273059148699854,9.607329124456125e-05,0.7686861979604767
Reid_ld16_tok32_h128_head2,val,60,20,0.44697708266171177,0.7157548143692549,0.06644638527173093,3.742346256103701e-05,0.00019373622417333535,0.00014674881349492354,0.7659060007982329
Reid_ld16_tok32_h128_head2,test,60,38,0.6210957333257112,0.7902861790104158,0.048657064694914196,2.631677608334078e-05,0.00018629207471875767,0.0001383158856984473,0.7588167433181767
Reid_ld16_tok32_h128_head2,val,70,20,0.4451763580047483,0.718529929387923,0.07013198853293197,5.476150180356853e-05,0.0002695090508495923,0.00020272344263503329,0.7626969326291475
Reid_ld16_tok32_h128_head2,test,70,38,0.624844133338456,0.7938718258804884,0.05014562285507491,3.762963557332305e-05,0.0002571933858378447,0.0001912014624011997,0.7618028190947169
