split,sim_idx,source,target_index,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,latent_total_displacement,latent_mean_step
test,26,dePablo,80,-0.38925224422015475,-0.07698557129858313,5.224272535997443e-05,0.00032949255546554923,0.00030051154317334294,0.912043498975999,3.627082586288452,0.04558774707838893
test,27,dePablo,80,-0.22059483726150392,-0.45577893262110325,6.038351057213731e-05,0.0003297053917776793,0.0001803196792025119,0.5469115267732766,3.486506223678589,0.043590673338621856
test,28,dePablo,80,-0.5085932141848549,-0.4201618494027304,5.285068618832156e-05,0.0003949619713239372,0.000338402867782861,0.8567986093661459,3.966963052749634,0.04990500556305051
test,29,dePablo,80,0.16753056098630062,0.34392243102758896,1.1137396541016642e-05,0.0002929061301983893,0.0002407752035651356,0.8220217289479578,2.8590729236602783,0.03600547770038247
test,30,dePablo,80,-0.2698843505581924,-0.06197015484181531,4.648269168683328e-05,0.00035127397859469056,0.0003021185693796724,0.8600653273217969,3.4073071479797363,0.042720476957038046
test,31,dePablo,80,-0.18622530855192135,-0.058171414948146385,2.19589019252453e-05,0.0002606637717690319,0.0002107722539221868,0.8085981895057791,3.4197044372558594,0.04275313299149275
test,32,dePablo,80,0.040856975598612164,0.1581052686530154,1.0977560123137664e-05,0.0002872816112358123,0.00022058893227949739,0.7678491196515502,2.979614496231079,0.037367965746670964
test,33,dePablo,80,-0.17278655674887064,-0.392063377081783,8.085246372502297e-05,0.0003380852867849171,0.00013295946700964123,0.3932719707327202,3.255739212036133,0.04069928298704326
test,34,dePablo,80,0.27116766922191576,-0.4056713816451029,0.00015812549099791795,0.00032089074375107884,8.948682807385921e-05,0.27887008215879194,2.856367349624634,0.0365467912517488
test,35,dePablo,80,0.2480934133359432,0.1784037558685446,9.838598998612724e-06,0.0002768792037386447,0.0002140275901183486,0.7729998758605799,2.8903307914733887,0.036552792554721235
test,36,dePablo,80,-0.08290908625183306,0.16813124719911152,2.2275802621152252e-05,0.00028595238109119236,0.00028648716397583485,1.0018701816106645,3.1433026790618896,0.039356873789802196
test,37,dePablo,80,-0.4995331084074566,-0.3283185783396261,4.2538842535577714e-05,0.0003376777458470315,0.000298097962513566,0.8827882979549527,4.3051438331604,0.053917872300371525
test,38,dePablo,80,-0.3220368871183642,-0.3971657809732208,4.368597365100868e-05,0.0003138626052532345,0.00017640998703427613,0.5620611824461944,3.7402615547180176,0.046817634673789146
test,39,dePablo,80,0.38922155688622756,0.34406153805062734,1.7711899999994785e-05,0.00030006750603206456,0.00018635005108080804,0.621027093353104,3.233217716217041,0.040655390452593566
test,40,dePablo,80,-0.24272513344429777,0.16443971436418567,4.972210808773525e-05,0.0002597049460746348,0.0003071380197070539,1.1826421650775478,3.523998975753784,0.04407972800545394
test,41,dePablo,80,0.17660384123336675,0.1787741429501921,1.9300769054098055e-05,0.00028955042944289744,0.00017621325969230384,0.6085753698633524,2.8530800342559814,0.03606452364474535
test,42,dePablo,80,0.1825335639225165,0.3404457057228297,8.653336408315226e-06,0.0002943976141978055,0.00024461609427817166,0.8309037929696479,2.8547754287719727,0.03593376912176609
test,43,dePablo,80,0.26032906501583564,0.1553812744469591,1.0072837540064938e-05,0.0002709164982661605,0.00023497999063692987,0.8673520887091749,2.9061458110809326,0.03668402922339738
test,44,dePablo,80,0.30704452318861924,0.11252123718093054,2.9588114557554945e-05,0.00026991922641173005,0.0001632022176636383,0.604633541053102,2.953021764755249,0.03742732899263501
test,45,dePablo,80,0.2692270539178594,0.362554098142353,1.7961567209567875e-05,0.000300614774459973,0.0001871940476121381,0.6227040834849689,2.9012765884399414,0.03670667852275074
test,46,dePablo,80,0.39680998392257366,0.3548542262366051,1.3346610103326384e-05,0.0003021016309503466,0.00020691417739726603,0.6849157905780205,3.31174373626709,0.04157325532287359
test,47,dePablo,80,0.01636275750002571,-0.21105389722411,8.872665057424456e-05,0.0003096061118412763,9.253890311811119e-05,0.2988923654244671,2.913583993911743,0.03661298244260251
test,48,dePablo,80,0.0707884288145207,0.3664382869500192,2.79193336609751e-05,0.0003218427882529795,0.00028134521562606096,0.8741697061265636,2.946333646774292,0.03694292576983571
test,49,dePablo,80,-0.5750649485270776,-0.38693169428696034,4.274760067346506e-05,0.00031516875606030226,0.000368868320947513,1.170383528997196,4.459393501281738,0.05597083386965096
test,50,dePablo,80,0.13602474065593453,0.3543999358648887,1.6555086403968744e-05,0.0003011378285009414,0.0002389238215982914,0.7934035480950693,2.8734469413757324,0.03616081839427352
test,51,dePablo,80,-0.08711609892097438,-0.3423929853817292,7.951804582262412e-05,0.00032649064087308943,0.00012887771299574524,0.39473631664021097,3.097656726837158,0.03875035685487092
test,52,dePablo,80,-0.31181334444665904,-0.017011795197291867,4.4494623580249026e-05,0.00028736834065057337,0.0003446461050771177,1.1993182836246787,3.5875258445739746,0.044953053304925564
test,53,dePablo,80,-0.29606120863347246,-0.4412382122222439,5.398018402047455e-05,0.00037139622145332396,0.000279388390481472,0.7522650321755757,3.70676326751709,0.04635528041981161
test,54,dePablo,80,-0.31874087971648946,-0.3995590479199296,5.274176874081604e-05,0.0003405835886951536,0.000202690513106063,0.5951270696354232,3.738978862762451,0.04677199781872332
test,55,dePablo,80,0.3557184156738542,0.16115914617670898,3.330774052301422e-05,0.00026980467373505235,0.00014317006571218371,0.5306433863068526,3.078948497772217,0.03898235447704792
test,56,dePablo,80,0.23765985001822426,0.13618039724296535,1.6196292563108727e-05,0.00026844165404327214,0.00019146798877045512,0.7132573722690255,2.880397319793701,0.03649602844379842
test,57,dePablo,80,0.19654121716215103,0.18135490609594646,1.7812990336096846e-05,0.0002778009802568704,0.0001693821686785668,0.6097248775794332,2.852656602859497,0.03608694849535823
test,58,dePablo,80,0.2617680826636051,0.04692485313369603,4.3654170440277085e-05,0.00028095219749957323,0.0001345829077763483,0.4790242218217664,2.8736214637756348,0.03653167681768536
test,59,dePablo,80,0.33444832834373067,0.20137674320373292,2.309023511770647e-05,0.00028524655499495566,0.0001752575917635113,0.6144073914113023,3.0386550426483154,0.03843902512453497
test,60,Reid,80,-0.12935258485043657,-0.09942339642310323,7.141855166992173e-05,0.00034867459908127785,0.00017131825734395534,0.4913413761580613,3.292245864868164,0.04116390510462224
test,61,Reid,80,0.22019999674272406,-0.7028020843574869,0.0002653663686942309,0.00044113630428910255,0.00017241356545127928,0.39083966514414675,2.859393835067749,0.03625199287198484
test,62,Reid,80,0.39153037815436986,0.34959144020654226,3.6055334931006655e-05,0.0002987791958730668,0.00013982145173940808,0.46797586201018415,3.2466397285461426,0.041002207854762676
test,63,Reid,80,-0.33357432238879264,0.038708682120626746,7.88358083809726e-05,0.00032178740366362035,0.00028778272098861635,0.8943256252797555,3.610006093978882,0.04524734690785408
test,64,Reid,80,0.19212307325362987,0.36641369137013824,1.653722756600473e-05,0.00029799106414429843,0.00020807002147193998,0.6982424861276534,2.857722759246826,0.036075274413451555
test,65,Reid,80,-0.18861665482716564,-0.8791121375416987,0.00020433093595784158,0.0005972341750748456,0.0002664065395947546,0.4460671386753252,3.450429916381836,0.04314399566501379
test,66,Reid,80,-0.10239153947842808,0.0818348623853211,3.938109875889495e-05,0.0003199188504368067,0.00020525701984297484,0.6415908895731641,3.2605438232421875,0.040778166707605125
test,67,Reid,80,-0.13959213878097027,0.10776580821047617,5.24903298355639e-05,0.00029692420503124595,0.00022183754481375217,0.7471184263688027,3.3355398178100586,0.04171239915303886
test,68,Reid,80,0.4212737150891323,0.36034101091024084,2.3776352463755757e-05,0.0002971526118926704,0.00016744517779443413,0.5634989264537047,3.425265073776245,0.0430154784116894
test,69,Reid,80,-0.5265414910883128,-0.6620318184579455,0.000196314140339382,0.000540438515599817,0.000269693584414199,0.4990273206469637,4.158278465270996,0.05217953990213573
test,70,Reid,80,-0.3550796777587144,-0.027875077858668936,9.139431494986638e-05,0.0003203295636922121,0.00026369121042080224,0.8231872431049458,3.7383716106414795,0.0468202009331435
test,71,Reid,80,-0.017928625523562232,-0.37562874707854893,8.955434168456122e-05,0.0003644064418040216,0.0001841796183725819,0.5054236073895587,3.053304672241211,0.038239726796746254
test,72,Reid,80,0.42480348210225427,0.1305557404326123,6.898733408888802e-05,0.00027671223506331444,0.0001030441271723248,0.37238731835889843,3.2476282119750977,0.04109779861755669
test,73,Reid,80,-0.617774979132192,-0.24127263612242153,0.00013169269368518144,0.00037936968146823347,0.0003014414687640965,0.794585027452537,4.065521717071533,0.05135821793228388
test,74,Reid,80,0.2567800660861614,0.13846913053336357,5.987864642520435e-05,0.0002774073800537735,9.797248640097678e-05,0.35317188166365826,2.851963520050049,0.03647831012494862
test,75,Reid,80,-0.261483841963294,0.26880273270708793,8.465838618576527e-05,0.0002767374680843204,0.0002841285022441298,1.0267077465547865,3.372232437133789,0.042287402180954815
test,76,Reid,80,-0.13469063640977783,0.11042657114946272,4.261446520104073e-05,0.0002995265822391957,0.00016487888933625072,0.5504649640898378,3.2802793979644775,0.04101022989489138
test,77,Reid,80,-0.30943851521944754,0.12479408281674859,5.713454447686672e-05,0.0002776876208372414,0.00021956929413136095,0.790706094385299,3.7510311603546143,0.046910472493618724
test,78,Reid,80,-0.1705105223785798,0.11234660485410418,4.738411371363327e-05,0.0003037752758245915,0.00024701328948140144,0.8131448117720875,3.369619607925415,0.042154929833486676
test,79,Reid,80,0.05373740384078082,0.15826673410891923,4.025193993584253e-05,0.0002725697704590857,0.0001204115615109913,0.44176418136238543,2.9265942573547363,0.03678246517665684
test,80,Reid,80,-0.0053942999581308845,-0.07092580765341423,6.116974691394717e-05,0.0002827274729497731,0.00010802924225572497,0.382096727737939,3.001326560974121,0.03761810241267085
test,81,Reid,80,-0.0004970248512425621,-0.3727580272602946,8.457359217572957e-05,0.00035636694519780576,0.00022957388137001544,0.6442064407589422,3.040072202682495,0.03808408114127815
test,82,Reid,80,-0.11165691649833416,0.3997095927637977,7.121942326193675e-05,0.00031334845698438585,0.0002705575025174767,0.8634397153931368,3.265205144882202,0.04084803042933345
test,83,Reid,80,0.28966007463633825,-0.15474464423637177,0.00013006363587919623,0.00029726052889600396,6.643227970926091e-05,0.22348167096379662,2.8398470878601074,0.03641407079994678
test,84,Reid,80,-0.2666178664939891,0.09012087385963416,5.857623182237148e-05,0.00028731836937367916,0.0002479745598975569,0.8630654574509551,3.6308488845825195,0.04540379093959927
test,85,Reid,80,0.21754033102870313,0.2577970889120448,2.7037480322178453e-05,0.0003076158172916621,0.00016718675033189356,0.5434920473331107,2.8572425842285156,0.036174653889611365
test,86,Reid,80,-0.572273492863075,-0.7348320298894975,0.00011851861199829727,0.0005434045451693237,0.00026598514523357153,0.4894790586462451,4.097812175750732,0.05160747682675719
test,87,Reid,80,0.3181468629841508,0.2684150513112885,3.5589411709224805e-05,0.00028118269983679056,0.00012970338866580278,0.46127798310880325,2.9845128059387207,0.037978747254237534
test,88,Reid,80,-0.41744541971579735,-0.017407808403229804,9.941555617842823e-05,0.0003327737795189023,0.0003003881429322064,0.9026797224423256,3.582796812057495,0.04512858623638749
test,89,Reid,80,-0.2882636183194883,-0.610014579665493,0.00012628869444597512,0.00039300083881244063,0.00013456302986014634,0.34239883626397666,3.6150143146514893,0.04522316320799291
test,90,Reid,80,0.012657444850809165,0.24649123965196265,2.852556644938886e-05,0.0002958909026347101,0.0001867144019342959,0.6310244764936311,3.0170905590057373,0.037812675023451446
test,91,Reid,80,-0.015247196141980465,-0.7393538082720527,0.000266483606537804,0.000479453825391829,8.350997813977301e-05,0.1741773111759517,2.990851879119873,0.03748529823496938
test,92,Reid,80,-0.07852195819217071,0.1667369650562928,4.805186836165376e-05,0.00031191264861263335,0.0001785360072972253,0.5723910463116566,3.1845386028289795,0.03983530956320465
test,93,Reid,80,-0.566732932109692,-0.7757360099365538,0.0001069537247531116,0.00046138756442815065,0.00017612494411878288,0.3817288494480216,4.373422622680664,0.05482288678176701
test,94,Reid,80,-0.42961992851491093,-0.5488563326376804,7.284604362212121e-05,0.00035727780777961016,0.00015142610936891288,0.42383295595656295,3.990692138671875,0.04998222659341991
test,95,Reid,80,-0.2606089556926822,0.21668189354718642,7.419025496346876e-05,0.0002957767283078283,0.000301305262837559,1.0186915805085817,3.445779323577881,0.04316821130923927
test,96,Reid,80,-0.20063962509103575,0.3614414585252208,9.210779535351321e-05,0.0002884332789108157,0.0003018297138623893,1.046445524601604,3.2437992095947266,0.04066573404707015
