dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid_ld4_tok16_h128_head2,test,18,10,10,0.3318659932347899,0.3587982832618026,7.711716534686275e-06,4.601771252055187e-06,1.9130595319438726e-05,4.157224310290272
Reid_ld4_tok16_h128_head2,test,19,10,10,0.1878009264541451,0.19152326322498406,6.416059022740228e-06,4.3688874029612634e-06,1.9392313333810307e-05,4.438730400940536
Reid_ld4_tok16_h128_head2,test,20,10,10,-0.19348442488053458,-0.1980532786885246,9.142061571765225e-06,4.778167294716695e-06,2.4429455152130686e-05,5.112724951916767
Reid_ld4_tok16_h128_head2,test,21,10,10,-0.051864125932062966,0.08194078770619526,2.5436474970774725e-06,4.271942088962533e-06,1.0470035704202019e-05,2.4508842784300784
Reid_ld4_tok16_h128_head2,test,22,10,10,0.25993555316863587,0.011319948739854762,7.3723190325836185e-06,4.131024070375133e-06,1.5327936125686392e-05,3.710444641465011
Reid_ld4_tok16_h128_head2,test,23,10,10,0.1307432259386365,-0.18791876046901174,5.724235961679369e-06,4.62806383438874e-06,1.687123949523084e-05,3.6454206551494415
Reid_ld4_tok16_h128_head2,test,24,10,10,0.06517949124336318,0.08684533006553359,1.512906123934954e-06,4.142104444326833e-06,6.7257724367664196e-06,1.6237573260563882
Reid_ld4_tok16_h128_head2,test,25,10,10,0.011433059870832606,0.3455960759223715,2.1803774870932102e-05,4.6368186303880066e-06,4.12260924349539e-05,8.891029760097414
Reid_ld4_tok16_h128_head2,test,26,10,10,-0.2416603514591704,-0.4311335067186823,2.9028346034465358e-05,5.069983672001399e-06,5.4757103498559445e-05,10.800252434924278
Reid_ld4_tok16_h128_head2,test,27,10,10,0.05400179352090573,0.27180879956545356,3.889320851158118e-06,4.3798936530947685e-06,1.3930264685768634e-05,3.180502950322941
Reid_ld4_tok16_h128_head2,test,28,10,10,-0.056841642872831104,0.3948194244986969,8.346268259629142e-06,4.856040504819248e-06,2.1683650629711337e-05,4.465294432406809
Reid_ld4_tok16_h128_head2,test,29,10,10,-0.07658821928989253,0.18870743942790053,1.51726580952527e-05,4.300322871131357e-06,3.110847683274187e-05,7.233986322649688
Reid_ld4_tok16_h128_head2,test,30,10,10,-0.006572354848216918,0.28965849997319465,3.132634901703568e-06,4.345853085396811e-06,9.885245162877254e-06,2.274638596526475
